genome_id	record_id	region	start	end	contig_edge	product	KCB_hit	KCB_acc	KCB_sim	record_desc	Category	n_Category	Domain	Phylum	Class	Order	Family	Genus	Species	MiDAS_classification	MAG_status	shared_name	product_1_GCF
072-HK-05.bin.1.65	072-HK-05.bin.1.65_contig_28378	1	818860	854117	FALSE	putative_wzy_dependent_NO_OPX				072-HK-05.bin.1.65_contig_28378	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__	s__	FLASV650.1408;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Hyphomicrobiaceae,g:Hyphomicrobium,s:midas_s_650;	HQ	072-HK-05.bin.1.65_contig_28378.region001.gbk_region_1	NA
072-HK-05.bin.1.65	072-HK-05.bin.1.65_contig_28982	1	243885	300384	FALSE	putative_wzy_dependent_NO_OPX				072-HK-05.bin.1.65_contig_28982	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__	s__	FLASV650.1408;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Hyphomicrobiaceae,g:Hyphomicrobium,s:midas_s_650;	HQ	072-HK-05.bin.1.65_contig_28982.region001.gbk_region_1	NA
072-HK-05.bin.1.65	072-HK-05.bin.1.65_contig_47516	1	973598	996576	FALSE	pel-like				072-HK-05.bin.1.65_contig_47516	Synthase	2	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__	s__	FLASV650.1408;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Hyphomicrobiaceae,g:Hyphomicrobium,s:midas_s_650;	HQ	072-HK-05.bin.1.65_contig_47516.region001.gbk_region_1	NA
072-HK-05.bin.1.65	072-HK-05.bin.1.65_contig_47516	2	1240414	1263602	FALSE	pel-like				072-HK-05.bin.1.65_contig_47516	Synthase	2	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__	s__	FLASV650.1408;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Hyphomicrobiaceae,g:Hyphomicrobium,s:midas_s_650;	HQ	072-HK-05.bin.1.65_contig_47516.region002.gbk_region_1	NA
004-NL-18.bin.1.353	004-NL-18.bin.1.353_contig_93889	1	306528	333504	FALSE	exoPS_GCF_2				004-NL-18.bin.1.353_contig_93889	NA		d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__AKYH767-A	f__OLB10	g__JADKJB01	s__	FLASV4150.1445;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Sphingobacteriales,f:AKYH767,g:midas_g_283,s:midas_s_886;	HQ	004-NL-18.bin.1.353_contig_93889.region001.gbk_region_1	exoPS_GCF_2
014-ES-23.bin.1.435	014-ES-23.bin.1.435_contig_137295	1	23571	79898	FALSE	putative_wzy_dependent				014-ES-23.bin.1.435_contig_137295	Uncharacterised	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__Prosthecobacter	s__	FLASV23185.1367;tax=d:Bacteria,p:Verrucomicrobiota,c:Verrucomicrobiae,o:Verrucomicrobiales,f:Verrucomicrobiaceae,g:Prosthecobacter,s:midas_s_8641;	HQ	014-ES-23.bin.1.435_contig_137295.region001.gbk_region_1	NA
043-US1-27.bin.1.149	043-US1-27.bin.1.149_contig_31707	1	319861	356682	FALSE	zooglan				043-US1-27.bin.1.149_contig_31707	Wzx/Wzy	3	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Rubrivivax	s__	FLASV8156.1451;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:midas_g_81,s:midas_s_8156;	HQ	043-US1-27.bin.1.149_contig_31707.region001.gbk_region_1	NA
043-US1-27.bin.1.149	043-US1-27.bin.1.149_contig_31707	2	471990	531909	FALSE	putative_wzy_dependent				043-US1-27.bin.1.149_contig_31707	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Rubrivivax	s__	FLASV8156.1451;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:midas_g_81,s:midas_s_8156;	HQ	043-US1-27.bin.1.149_contig_31707.region002.gbk_region_1	NA
043-US1-27.bin.1.149	043-US1-27.bin.1.149_contig_31707	3	1767781	1818756	FALSE	putative_wzy_dependent				043-US1-27.bin.1.149_contig_31707	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Rubrivivax	s__	FLASV8156.1451;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:midas_g_81,s:midas_s_8156;	HQ	043-US1-27.bin.1.149_contig_31707.region003.gbk_region_1	NA
072-HK-05.bin.2.78	072-HK-05.bin.2.78_contig_15720	1	119758	142642	FALSE	pel-like				072-HK-05.bin.2.78_contig_15720	Synthase	2	d__Bacteria	p__Planctomycetota	c__UBA1135	o__UBA2386	f__UBA2386	g__	s__	FLASV60685.1379;tax=d:Bacteria,p:Planctomycetota,c:OM190,o:midas_o_2104,f:midas_f_2104,g:midas_g_23116,s:midas_s_60685;	HQ	072-HK-05.bin.2.78_contig_15720.region001.gbk_region_1	NA
072-HK-05.bin.2.78	072-HK-05.bin.2.78_contig_32174	1	180219	223643	FALSE	putative_wzy_dependent				072-HK-05.bin.2.78_contig_32174	Uncharacterised	1	d__Bacteria	p__Planctomycetota	c__UBA1135	o__UBA2386	f__UBA2386	g__	s__	FLASV60685.1379;tax=d:Bacteria,p:Planctomycetota,c:OM190,o:midas_o_2104,f:midas_f_2104,g:midas_g_23116,s:midas_s_60685;	HQ	072-HK-05.bin.2.78_contig_32174.region001.gbk_region_1	NA
072-HK-05.bin.2.78	072-HK-05.bin.2.78_contig_32174	2	347619	383570	FALSE	putative_ABC_dependent_NO_OPX				072-HK-05.bin.2.78_contig_32174	Uncharacterised	1	d__Bacteria	p__Planctomycetota	c__UBA1135	o__UBA2386	f__UBA2386	g__	s__	FLASV60685.1379;tax=d:Bacteria,p:Planctomycetota,c:OM190,o:midas_o_2104,f:midas_f_2104,g:midas_g_23116,s:midas_s_60685;	HQ	072-HK-05.bin.2.78_contig_32174.region002.gbk_region_1	NA
072-HK-05.bin.2.78	072-HK-05.bin.2.78_contig_42404	1	269374	337614	FALSE	putative_ABC_dependent_NO_OPX				072-HK-05.bin.2.78_contig_42404	Uncharacterised	1	d__Bacteria	p__Planctomycetota	c__UBA1135	o__UBA2386	f__UBA2386	g__	s__	FLASV60685.1379;tax=d:Bacteria,p:Planctomycetota,c:OM190,o:midas_o_2104,f:midas_f_2104,g:midas_g_23116,s:midas_s_60685;	HQ	072-HK-05.bin.2.78_contig_42404.region001.gbk_region_1	NA
072-HK-05.bin.2.78	072-HK-05.bin.2.78_contig_82156	1	229874	260447	FALSE	exoPS_GCF_13				072-HK-05.bin.2.78_contig_82156	NA		d__Bacteria	p__Planctomycetota	c__UBA1135	o__UBA2386	f__UBA2386	g__	s__	FLASV60685.1379;tax=d:Bacteria,p:Planctomycetota,c:OM190,o:midas_o_2104,f:midas_f_2104,g:midas_g_23116,s:midas_s_60685;	HQ	072-HK-05.bin.2.78_contig_82156.region001.gbk_region_1	exoPS_GCF_13
001-SG-02.bin.1.17	001-SG-02.bin.1.17_contig_29952	1	499670	529347	FALSE	exoPS_GCF_4				001-SG-02.bin.1.17_contig_29952	NA		d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__SCUB01	s__	FLASV3866.1413;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Xanthobacteraceae,g:midas_g_251,s:midas_s_3866;	HQ	001-SG-02.bin.1.17_contig_29952.region001.gbk_region_1	exoPS_GCF_4
032-ES-07.bin.1.188	032-ES-07.bin.1.188_contig_100805	1	6681	41327	TRUE	putative_wzy_dependent				032-ES-07.bin.1.188_contig_100805	Uncharacterised	1	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Ga0077539	g__JAEUKH01	s__	FLASV3929.1476;tax=d:Bacteria,p:Myxococcota,c:Polyangia,o:mle1-27,f:midas_f_990,g:midas_g_3374,s:midas_s_3374;	HQ	032-ES-07.bin.1.188_contig_100805.region001.gbk_region_1	NA
032-ES-07.bin.1.188	032-ES-07.bin.1.188_contig_15352	1	517918	577319	FALSE	putative_wzy_dependent_NO_OPX				032-ES-07.bin.1.188_contig_15352	Uncharacterised	1	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Ga0077539	g__JAEUKH01	s__	FLASV3929.1476;tax=d:Bacteria,p:Myxococcota,c:Polyangia,o:mle1-27,f:midas_f_990,g:midas_g_3374,s:midas_s_3374;	HQ	032-ES-07.bin.1.188_contig_15352.region001.gbk_region_1	NA
041-UK2-07.bin.2.152	041-UK2-07.bin.2.152_contig_103179	1	9876	46840	TRUE	putative_ABC_dependent				041-UK2-07.bin.2.152_contig_103179	Uncharacterised	1	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__B-17B0	f__B-17BO	g__UBA2475	s__	FLASV15410.1350;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Sphingobacteriales,f:env.OPS_17,g:midas_g_12057,s:midas_s_15410;	HQ	041-UK2-07.bin.2.152_contig_103179.region001.gbk_region_1	NA
041-UK2-07.bin.2.152	041-UK2-07.bin.2.152_contig_177632	1	16436	52261	TRUE	putative_wzy_dependent_NO_OPX				041-UK2-07.bin.2.152_contig_177632	Uncharacterised	1	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__B-17B0	f__B-17BO	g__UBA2475	s__	FLASV15410.1350;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Sphingobacteriales,f:env.OPS_17,g:midas_g_12057,s:midas_s_15410;	HQ	041-UK2-07.bin.2.152_contig_177632.region001.gbk_region_1	NA
041-UK2-07.bin.2.152	041-UK2-07.bin.2.152_contig_183938	1	388348	413659	TRUE	putative_wzy_dependent_NO_OPX				041-UK2-07.bin.2.152_contig_183938	Uncharacterised	1	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__B-17B0	f__B-17BO	g__UBA2475	s__	FLASV15410.1350;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Sphingobacteriales,f:env.OPS_17,g:midas_g_12057,s:midas_s_15410;	HQ	041-UK2-07.bin.2.152_contig_183938.region001.gbk_region_1	NA
041-UK2-07.bin.2.152	041-UK2-07.bin.2.152_contig_72947	1	50192	115364	FALSE	putative_wzy_dependent_NO_OPX				041-UK2-07.bin.2.152_contig_72947	Uncharacterised	1	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__B-17B0	f__B-17BO	g__UBA2475	s__	FLASV15410.1350;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Sphingobacteriales,f:env.OPS_17,g:midas_g_12057,s:midas_s_15410;	HQ	041-UK2-07.bin.2.152_contig_72947.region001.gbk_region_1	NA
067-CH-23.bin.1.4	067-CH-23.bin.1.4_contig_13872	1	246322	267434	FALSE	cellulose-type-1				067-CH-23.bin.1.4_contig_13872	Synthase	2	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__JADJBS01	s__	FLASV1450.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Rhodoferax,s:midas_s_901;	HQ	067-CH-23.bin.1.4_contig_13872.region001.gbk_region_1	NA
067-CH-23.bin.1.4	067-CH-23.bin.1.4_contig_33041	1	267475	305655	FALSE	putative_wzy_dependent				067-CH-23.bin.1.4_contig_33041	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__JADJBS01	s__	FLASV1450.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Rhodoferax,s:midas_s_901;	HQ	067-CH-23.bin.1.4_contig_33041.region001.gbk_region_1	NA
067-CH-23.bin.1.4	067-CH-23.bin.1.4_contig_36674	1	51951	88138	FALSE	putative_ABC_dependent				067-CH-23.bin.1.4_contig_36674	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__JADJBS01	s__	FLASV1450.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Rhodoferax,s:midas_s_901;	HQ	067-CH-23.bin.1.4_contig_36674.region001.gbk_region_1	NA
059-AT-02.bin.1.172	059-AT-02.bin.1.172_contig_548	1	2357157	2399551	FALSE	putative_wzy_dependent_NO_OPX				059-AT-02.bin.1.172_contig_548	Uncharacterised	1	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__NS11-12g	f__UBA955	g__JALOAG01	s__JALOAG01 sp023957335	FLASV17987.1352;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Sphingobacteriales,f:NS11-12_marine_group,g:midas_g_17987,s:midas_s_17987;	HQ	059-AT-02.bin.1.172_contig_548.region001.gbk_region_1	NA
059-AT-02.bin.c.21	059-AT-02.bin.c.21_contig_19468	1	956372	999256	FALSE	putative_wzy_dependent				059-AT-02.bin.c.21_contig_19468	Uncharacterised	1	d__Bacteria	p__Bacteroidota	c__Ignavibacteria	o__SJA-28	f__OLB5	g__OLB5	s__OLB5 sp020852705	FLASV44835.1350;tax=d:Bacteria,p:Bacteroidota,c:Ignavibacteria,o:SJA-28,f:midas_f_31,g:midas_g_171,s:midas_s_15958;	HQ	059-AT-02.bin.c.21_contig_19468.region001.gbk_region_1	NA
059-AT-02.bin.c.21	059-AT-02.bin.c.21_contig_19468	2	1695319	1750266	FALSE	putative_wzy_dependent_NO_OPX				059-AT-02.bin.c.21_contig_19468	Uncharacterised	1	d__Bacteria	p__Bacteroidota	c__Ignavibacteria	o__SJA-28	f__OLB5	g__OLB5	s__OLB5 sp020852705	FLASV44835.1350;tax=d:Bacteria,p:Bacteroidota,c:Ignavibacteria,o:SJA-28,f:midas_f_31,g:midas_g_171,s:midas_s_15958;	HQ	059-AT-02.bin.c.21_contig_19468.region002.gbk_region_1	NA
037-NO2-03.bin.1.124	037-NO2-03.bin.1.124_contig_107474	1	123045	192055	FALSE	putative_wzy_dependent				037-NO2-03.bin.1.124_contig_107474	Uncharacterised	1	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Paludibacteraceae	g__UPXZ01	s__	FLASV5311.1450;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Bacteroidales,f:Paludibacteraceae,g:Paludibacter,s:midas_s_5311;	HQ	037-NO2-03.bin.1.124_contig_107474.region001.gbk_region_1	NA
037-NO2-03.bin.1.124	037-NO2-03.bin.1.124_contig_18134	1	594412	648430	FALSE	putative_wzy_dependent				037-NO2-03.bin.1.124_contig_18134	Uncharacterised	1	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Paludibacteraceae	g__UPXZ01	s__	FLASV5311.1450;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Bacteroidales,f:Paludibacteraceae,g:Paludibacter,s:midas_s_5311;	HQ	037-NO2-03.bin.1.124_contig_18134.region001.gbk_region_1	NA
076-IN-18.bin.2.475	076-IN-18.bin.2.475_contig_284806	1	52768	91114	TRUE	putative_wzy_dependent_NO_OPX				076-IN-18.bin.2.475_contig_284806	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Fuscibacter	s__	FLASV15978.1284;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodobacterales,f:Rhodobacteraceae,g:Rhodobacter,s:midas_s_15978;	HQ	076-IN-18.bin.2.475_contig_284806.region001.gbk_region_1	NA
020-NO1-03.bin.1.65	020-NO1-03.bin.1.65_contig_32567	1	660392	690899	FALSE	putative_wzy_dependent_NO_OPX				020-NO1-03.bin.1.65_contig_32567	Uncharacterised	1	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__	s__	FLASV27019.1368;tax=d:Bacteria,p:Myxococcota,c:Myxococcia,o:Myxococcales,f:Myxococcaceae,g:P3OB-42,s:midas_s_14204;	HQ	020-NO1-03.bin.1.65_contig_32567.region001.gbk_region_1	NA
087-SA-04.bin.2.88	087-SA-04.bin.2.88_contig_100745	1	220390	299975	FALSE	putative_wzy_dependent_NO_OPX				087-SA-04.bin.2.88_contig_100745	Uncharacterised	1	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Saprospiraceae	g__JADJTT01	s__	FLASV35054.1354;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1838,s:midas_s_14011;	HQ	087-SA-04.bin.2.88_contig_100745.region001.gbk_region_1	NA
087-SA-04.bin.2.88	087-SA-04.bin.2.88_contig_20510	1	311146	381989	FALSE	putative_wzy_dependent				087-SA-04.bin.2.88_contig_20510	Uncharacterised	1	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Saprospiraceae	g__JADJTT01	s__	FLASV35054.1354;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1838,s:midas_s_14011;	HQ	087-SA-04.bin.2.88_contig_20510.region001.gbk_region_1	NA
087-SA-04.bin.2.88	087-SA-04.bin.2.88_contig_40357	1	380123	429591	FALSE	putative_wzy_dependent				087-SA-04.bin.2.88_contig_40357	Uncharacterised	1	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Saprospiraceae	g__JADJTT01	s__	FLASV35054.1354;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1838,s:midas_s_14011;	HQ	087-SA-04.bin.2.88_contig_40357.region001.gbk_region_1	NA
087-SA-04.bin.2.88	087-SA-04.bin.2.88_contig_89865	1	390699	454447	FALSE	putative_ABC_dependent				087-SA-04.bin.2.88_contig_89865	Uncharacterised	1	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Saprospiraceae	g__JADJTT01	s__	FLASV35054.1354;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_1838,s:midas_s_14011;	HQ	087-SA-04.bin.2.88_contig_89865.region001.gbk_region_1	NA
078-MX-10.bin.1.600	078-MX-10.bin.1.600_contig_21570	1	0	47904	TRUE	putative_ABC_dependent_NO_OPX				078-MX-10.bin.1.600_contig_21570	Uncharacterised	1	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Actinomycetales	f__Dermatophilaceae	g__Ornithinicoccus_A	s__	FLASV9603.1526;tax=d:Bacteria,p:Actinobacteriota,c:Actinobacteria,o:Micrococcales,f:Intrasporangiaceae,g:Tetrasphaera,s:Tetrasphaera_japonica;	HQ	078-MX-10.bin.1.600_contig_21570.region001.gbk_region_1	NA
037-NO2-03.bin.1.3	037-NO2-03.bin.1.3_contig_1196	1	644292	698086	FALSE	putative_wzy_dependent_NO_OPX				037-NO2-03.bin.1.3_contig_1196	Uncharacterised	1	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__NS11-12g	f__UBA9320	g__JABWCE01	s__	FLASV11201.1354;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Sphingobacteriales,f:NS11-12_marine_group,g:midas_g_11201,s:midas_s_11201;	HQ	037-NO2-03.bin.1.3_contig_1196.region001.gbk_region_1	NA
037-NO2-03.bin.1.3	037-NO2-03.bin.1.3_contig_68558	1	594356	660641	FALSE	putative_wzy_dependent				037-NO2-03.bin.1.3_contig_68558	Uncharacterised	1	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__NS11-12g	f__UBA9320	g__JABWCE01	s__	FLASV11201.1354;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Sphingobacteriales,f:NS11-12_marine_group,g:midas_g_11201,s:midas_s_11201;	HQ	037-NO2-03.bin.1.3_contig_68558.region001.gbk_region_1	NA
099-UY-16.bin.1.188	099-UY-16.bin.1.188_contig_221	1	122365	177003	FALSE	zooglan				099-UY-16.bin.1.188_contig_221	Wzx/Wzy	3	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Rhodocyclaceae	g__Azonexus	s__	FLASV5762.1460;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Burkholderiales,f:Rhodocyclaceae,g:Azonexus,s:midas_s_5762;	HQ	099-UY-16.bin.1.188_contig_221.region001.gbk_region_1	NA
099-UY-16.bin.1.188	099-UY-16.bin.1.188_contig_221	2	465117	526086	TRUE	putative_wzy_dependent_NO_OPX				099-UY-16.bin.1.188_contig_221	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Rhodocyclaceae	g__Azonexus	s__	FLASV5762.1460;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Burkholderiales,f:Rhodocyclaceae,g:Azonexus,s:midas_s_5762;	HQ	099-UY-16.bin.1.188_contig_221.region002.gbk_region_1	NA
