bin	gtdb.r226	midas4.8	midas4.8_top_iden	midas5.3	midas5.3_top_iden
004-NL-18.bin.1.233	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__PHOS-HE28 sp016721825	FLASV1225.1446;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_225,s:midas_s_1225;	100	FLASV1225.1446;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_225,s:midas_s_1225;	100
004-NL-18.bin.1.643	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__PHOS-HE28 sp016717225	FLASV843.1446;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_843,s:midas_s_843;	100	FLASV843.1446;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_843,s:midas_s_843;	100
004-NL-18.bin.1.785	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__PHOS-HE28 sp016718655	FLASV1233.1445;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_385,s:midas_s_1233;	100	FLASV1233.1445;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_385,s:midas_s_1233;	100
004-NL-18.bin.2.452	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__PHOS-HE28 sp016702645	FLASV937.1445;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_225,s:midas_s_937;	100	FLASV937.1445;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_225,s:midas_s_937;	100
004-NL-18.bin.3.621	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__	FLASV3089.1445;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_225,s:midas_s_3089;	100	FLASV3089.1445;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_225,s:midas_s_3089;	100
006-MY-06.bin.1.418	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__	FLASV57487.1354;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_3186,s:midas_s_14641;	100	FLASV57487.1354;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_3186,s:midas_s_14641;	100
006-MY-06.bin.1.978	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__	FLASV19651.1353;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_3186,s:midas_s_12098;	99.9	FLASV19651.1353;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_3186,s:midas_s_12098;	99.9
007-SA-08.bin.c.7	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__	FLASV46137.1354;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_3186,s:midas_s_46137;	100	FLASV46137.1354;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_3186,s:midas_s_46137;	100
007-SA-08.bin.c.8	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__PHOS-HE28 sp013360395	FLASV12112.1354;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_3186,s:midas_s_12112;	100	FLASV12112.1354;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_3186,s:midas_s_12112;	100
008-AR-23.bin.1.160	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__	FLASV19651.1353;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_3186,s:midas_s_12098;	100	FLASV19651.1353;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_3186,s:midas_s_12098;	100
008-AR-23.bin.1.228	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__PHOS-HE28 sp008016945	FLASV10865.1353;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_3186,s:midas_s_10865;	100	FLASV10865.1353;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_3186,s:midas_s_10865;	100
008-AR-23.bin.1.351	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__	FLASV14641.1354;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_3186,s:midas_s_14641;	100	FLASV14641.1354;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_3186,s:midas_s_14641;	100
009-AU-01.bin.1.143	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__PHOS-HE28 sp008016945	FLASV10865.1353;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_3186,s:midas_s_10865;	100	FLASV10865.1353;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_3186,s:midas_s_10865;	100
009-AU-01.bin.1.233	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__	FLASV14641.1354;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_3186,s:midas_s_14641;	100	FLASV14641.1354;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_3186,s:midas_s_14641;	100
009-AU-01.bin.1.530	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__	FLASV19651.1353;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_3186,s:midas_s_12098;	100	FLASV19651.1353;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_3186,s:midas_s_12098;	100
010-BE-17.bin.1.522	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__PHOS-HE28 sp016717305	FLASV797.1445;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_385,s:midas_s_499;	100	FLASV797.1445;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_385,s:midas_s_499;	100
011-CY-01.bin.1.560	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__PHOS-HE28 sp018267155	FLASV10781.1354;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_843,s:midas_s_10781;	100	FLASV10781.1354;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_843,s:midas_s_10781;	100
011-CY-01.bin.2.221	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__PHOS-HE28 sp020847755	FLASV3186.1446;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_3186,s:midas_s_3186;	99.2	FLASV3186.1446;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_3186,s:midas_s_3186;	99.2
011-CY-01.bin.2.58	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__	FLASV1442.1492;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Burkholderiales,f:Chitinimonadaceae,g:Chitinivorax,s:midas_s_1442;	98.1	FLASV1442.1492;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Burkholderiales,f:Chitinimonadaceae,g:Chitinivorax,s:midas_s_1442;	98.1
011-CY-01.bin.2.76	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__PHOS-HE28 sp020848295	FLASV11097.1353;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_3186,s:midas_s_11097;	99.9	FLASV11097.1353;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_3186,s:midas_s_11097;	99.9
012-PT-06.bin.1.372	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__	FLASV4229.1445;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_225,s:midas_s_937;	100	FLASV4229.1445;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_225,s:midas_s_937;	100
013-IT-11.bin.1.280	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__	FLASV2662.1446;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_843,s:midas_s_1433;	100	FLASV2662.1446;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_843,s:midas_s_1433;	100
013-IT-11.bin.1.289	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__PHOS-HE28 sp016718655	FLASV1233.1445;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_385,s:midas_s_1233;	100	FLASV1233.1445;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_385,s:midas_s_1233;	100
013-IT-11.bin.1.471	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__	FLASV14641.1354;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_3186,s:midas_s_14641;	100	FLASV14641.1354;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_3186,s:midas_s_14641;	100
013-IT-11.bin.1.61	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__PHOS-HE28 sp016721825	FLASV1225.1446;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_225,s:midas_s_1225;	100	FLASV1225.1446;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_225,s:midas_s_1225;	100
013-IT-11.bin.1.612	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__PHOS-HE28 sp016703005	FLASV1171.1446;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_843,s:midas_s_1171;	100	FLASV1171.1446;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_843,s:midas_s_1171;	100
013-IT-11.bin.1.626	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__	FLASV4993.1446;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_843,s:midas_s_4993;	100	FLASV4993.1446;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_843,s:midas_s_4993;	100
013-IT-11.bin.1.651	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__PHOS-HE28 sp016713875	FLASV3186.1446;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_3186,s:midas_s_3186;	100	FLASV3186.1446;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_3186,s:midas_s_3186;	100
013-IT-11.bin.1.750	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__PHOS-HE28 sp016703105	FLASV597.1445;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_225,s:midas_s_597;	100	FLASV597.1445;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_225,s:midas_s_597;	100
013-IT-11.bin.1.788	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__	FLASV4188.1445;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_225,s:midas_s_3536;	100	FLASV4188.1445;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_225,s:midas_s_3536;	100
013-IT-11.bin.1.825	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__	FLASV17225.1353;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_225,s:midas_s_17225;	100	FLASV17225.1353;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_225,s:midas_s_17225;	100
013-IT-11.bin.2.76	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__	FLASV27218.1353;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_3186,s:midas_s_27218;	100	FLASV27218.1353;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_3186,s:midas_s_27218;	100
015-DE-14.bin.1.101	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__	FLASV4668.1445;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_385,s:midas_s_499;	100	FLASV4668.1445;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_385,s:midas_s_499;	100
015-DE-14.bin.1.249	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__	FLASV7334.1445;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_385,s:midas_s_1233;	99.7	FLASV7334.1445;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_385,s:midas_s_1233;	99.7
015-DE-14.bin.1.502	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__PHOS-HE28 sp016721825	FLASV1225.1446;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_225,s:midas_s_1225;	100	FLASV1225.1446;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_225,s:midas_s_1225;	100
015-DE-14.bin.3.21	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__	FLASV7334.1445;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_385,s:midas_s_1233;	100	FLASV7334.1445;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_385,s:midas_s_1233;	100
016-PL-06.bin.1.158	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__PHOS-HE28 sp016704485	FLASV385.1443;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_385,s:midas_s_385;	99.9	FLASV385.1443;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_385,s:midas_s_385;	99.9
016-PL-06.bin.1.230	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__PHOS-HE28 sp016721825	FLASV1225.1446;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_225,s:midas_s_1225;	99.9	FLASV1225.1446;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_225,s:midas_s_1225;	99.9
016-PL-06.bin.1.410	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__PHOS-HE28 sp016702645	FLASV937.1445;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_225,s:midas_s_937;	99.8	FLASV937.1445;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_225,s:midas_s_937;	99.8
016-PL-06.bin.1.54	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__PHOS-HE28 sp016713875	FLASV3186.1446;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_3186,s:midas_s_3186;	100	FLASV3186.1446;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_3186,s:midas_s_3186;	100
016-PL-06.bin.1.800	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__PHOS-HE28 sp016710015	FLASV758.1445;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_385,s:midas_s_758;	100	FLASV758.1445;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_385,s:midas_s_758;	100
016-PL-06.bin.1.869	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__PHOS-HE28 sp016717225	FLASV843.1446;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_843,s:midas_s_843;	100	FLASV843.1446;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_843,s:midas_s_843;	100
017-IL-02.bin.1.178	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__	FLASV12098.1353;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_3186,s:midas_s_12098;	100	FLASV12098.1353;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_3186,s:midas_s_12098;	100
017-IL-02.bin.1.251	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__PHOS-HE28 sp008016945	FLASV10865.1353;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_3186,s:midas_s_10865;	100	FLASV10865.1353;tax=d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_3186,s:midas_s_10865;	100
