genome_id	contig_id	region_id	gene_id	location	product	Query	e-value	bitscore	pfam_hit
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_357	[9716:12764](+)	pel-like				
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_358	[12735:14367](+)	pel-like				
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_359	[14407:14983](+)	pel-like	pelC	7.5e-36	119.5	
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_360	[15000:16539](+)	pel-like	pelF	5.6e-173	572.4	PF11997.11 (Domain of unknown function (DUF3492)): [8:280] (score: 267.1, e-value: 2.10E-79)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_360	[15000:16539](+)	pel-like	pelF	5.6e-173	572.4	PF00534.23 (Glycosyl transferases group 1): [307:472] (score: 77.0, e-value: 1.30E-21)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_360	[15000:16539](+)	pel-like	pelF_pos	6.7e-121	400.4	PF11997.11 (Domain of unknown function (DUF3492)): [8:280] (score: 267.1, e-value: 2.10E-79)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_360	[15000:16539](+)	pel-like	pelF_pos	6.7e-121	400.4	PF00534.23 (Glycosyl transferases group 1): [307:472] (score: 77.0, e-value: 1.30E-21)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_360	[15000:16539](+)	pel-like	l_zooGT5_zooglan	2e-28	95.3	PF11997.11 (Domain of unknown function (DUF3492)): [8:280] (score: 267.1, e-value: 2.10E-79)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_360	[15000:16539](+)	pel-like	l_zooGT5_zooglan	2e-28	95.3	PF00534.23 (Glycosyl transferases group 1): [307:472] (score: 77.0, e-value: 1.30E-21)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_360	[15000:16539](+)	pel-like	l_zooGT1_zooglan	3.5e-07	25.5	PF11997.11 (Domain of unknown function (DUF3492)): [8:280] (score: 267.1, e-value: 2.10E-79)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_360	[15000:16539](+)	pel-like	l_zooGT1_zooglan	3.5e-07	25.5	PF00534.23 (Glycosyl transferases group 1): [307:472] (score: 77.0, e-value: 1.30E-21)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_360	[15000:16539](+)	pel-like	epsF_pnag	4.6e-16	54.7	PF11997.11 (Domain of unknown function (DUF3492)): [8:280] (score: 267.1, e-value: 2.10E-79)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_360	[15000:16539](+)	pel-like	epsF_pnag	4.6e-16	54.7	PF00534.23 (Glycosyl transferases group 1): [307:472] (score: 77.0, e-value: 1.30E-21)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_360	[15000:16539](+)	pel-like	l_1028_lactobacillus	2.2e-18	62.3	PF11997.11 (Domain of unknown function (DUF3492)): [8:280] (score: 267.1, e-value: 2.10E-79)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_360	[15000:16539](+)	pel-like	l_1028_lactobacillus	2.2e-18	62.3	PF00534.23 (Glycosyl transferases group 1): [307:472] (score: 77.0, e-value: 1.30E-21)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_361	[16542:17922](+)	pel-like	pelG	5.7e-136	449.9	PF16933.8 (Putative exopolysaccharide Exporter (EPS-E)): [0:451] (score: 439.5, e-value: 1.60E-131)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_361	[16542:17922](+)	pel-like	pelG_pos	1.8e-102	339.5	PF16933.8 (Putative exopolysaccharide Exporter (EPS-E)): [0:451] (score: 439.5, e-value: 1.60E-131)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_361	[16542:17922](+)	pel-like	Polysacc_synt_C	5.2e-07	25.9	PF16933.8 (Putative exopolysaccharide Exporter (EPS-E)): [0:451] (score: 439.5, e-value: 1.60E-131)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_362	[18012:19236](+)	pel-like				PF13458.9 (Periplasmic binding protein): [29:385] (score: 190.0, e-value: 1.10E-55)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_363	[19272:20172](+)	pel-like				PF02653.19 (Branched-chain amino acid transport system / permease component): [17:285] (score: 108.2, e-value: 4.30E-31)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_364	[20168:21203](+)	pel-like				PF02653.19 (Branched-chain amino acid transport system / permease component): [35:316] (score: 100.4, e-value: 1.00E-28)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_365	[21199:21943](+)	pel-like	wgdA_galactoglucan	4.7e-46	153.0	PF00005.30 (ABC transporter): [20:174] (score: 97.6, e-value: 9.20E-28)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_365	[21199:21943](+)	pel-like	wgdA_galactoglucan	4.7e-46	153.0	PF12399.11 (Branched-chain amino acid ATP-binding cassette transporter): [222:246] (score: 42.5, e-value: 3.70E-11)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_365	[21199:21943](+)	pel-like	l_wgdA_galactoglucan	4.7e-46	153.0	PF00005.30 (ABC transporter): [20:174] (score: 97.6, e-value: 9.20E-28)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_365	[21199:21943](+)	pel-like	l_wgdA_galactoglucan	4.7e-46	153.0	PF12399.11 (Branched-chain amino acid ATP-binding cassette transporter): [222:246] (score: 42.5, e-value: 3.70E-11)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_365	[21199:21943](+)	pel-like	l_exsA_succinoglycan	2.7e-21	72.2	PF00005.30 (ABC transporter): [20:174] (score: 97.6, e-value: 9.20E-28)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_365	[21199:21943](+)	pel-like	l_exsA_succinoglycan	2.7e-21	72.2	PF12399.11 (Branched-chain amino acid ATP-binding cassette transporter): [222:246] (score: 42.5, e-value: 3.70E-11)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_365	[21199:21943](+)	pel-like	l_lolD_zooglan	1e-20	70.1	PF00005.30 (ABC transporter): [20:174] (score: 97.6, e-value: 9.20E-28)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_365	[21199:21943](+)	pel-like	l_lolD_zooglan	1e-20	70.1	PF12399.11 (Branched-chain amino acid ATP-binding cassette transporter): [222:246] (score: 42.5, e-value: 3.70E-11)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_365	[21199:21943](+)	pel-like	ABC_tran	4e-32	107.8	PF00005.30 (ABC transporter): [20:174] (score: 97.6, e-value: 9.20E-28)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_365	[21199:21943](+)	pel-like	ABC_tran	4e-32	107.8	PF12399.11 (Branched-chain amino acid ATP-binding cassette transporter): [222:246] (score: 42.5, e-value: 3.70E-11)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_365	[21199:21943](+)	pel-like	l_atrB_sphingans	1.8e-10	35.5	PF00005.30 (ABC transporter): [20:174] (score: 97.6, e-value: 9.20E-28)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_365	[21199:21943](+)	pel-like	l_atrB_sphingans	1.8e-10	35.5	PF12399.11 (Branched-chain amino acid ATP-binding cassette transporter): [222:246] (score: 42.5, e-value: 3.70E-11)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_366	[21939:22737](+)	pel-like	wgdA_galactoglucan	7.8e-42	139.1	PF00005.30 (ABC transporter): [45:192] (score: 95.5, e-value: 4.10E-27)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_366	[21939:22737](+)	pel-like	l_wgdA_galactoglucan	7.8e-42	139.1	PF00005.30 (ABC transporter): [45:192] (score: 95.5, e-value: 4.10E-27)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_366	[21939:22737](+)	pel-like	l_atrB_sphingans	2.1e-14	48.5	PF00005.30 (ABC transporter): [45:192] (score: 95.5, e-value: 4.10E-27)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_366	[21939:22737](+)	pel-like	l_lolD_zooglan	1.8e-22	75.8	PF00005.30 (ABC transporter): [45:192] (score: 95.5, e-value: 4.10E-27)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_366	[21939:22737](+)	pel-like	ABC_tran	2.7e-30	101.8	PF00005.30 (ABC transporter): [45:192] (score: 95.5, e-value: 4.10E-27)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_366	[21939:22737](+)	pel-like	l_exsA_succinoglycan	1e-18	63.8	PF00005.30 (ABC transporter): [45:192] (score: 95.5, e-value: 4.10E-27)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_367	[22736:23267](+)	pel-like				PF04343.16 (Protein of unknown function, DUF488): [22:134] (score: 75.8, e-value: 4.70E-21)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_368	[23365:23470](+)	pel-like				
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_369	[23529:24591](+)	pel-like				PF00107.29 (Zinc-binding dehydrogenase): [183:308] (score: 42.2, e-value: 8.10E-11)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_370	[24645:26139](+)	pel-like				PF01979.23 (Amidohydrolase family): [55:434] (score: 177.4, e-value: 5.30E-52)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_371	[26160:26817](+)	pel-like				PF06267.15 (Family of unknown function (DUF1028)): [1:191] (score: 196.9, e-value: 2.90E-58)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_372	[27035:29777](+)	pel-like				PF03707.19 (Bacterial signalling protein N terminal repeat): [67:118] (score: 58.4, e-value: 6.30E-16)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_372	[27035:29777](+)	pel-like				PF03707.19 (Bacterial signalling protein N terminal repeat): [131:182] (score: 56.3, e-value: 2.80E-15)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_372	[27035:29777](+)	pel-like				PF03707.19 (Bacterial signalling protein N terminal repeat): [199:253] (score: 29.8, e-value: 5.60E-07)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_372	[27035:29777](+)	pel-like				PF00989.28 (PAS fold): [271:370] (score: 44.4, e-value: 1.60E-11)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_372	[27035:29777](+)	pel-like				PF00512.28 (His Kinase A (phospho-acceptor) domain): [392:457] (score: 65.4, e-value: 3.70E-18)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_372	[27035:29777](+)	pel-like				PF02518.29 (Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase): [504:619] (score: 116.3, e-value: 9.90E-34)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_372	[27035:29777](+)	pel-like				PF00072.27 (Response regulator receiver domain): [642:758] (score: 55.7, e-value: 5.30E-15)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_372	[27035:29777](+)	pel-like				PF00072.27 (Response regulator receiver domain): [788:901] (score: 95.1, e-value: 3.00E-27)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_373	[29773:30997](-)	pel-like				PF01266.27 (FAD dependent oxidoreductase): [5:364] (score: 199.4, e-value: 1.30E-58)
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_374	[31171:31384](+)	pel-like				
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_375	[31380:31647](+)	pel-like				
082-NL-09.bin.1.14	082-NL-09.bin.1.14_contig_4407	region001	ctg2_376	[31851:32886](-)	pel-like				PF00348.20 (Polyprenyl synthetase): [50:296] (score: 244.4, e-value: 1.10E-72)
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1209	[447:1932](+)	pel-like				
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1210	[2148:3369](-)	pel-like				PF04055.24 (Radical SAM superfamily): [51:182] (score: 45.3, e-value: 1.30E-11)
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1211	[3401:4547](-)	pel-like				PF02492.22 (CobW/HypB/UreG, nucleotide-binding domain): [8:191] (score: 85.6, e-value: 3.20E-24)
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1212	[4600:5617](-)	pel-like				PF06271.15 (RDD family): [130:256] (score: 49.7, e-value: 4.90E-13)
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1212	[4600:5617](-)	pel-like				PF14237.9 (GYF domain 2): [29:76] (score: 35.9, e-value: 5.10E-09)
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1213	[5815:6496](+)	pel-like				PF01258.20 (Prokaryotic dksA/traR C4-type zinc finger): [150:186] (score: 41.8, e-value: 8.10E-11)
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1214	[6559:6733](+)	pel-like				PF00471.23 (Ribosomal protein L33): [4:57] (score: 55.4, e-value: 7.00E-15)
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1215	[6761:7001](+)	pel-like				PF01084.23 (Ribosomal protein S18): [27:78] (score: 70.6, e-value: 9.50E-20)
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1216	[7044:7248](-)	pel-like				
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1217	[7263:8058](+)	pel-like				PF02649.17 (Type I GTP cyclohydrolase folE2): [4:256] (score: 314.1, e-value: 7.80E-94)
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1218	[8070:10023](+)	pel-like				
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1219	[10031:11111](-)	pel-like				PF01408.25 (Oxidoreductase family, NAD-binding Rossmann fold): [31:149] (score: 59.3, e-value: 6.20E-16)
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1220	[11173:11959](-)	pel-like				
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1221	[12109:12535](-)	pel-like				
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1222	[12812:13016](-)	pel-like				
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1223	[13119:13575](-)	pel-like				
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1224	[14018:14849](-)	pel-like				
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1225	[15000:16368](-)	pel-like	pelG	2.9e-129	428.7	PF16933.8 (Putative exopolysaccharide Exporter (EPS-E)): [0:452] (score: 431.8, e-value: 3.50E-129)
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1225	[15000:16368](-)	pel-like	pelG_pos	3.8e-109	362.5	PF16933.8 (Putative exopolysaccharide Exporter (EPS-E)): [0:452] (score: 431.8, e-value: 3.50E-129)
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1225	[15000:16368](-)	pel-like	Polysacc_synt_C	5.9e-08	29.9	PF16933.8 (Putative exopolysaccharide Exporter (EPS-E)): [0:452] (score: 431.8, e-value: 3.50E-129)
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1226	[16383:17973](-)	pel-like	pelF	1.9e-167	555.1	PF00534.23 (Glycosyl transferases group 1): [314:482] (score: 90.4, e-value: 9.80E-26)
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1226	[16383:17973](-)	pel-like	pelF	1.9e-167	555.1	PF11997.11 (Domain of unknown function (DUF3492)): [8:286] (score: 263.9, e-value: 2.10E-78)
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1226	[16383:17973](-)	pel-like	pelF_pos	9.4e-131	433.8	PF00534.23 (Glycosyl transferases group 1): [314:482] (score: 90.4, e-value: 9.80E-26)
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1226	[16383:17973](-)	pel-like	pelF_pos	9.4e-131	433.8	PF11997.11 (Domain of unknown function (DUF3492)): [8:286] (score: 263.9, e-value: 2.10E-78)
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1226	[16383:17973](-)	pel-like	zooGT6_zooglan	1.4e-32	109.8	PF00534.23 (Glycosyl transferases group 1): [314:482] (score: 90.4, e-value: 9.80E-26)
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1226	[16383:17973](-)	pel-like	zooGT6_zooglan	1.4e-32	109.8	PF11997.11 (Domain of unknown function (DUF3492)): [8:286] (score: 263.9, e-value: 2.10E-78)
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1226	[16383:17973](-)	pel-like	l_aceC_acetan	4.2e-06	23.1	PF00534.23 (Glycosyl transferases group 1): [314:482] (score: 90.4, e-value: 9.80E-26)
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1226	[16383:17973](-)	pel-like	l_aceC_acetan	4.2e-06	23.1	PF11997.11 (Domain of unknown function (DUF3492)): [8:286] (score: 263.9, e-value: 2.10E-78)
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1226	[16383:17973](-)	pel-like	zooGT5_zooglan	2.9e-33	112.1	PF00534.23 (Glycosyl transferases group 1): [314:482] (score: 90.4, e-value: 9.80E-26)
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1226	[16383:17973](-)	pel-like	zooGT5_zooglan	2.9e-33	112.1	PF11997.11 (Domain of unknown function (DUF3492)): [8:286] (score: 263.9, e-value: 2.10E-78)
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1226	[16383:17973](-)	pel-like	l_zooGT5_zooglan	2.9e-33	112.1	PF00534.23 (Glycosyl transferases group 1): [314:482] (score: 90.4, e-value: 9.80E-26)
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1226	[16383:17973](-)	pel-like	l_zooGT5_zooglan	2.9e-33	112.1	PF11997.11 (Domain of unknown function (DUF3492)): [8:286] (score: 263.9, e-value: 2.10E-78)
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1226	[16383:17973](-)	pel-like	zooGT4_zooglan	1.6e-31	106.4	PF00534.23 (Glycosyl transferases group 1): [314:482] (score: 90.4, e-value: 9.80E-26)
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1226	[16383:17973](-)	pel-like	zooGT4_zooglan	1.6e-31	106.4	PF11997.11 (Domain of unknown function (DUF3492)): [8:286] (score: 263.9, e-value: 2.10E-78)
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1226	[16383:17973](-)	pel-like	zooGT2_zooglan	6.5e-35	117.6	PF00534.23 (Glycosyl transferases group 1): [314:482] (score: 90.4, e-value: 9.80E-26)
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1226	[16383:17973](-)	pel-like	zooGT2_zooglan	6.5e-35	117.6	PF11997.11 (Domain of unknown function (DUF3492)): [8:286] (score: 263.9, e-value: 2.10E-78)
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1226	[16383:17973](-)	pel-like	1027_lactobacillus	2.4e-21	72.9	PF00534.23 (Glycosyl transferases group 1): [314:482] (score: 90.4, e-value: 9.80E-26)
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1226	[16383:17973](-)	pel-like	1027_lactobacillus	2.4e-21	72.9	PF11997.11 (Domain of unknown function (DUF3492)): [8:286] (score: 263.9, e-value: 2.10E-78)
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1226	[16383:17973](-)	pel-like	epsF_pnag	2.3e-15	53.3	PF00534.23 (Glycosyl transferases group 1): [314:482] (score: 90.4, e-value: 9.80E-26)
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1226	[16383:17973](-)	pel-like	epsF_pnag	2.3e-15	53.3	PF11997.11 (Domain of unknown function (DUF3492)): [8:286] (score: 263.9, e-value: 2.10E-78)
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1226	[16383:17973](-)	pel-like	1028_lactobacillus	6.8e-23	78.0	PF00534.23 (Glycosyl transferases group 1): [314:482] (score: 90.4, e-value: 9.80E-26)
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1226	[16383:17973](-)	pel-like	1028_lactobacillus	6.8e-23	78.0	PF11997.11 (Domain of unknown function (DUF3492)): [8:286] (score: 263.9, e-value: 2.10E-78)
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1226	[16383:17973](-)	pel-like	l_1028_lactobacillus	6.8e-23	78.0	PF00534.23 (Glycosyl transferases group 1): [314:482] (score: 90.4, e-value: 9.80E-26)
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1226	[16383:17973](-)	pel-like	l_1028_lactobacillus	6.8e-23	78.0	PF11997.11 (Domain of unknown function (DUF3492)): [8:286] (score: 263.9, e-value: 2.10E-78)
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1226	[16383:17973](-)	pel-like	epsD_pnag	7.1e-21	71.7	PF00534.23 (Glycosyl transferases group 1): [314:482] (score: 90.4, e-value: 9.80E-26)
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1226	[16383:17973](-)	pel-like	epsD_pnag	7.1e-21	71.7	PF11997.11 (Domain of unknown function (DUF3492)): [8:286] (score: 263.9, e-value: 2.10E-78)
072-HK-05.bin.1.206	072-HK-05.bin.1.206_contig_30189	region001	ctg3_1226	[16383:17973](-)	pel-like	l_zooGT1_zooglan	3.5e-09	33.0	PF00534.23 (Glycosyl transferases group 1): [314:482] (score: 90.4, e-value: 9.80E-26)
