genome_id	exoPS_GCF
060-AU-05.bin.1.428_contig_8762.region002	MiDAS_GCF_1
059-AT-02.bin.1.524_contig_4973.region001	MiDAS_GCF_1
058-AR-20.bin.2.244_contig_92259.region001	MiDAS_GCF_1
058-AR-20.bin.2.12_contig_29692.region001	MiDAS_GCF_1
058-AR-20.bin.1.83_contig_9474.region001	MiDAS_GCF_1
058-AR-20.bin.1.70_contig_16260.region001	MiDAS_GCF_1
058-AR-20.bin.1.66_contig_22703.region001	MiDAS_GCF_1
058-AR-20.bin.1.429_contig_18507.region001	MiDAS_GCF_1
058-AR-20.bin.1.389_contig_27895.region001	MiDAS_GCF_1
058-AR-20.bin.1.360_contig_39189.region001	MiDAS_GCF_1
058-AR-20.bin.1.17_contig_4695.region002	MiDAS_GCF_1
058-AR-20.bin.1.174_contig_3901.region001	MiDAS_GCF_1
058-AR-20.bin.1.111_contig_28741.region001	MiDAS_GCF_1
054-AR-04.bin.2.173_contig_22378.region001	MiDAS_GCF_1
054-AR-04.bin.1.368_contig_5324.region002	MiDAS_GCF_1
054-AR-04.bin.1.174_contig_7533.region001	MiDAS_GCF_1
053-PL-24.bin.1.558_contig_24448.region001	MiDAS_GCF_1
053-PL-24.bin.1.203_contig_12019.region001	MiDAS_GCF_1
051-IN-23.bin.2.120_contig_4800.region001	MiDAS_GCF_1
045-US1-87.bin.2.20_contig_20766.region001	MiDAS_GCF_1
045-US1-87.bin.1.84_contig_675.region001	MiDAS_GCF_1
045-US1-87.bin.1.479_contig_47635.region001	MiDAS_GCF_1
045-US1-87.bin.1.418_contig_108595.region001	MiDAS_GCF_1
045-US1-87.bin.1.417_contig_73186.region001	MiDAS_GCF_1
045-US1-87.bin.1.3_contig_138096.region001	MiDAS_GCF_1
045-US1-87.bin.1.236_contig_14024.region001	MiDAS_GCF_1
045-US1-87.bin.1.157_contig_1887.region001	MiDAS_GCF_1
045-US1-87.bin.1.119_contig_5771.region001	MiDAS_GCF_1
044-US1-41.bin.1.154_contig_10724.region001	MiDAS_GCF_1
042-US1-105.bin.1.529_contig_64444.region001	MiDAS_GCF_1
038-SE-10.bin.1.462_contig_99833.region001	MiDAS_GCF_1
038-SE-10.bin.1.419_contig_6251.region001	MiDAS_GCF_1
038-SE-10.bin.1.11_contig_58524.region002	MiDAS_GCF_1
037-NO2-03.bin.2.234_contig_231541.region002	MiDAS_GCF_1
036-NL-06.bin.2.383_contig_154789.region001	MiDAS_GCF_1
036-NL-06.bin.1.96_contig_5426.region001	MiDAS_GCF_1
036-NL-06.bin.1.699_contig_64441.region001	MiDAS_GCF_1
036-NL-06.bin.1.514_contig_5407.region001	MiDAS_GCF_1
036-NL-06.bin.1.260_contig_202151.region001	MiDAS_GCF_1
036-NL-06.bin.1.202_contig_5409.region001	MiDAS_GCF_1
036-NL-06.bin.1.190_contig_139149.region001	MiDAS_GCF_1
035-MX-06.bin.1.103_contig_10238.region001	MiDAS_GCF_1
034-IT-09.bin.2.186_contig_3006.region001	MiDAS_GCF_1
034-IT-09.bin.1.91_contig_23762.region002	MiDAS_GCF_1
034-IT-09.bin.1.109_contig_43382.region001	MiDAS_GCF_1
033-IN-11.bin.1.79_contig_16131.region001	MiDAS_GCF_1
033-IN-11.bin.1.460_contig_20337.region001	MiDAS_GCF_1
032-ES-07.bin.1.66_contig_108839.region002	MiDAS_GCF_1
031-CZ-17.bin.1.198_contig_49095.region001	MiDAS_GCF_1
029-CA-06.bin.1.58_contig_66779.region001	MiDAS_GCF_1
029-CA-06.bin.1.146_contig_37651.region003	MiDAS_GCF_1
028-AU-34.bin.1.345_contig_45941.region001	MiDAS_GCF_1
027-AU-18.bin.1.68_contig_13656.region001	MiDAS_GCF_1
027-AU-18.bin.1.336_contig_1030.region002	MiDAS_GCF_1
027-AU-18.bin.1.30_contig_1037.region001	MiDAS_GCF_1
027-AU-18.bin.1.253_contig_11568.region001	MiDAS_GCF_1
026-AT-03.bin.2.582_contig_45916.region001	MiDAS_GCF_1
025-FI-01.bin.1.287_contig_87420.region001	MiDAS_GCF_1
023-IN-14.bin.1.179_contig_46328.region001	MiDAS_GCF_1
023-IN-14.bin.1.103_contig_141341.region001	MiDAS_GCF_1
020-NO1-03.bin.2.167_contig_95454.region001	MiDAS_GCF_1
020-NO1-03.bin.1.502_contig_12799.region001	MiDAS_GCF_1
020-NO1-03.bin.1.445_contig_50593.region001	MiDAS_GCF_1
020-NO1-03.bin.1.243_contig_14724.region001	MiDAS_GCF_1
020-NO1-03.bin.1.121_contig_6503.region001	MiDAS_GCF_1
017-IL-02.bin.1.120_contig_28968.region001	MiDAS_GCF_1
016-PL-06.bin.1.536_contig_188.region001	MiDAS_GCF_1
015-DE-14.bin.1.526_contig_114256.region001	MiDAS_GCF_1
013-IT-11.bin.1.124_contig_8646.region001	MiDAS_GCF_1
012-PT-06.bin.1.157_contig_46365.region001	MiDAS_GCF_1
009-AU-01.bin.1.204_contig_14633.region001	MiDAS_GCF_1
008-AR-23.bin.2.134_contig_17332.region002	MiDAS_GCF_1
008-AR-23.bin.1.673_contig_6078.region001	MiDAS_GCF_1
008-AR-23.bin.1.656_contig_6080.region001	MiDAS_GCF_1
008-AR-23.bin.1.460_contig_27267.region001	MiDAS_GCF_1
008-AR-23.bin.1.235_contig_1452.region001	MiDAS_GCF_1
008-AR-23.bin.1.174_contig_35722.region001	MiDAS_GCF_1
008-AR-23.bin.1.118_contig_30118.region001	MiDAS_GCF_1
006-MY-06.bin.1.936_contig_43031.region001	MiDAS_GCF_1
006-MY-06.bin.1.667_contig_19081.region001	MiDAS_GCF_1
006-MY-06.bin.1.398_contig_19088.region001	MiDAS_GCF_1
006-MY-06.bin.1.376_contig_169282.region001	MiDAS_GCF_1
004-NL-18.bin.1.651_contig_58496.region001	MiDAS_GCF_1
004-NL-18.bin.1.334_contig_30312.region001	MiDAS_GCF_1
003-CA-05.bin.1.55_contig_5781.region001	MiDAS_GCF_1
003-CA-05.bin.1.382_contig_49931.region001	MiDAS_GCF_1
003-CA-05.bin.1.376_contig_3656.region001	MiDAS_GCF_1
003-CA-05.bin.1.33_contig_53104.region001	MiDAS_GCF_1
003-CA-05.bin.1.16_contig_139895.region001	MiDAS_GCF_1
