# If you find multiSMASH useful, please cite the Zenodo DOI: 10.5281/zenodo.8276143
record	total_count	PNAG-pga	PNAG-pga-like	alginate	alginate-like	alpha-glucansucrase	cellulose-gram-positive-like	cellulose-like	curdlan-like	fructansucrase	galactoglucan	generic-cellulose	lactobacillus_eps	pel	pel-like	pel-positive	psl	putative_ABC_dependent	putative_ABC_dependent_NO_OPX	putative_ABC_or_wzy_dependent	putative_wzy_dependent	putative_wzy_dependent_NO_OPX	type-1-cellulose	type-2-cellulose	type-3-cellulose	zooglan	hybrid	description
096-US2-26.bin.c.97.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	096-US2-26.bin.c.97_contig_37147 [1 total record]
064-CA-01.bin.1.289.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	064-CA-01.bin.1.289_contig_11022 [29 total records]
066-CH-22.bin.1.25.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	066-CH-22.bin.1.25_contig_12963 [3 total records]
090-US1-124.bin.1.362.fa	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0	0	090-US1-124.bin.1.362_contig_30389 [2 total records]
062-AU-26.bin.1.84.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	062-AU-26.bin.1.84_contig_2977 [1 total record]
075-IN-06.bin.1.156.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	075-IN-06.bin.1.156_contig_10901 [9 total records]
073-IL-01.bin.1.218.fa	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	073-IL-01.bin.1.218_contig_114982 [10 total records]
021-CZ-11.bin.1.157.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	021-CZ-11.bin.1.157_contig_134285 [2 total records]
054-AR-04.bin.1.410.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	054-AR-04.bin.1.410_contig_13504 [12 total records]
033-IN-11.bin.3.913.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	033-IN-11.bin.3.913_contig_10885 [32 total records]
044-US1-41.bin.1.64.fa	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	044-US1-41.bin.1.64_contig_10163 [34 total records]
035-MX-06.bin.c.23.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	035-MX-06.bin.c.23_contig_9125 [1 total record]
011-CY-01.bin.1.289.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	011-CY-01.bin.1.289_contig_15135 [19 total records]
096-US2-26.bin.1.18.fa	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	0	0	0	0	096-US2-26.bin.1.18_contig_14303 [22 total records]
094-US2-01.bin.1.254.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	094-US2-01.bin.1.254_contig_12840 [3 total records]
058-AR-20.bin.1.16.fa	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	058-AR-20.bin.1.16_contig_12108 [3 total records]
078-MX-10.bin.2.387.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	078-MX-10.bin.2.387_contig_103619 [22 total records]
089-SG-01.bin.1.114.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	089-SG-01.bin.1.114_contig_101039 [17 total records]
066-CH-22.bin.1.222.fa	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	066-CH-22.bin.1.222_contig_197566 [9 total records]
006-MY-06.bin.1.400.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	006-MY-06.bin.1.400_contig_27197 [4 total records]
054-AR-04.bin.1.256.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	054-AR-04.bin.1.256_contig_3464 [3 total records]
007-SA-08.bin.c.73.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	007-SA-08.bin.c.73_contig_24072 [1 total record]
053-PL-24.bin.1.211.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	053-PL-24.bin.1.211_contig_14744 [4 total records]
097-US2-29.bin.1.502.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	097-US2-29.bin.1.502_contig_100088 [5 total records]
061-AU-11.bin.2.8.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	061-AU-11.bin.2.8_contig_10030 [15 total records]
060-AU-05.bin.c.56.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	060-AU-05.bin.c.56_contig_6179 [1 total record]
033-IN-11.bin.1.504.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	033-IN-11.bin.1.504_contig_50531 [1 total record]
051-IN-23.bin.1.120.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	051-IN-23.bin.1.120_contig_17071 [8 total records]
038-SE-10.bin.1.89.fa	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	038-SE-10.bin.1.89_contig_10413 [2 total records]
061-AU-11.bin.c.49.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	061-AU-11.bin.c.49_contig_4441 [1 total record]
016-PL-06.bin.1.829.fa	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	016-PL-06.bin.1.829_contig_12413 [11 total records]
053-PL-24.bin.2.317.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	053-PL-24.bin.2.317_contig_100665 [40 total records]
038-SE-10.bin.1.499.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	038-SE-10.bin.1.499_contig_115543 [11 total records]
087-SA-04.bin.1.774.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	087-SA-04.bin.1.774_contig_11684 [2 total records]
071-HK-01.bin.1.76.fa	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	071-HK-01.bin.1.76_contig_129868 [17 total records]
067-CH-23.bin.1.88.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	067-CH-23.bin.1.88_contig_111948 [3 total records]
006-MY-06.bin.c.28.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	006-MY-06.bin.c.28_contig_35088 [1 total record]
021-CZ-11.bin.1.193.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	021-CZ-11.bin.1.193_contig_15946 [6 total records]
052-CH-10.bin.c.9.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	052-CH-10.bin.c.9_contig_2064 [1 total record]
048-UY-15.bin.1.5.fa	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	1	0	0	0	0	0	048-UY-15.bin.1.5_contig_14492 [3 total records]
096-US2-26.bin.1.135.fa	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	096-US2-26.bin.1.135_contig_146 [1 total record]
086-SA-02.bin.c.4.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	086-SA-02.bin.c.4_contig_4485 [1 total record]
015-DE-14.bin.1.152.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	015-DE-14.bin.1.152_contig_123018 [13 total records]
093-US1-47.bin.1.328.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	093-US1-47.bin.1.328_contig_100474 [288 total records]
016-PL-06.bin.1.318.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	016-PL-06.bin.1.318_contig_12139 [3 total records]
041-UK2-07.bin.1.145.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	041-UK2-07.bin.1.145_contig_77218 [2 total records]
067-CH-23.bin.1.49.fa	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	067-CH-23.bin.1.49_contig_119337 [6 total records]
087-SA-04.bin.1.409.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	087-SA-04.bin.1.409_contig_100458 [13 total records]
014-ES-23.bin.1.75.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	014-ES-23.bin.1.75_contig_16980 [3 total records]
017-IL-02.bin.1.274.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	017-IL-02.bin.1.274_contig_109598 [8 total records]
028-AU-34.bin.1.597.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	028-AU-34.bin.1.597_contig_109308 [9 total records]
026-AT-03.bin.1.296.fa	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	026-AT-03.bin.1.296_contig_108383 [12 total records]
045-US1-87.bin.1.236.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	045-US1-87.bin.1.236_contig_14024 [7 total records]
018-CH-08.bin.1.492.fa	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	018-CH-08.bin.1.492_contig_116881 [21 total records]
083-NL-13.bin.2.162.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	083-NL-13.bin.2.162_contig_10087 [14 total records]
075-IN-06.bin.1.39.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	075-IN-06.bin.1.39_contig_17372 [2 total records]
043-US1-27.bin.1.696.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	043-US1-27.bin.1.696_contig_100638 [15 total records]
020-NO1-03.bin.1.579.fa	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	020-NO1-03.bin.1.579_contig_10358 [6 total records]
001-SG-02.bin.1.70.fa	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	001-SG-02.bin.1.70_contig_1870 [2 total records]
088-SA-05.bin.1.86.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	088-SA-05.bin.1.86_contig_11709 [36 total records]
028-AU-34.bin.1.656.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	028-AU-34.bin.1.656_contig_10364 [28 total records]
016-PL-06.bin.1.172.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	016-PL-06.bin.1.172_contig_216004 [4 total records]
020-NO1-03.bin.1.463.fa	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	020-NO1-03.bin.1.463_contig_111347 [10 total records]
019-HK-04.bin.1.549.fa	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	019-HK-04.bin.1.549_contig_1001 [18 total records]
071-HK-01.bin.2.85.fa	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	071-HK-01.bin.2.85_contig_131101 [6 total records]
060-AU-05.bin.1.1107.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	060-AU-05.bin.1.1107_contig_125444 [14 total records]
089-SG-01.bin.1.431.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	089-SG-01.bin.1.431_contig_140181 [11 total records]
083-NL-13.bin.1.207.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	083-NL-13.bin.1.207_contig_142151 [5 total records]
091-US1-126.bin.1.343.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	091-US1-126.bin.1.343_contig_142 [14 total records]
021-CZ-11.bin.1.623.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	021-CZ-11.bin.1.623_contig_1543 [9 total records]
023-IN-14.bin.1.109.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	023-IN-14.bin.1.109_contig_10415 [8 total records]
096-US2-26.bin.1.152.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	096-US2-26.bin.1.152_contig_32318 [2 total records]
041-UK2-07.bin.1.351.fa	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	041-UK2-07.bin.1.351_contig_119405 [20 total records]
095-US2-13.bin.1.411.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	095-US2-13.bin.1.411_contig_104835 [13 total records]
002-MX-07.bin.1.197.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	002-MX-07.bin.1.197_contig_109241 [5 total records]
087-SA-04.bin.1.123.fa	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	2	0	0	0	0	0	087-SA-04.bin.1.123_contig_10106 [9 total records]
090-US1-124.bin.1.374.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	090-US1-124.bin.1.374_contig_126279 [7 total records]
071-HK-01.bin.1.293.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	071-HK-01.bin.1.293_contig_124232 [5 total records]
040-UK-14.bin.1.141.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	040-UK-14.bin.1.141_contig_114329 [7 total records]
055-AR-06.bin.3.1395.fa	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	055-AR-06.bin.3.1395_contig_110995 [32 total records]
088-SA-05.bin.2.395.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	088-SA-05.bin.2.395_contig_15082 [10 total records]
028-AU-34.bin.2.158.fa	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	028-AU-34.bin.2.158_contig_107195 [26 total records]
006-MY-06.bin.1.695.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	006-MY-06.bin.1.695_contig_12243 [7 total records]
006-MY-06.bin.1.413.fa	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	006-MY-06.bin.1.413_contig_104920 [13 total records]
053-PL-24.bin.1.509.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	053-PL-24.bin.1.509_contig_14945 [7 total records]
