genome_id	record_id	region	start	end	contig_edge	product	KCB_hit	KCB_acc	KCB_%	record_desc	Category	n_Category	Domain	Phylum	Class	Order	Family	Genus	Species	Database	derep	HQ	file_name
065-CA-03.bin.3.560	contig_21598	1	21797	83852	TRUE	Uncharacterised				contig_21598	Uncharacterised	1	d__Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	""	MiDAS Global	TRUE	FALSE	065-CA-03.bin.3.560_contig_21598.region001
013-IT-11.bin.1.109	contig_23536	1	859640	877407	FALSE	Uncharacterised				013-IT-11.bin.1.109_contig_23536	Uncharacterised	1	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium_B	""	MiDAS Global	TRUE	TRUE	013-IT-11.bin.1.109_contig_23536.region001
013-IT-11.bin.1.109	contig_6710	1	568611	591507	FALSE	Uncharacterised				013-IT-11.bin.1.109_contig_6710	Uncharacterised	1	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium_B	""	MiDAS Global	TRUE	TRUE	013-IT-11.bin.1.109_contig_6710.region001
013-IT-11.bin.1.109	contig_97320	1	72281	109580	FALSE	Uncharacterised				013-IT-11.bin.1.109_contig_97320	Uncharacterised	1	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium_B	""	MiDAS Global	TRUE	TRUE	013-IT-11.bin.1.109_contig_97320.region001
020-NO1-03.bin.1.3	contig_43294	1	324414	357070	FALSE	Uncharacterised				020-NO1-03.bin.1.3_contig_43294	Uncharacterised	1	d__Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	""	MiDAS Global	TRUE	TRUE	020-NO1-03.bin.1.3_contig_43294.region001
020-NO1-03.bin.1.3	contig_45600	1	1167	41009	TRUE	Uncharacterised				020-NO1-03.bin.1.3_contig_45600	Uncharacterised	1	d__Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	""	MiDAS Global	TRUE	TRUE	020-NO1-03.bin.1.3_contig_45600.region001
006-MY-06.bin.2.574	contig_10580	1	331874	372697	FALSE	Uncharacterised				contig_10580	Uncharacterised	1	d__Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	""	MiDAS Global	TRUE	FALSE	006-MY-06.bin.2.574_contig_10580.region001
006-MY-06.bin.2.574	contig_118523	1	415171	448896	FALSE	Uncharacterised				contig_118523	Uncharacterised	1	d__Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	""	MiDAS Global	TRUE	FALSE	006-MY-06.bin.2.574_contig_118523.region001
045-US1-87.bin.2.345	contig_31488	1	204652	269691	FALSE	Uncharacterised				contig_31488	Uncharacterised	1	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	""	MiDAS Global	TRUE	FALSE	045-US1-87.bin.2.345_contig_31488.region001
093-US1-47.bin.1.286	contig_24714	1	294551	353075	FALSE	Uncharacterised				093-US1-47.bin.1.286_contig_24714	Uncharacterised	1	d__Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Sulfuritalea	""	MiDAS Global	TRUE	TRUE	093-US1-47.bin.1.286_contig_24714.region001
076-IN-18.bin.2.556	contig_41394	1	0	36207	TRUE	Uncharacterised				contig_41394	Uncharacterised	1	d__Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azonexus	""	MiDAS Global	TRUE	FALSE	076-IN-18.bin.2.556_contig_41394.region001
059-AT-02.bin.2.274	contig_34086	1	61292	101499	FALSE	Uncharacterised				contig_34086	Uncharacterised	1	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	""	MiDAS Global	TRUE	FALSE	059-AT-02.bin.2.274_contig_34086.region001
059-AT-02.bin.2.274	contig_34086	2	370202	399853	TRUE	Uncharacterised				contig_34086	Uncharacterised	1	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	""	MiDAS Global	TRUE	FALSE	059-AT-02.bin.2.274_contig_34086.region002
020-NO1-03.bin.1.41	contig_6510	1	203077	222556	FALSE	Uncharacterised				contig_6510	Uncharacterised	1	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	""	MiDAS Global	TRUE	FALSE	020-NO1-03.bin.1.41_contig_6510.region001
020-NO1-03.bin.1.41	contig_8240	1	1438491	1464965	FALSE	Uncharacterised				contig_8240	Uncharacterised	1	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	""	MiDAS Global	TRUE	FALSE	020-NO1-03.bin.1.41_contig_8240.region001
064-CA-01.bin.2.82	contig_34595	1	939011	982210	TRUE	Uncharacterised				contig_34595	Uncharacterised	1	d__Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	""	MiDAS Global	TRUE	FALSE	064-CA-01.bin.2.82_contig_34595.region001
055-AR-06.bin.1.453	contig_8128	1	533630	548452	FALSE	PNAG-pga				055-AR-06.bin.1.453_contig_8128	Synthase	2	d__Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azonexus	""	MiDAS Global	TRUE	TRUE	055-AR-06.bin.1.453_contig_8128.region001
055-AR-06.bin.1.453	contig_8128	2	911294	982601	FALSE	zooglan				055-AR-06.bin.1.453_contig_8128	Wzx/Wzy	3	d__Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azonexus	""	MiDAS Global	TRUE	TRUE	055-AR-06.bin.1.453_contig_8128.region002
029-CA-06.bin.1.325	contig_15244	1	298370	328905	FALSE	Uncharacterised				029-CA-06.bin.1.325_contig_15244	Uncharacterised	1	d__Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	""	MiDAS Global	TRUE	TRUE	029-CA-06.bin.1.325_contig_15244.region001
091-US1-126.bin.2.31	contig_14692	1	63033	100345	FALSE	Uncharacterised				contig_14692	Uncharacterised	1	d__Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Zoogloea	Zoogloea sp017309145	MiDAS Global	TRUE	FALSE	091-US1-126.bin.2.31_contig_14692.region001
031-CZ-17.bin.2.349	contig_18574	1	0	14152	TRUE	Uncharacterised				contig_18574	Uncharacterised	1	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	""	MiDAS Global	TRUE	FALSE	031-CZ-17.bin.2.349_contig_18574.region001
031-CZ-17.bin.2.349	contig_62836	1	16247	34517	FALSE	cellulose-type-1				contig_62836	Synthase	2	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	""	MiDAS Global	TRUE	FALSE	031-CZ-17.bin.2.349_contig_62836.region001
031-CZ-17.bin.2.349	contig_9133	1	29766	91068	FALSE	Uncharacterised				contig_9133	Uncharacterised	1	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	""	MiDAS Global	TRUE	FALSE	031-CZ-17.bin.2.349_contig_9133.region001
052-CH-10.bin.1.210	contig_1830	1	742317	828405	FALSE	Uncharacterised				052-CH-10.bin.1.210_contig_1830	Uncharacterised	1	d__Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	""	MiDAS Global	TRUE	TRUE	052-CH-10.bin.1.210_contig_1830.region001
010-BE-17.bin.1.436	contig_145377	1	391535	425949	FALSE	Uncharacterised				contig_145377	Uncharacterised	1	d__Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	""	MiDAS Global	TRUE	FALSE	010-BE-17.bin.1.436_contig_145377.region001
025-FI-01.bin.1.261	contig_24506	1	61472	96887	FALSE	zooglan				025-FI-01.bin.1.261_contig_24506	Wzx/Wzy	3	d__Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Zoogloea	Zoogloea oleivorans	MiDAS Global	TRUE	TRUE	025-FI-01.bin.1.261_contig_24506.region001
025-FI-01.bin.1.261	contig_25429	1	21820	66665	FALSE	Uncharacterised				025-FI-01.bin.1.261_contig_25429	Uncharacterised	1	d__Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Zoogloea	Zoogloea oleivorans	MiDAS Global	TRUE	TRUE	025-FI-01.bin.1.261_contig_25429.region001
041-UK2-07.bin.1.149	contig_177034	1	198524	220212	FALSE	Uncharacterised				041-UK2-07.bin.1.149_contig_177034	Uncharacterised	1	d__Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	Ferruginibacter sp029561305	MiDAS Global	TRUE	TRUE	041-UK2-07.bin.1.149_contig_177034.region001
041-UK2-07.bin.1.149	contig_34886	1	101083	135758	FALSE	Uncharacterised				041-UK2-07.bin.1.149_contig_34886	Uncharacterised	1	d__Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	Ferruginibacter sp029561305	MiDAS Global	TRUE	TRUE	041-UK2-07.bin.1.149_contig_34886.region001
041-UK2-07.bin.1.149	contig_34886	2	669860	717807	FALSE	Uncharacterised				041-UK2-07.bin.1.149_contig_34886	Uncharacterised	1	d__Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	Ferruginibacter sp029561305	MiDAS Global	TRUE	TRUE	041-UK2-07.bin.1.149_contig_34886.region002
020-NO1-03.bin.1.149	contig_5247	1	815449	848925	FALSE	Uncharacterised				contig_5247	Uncharacterised	1	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium_B	""	MiDAS Global	TRUE	FALSE	020-NO1-03.bin.1.149_contig_5247.region001
020-NO1-03.bin.1.149	contig_5247	2	1148165	1161131	FALSE	pel-like				contig_5247	Synthase	2	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium_B	""	MiDAS Global	TRUE	FALSE	020-NO1-03.bin.1.149_contig_5247.region002
020-NO1-03.bin.1.149	contig_66814	1	319509	337476	FALSE	Uncharacterised				contig_66814	Uncharacterised	1	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium_B	""	MiDAS Global	TRUE	FALSE	020-NO1-03.bin.1.149_contig_66814.region001
020-NO1-03.bin.1.149	contig_66814	2	533648	582726	FALSE	Uncharacterised				contig_66814	Uncharacterised	1	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium_B	""	MiDAS Global	TRUE	FALSE	020-NO1-03.bin.1.149_contig_66814.region002
067-CH-23.bin.1.14	contig_7153	1	709165	731246	FALSE	Uncharacterised				067-CH-23.bin.1.14_contig_7153	Uncharacterised	1	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	""	MiDAS Global	TRUE	TRUE	067-CH-23.bin.1.14_contig_7153.region001
034-IT-09.bin.2.17	contig_60656	1	865028	908670	FALSE	Uncharacterised				contig_60656	Uncharacterised	1	d__Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	""	MiDAS Global	TRUE	FALSE	034-IT-09.bin.2.17_contig_60656.region001
034-IT-09.bin.2.17	contig_60656	2	1192677	1247838	FALSE	Uncharacterised				contig_60656	Uncharacterised	1	d__Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	""	MiDAS Global	TRUE	FALSE	034-IT-09.bin.2.17_contig_60656.region002
092-US1-44.bin.1.155	contig_15037	1	1574181	1613935	FALSE	Uncharacterised				092-US1-44.bin.1.155_contig_15037	Uncharacterised	1	d__Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	""	MiDAS Global	TRUE	TRUE	092-US1-44.bin.1.155_contig_15037.region001
092-US1-44.bin.1.155	contig_19721	1	399285	430911	FALSE	Uncharacterised				092-US1-44.bin.1.155_contig_19721	Uncharacterised	1	d__Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	""	MiDAS Global	TRUE	TRUE	092-US1-44.bin.1.155_contig_19721.region001
092-US1-44.bin.1.155	contig_5671	1	7006	69436	TRUE	Uncharacterised				092-US1-44.bin.1.155_contig_5671	Uncharacterised	1	d__Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	""	MiDAS Global	TRUE	TRUE	092-US1-44.bin.1.155_contig_5671.region001
063-AU-32.bin.1.155	contig_13837	1	277295	300307	FALSE	Uncharacterised				063-AU-32.bin.1.155_contig_13837	Uncharacterised	1	d__Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	Ferruginibacter sp018266715	MiDAS Global	TRUE	TRUE	063-AU-32.bin.1.155_contig_13837.region001
063-AU-32.bin.1.155	contig_7562	1	14153	38980	TRUE	Uncharacterised				063-AU-32.bin.1.155_contig_7562	Uncharacterised	1	d__Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	Ferruginibacter sp018266715	MiDAS Global	TRUE	TRUE	063-AU-32.bin.1.155_contig_7562.region001
091-US1-126.bin.2.37	contig_8201	1	947	23547	TRUE	pel				091-US1-126.bin.2.37_contig_8201	Synthase	2	d__Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax temperans	MiDAS Global	TRUE	TRUE	091-US1-126.bin.2.37_contig_8201.region001
078-MX-10.bin.4.747	contig_135244	1	0	12527	TRUE	pel-like				contig_135244	Synthase	2	d__Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Zoogloea	""	MiDAS Global	TRUE	FALSE	078-MX-10.bin.4.747_contig_135244.region001
078-MX-10.bin.4.747	contig_27155	1	0	18262	TRUE	Uncharacterised				contig_27155	Uncharacterised	1	d__Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Zoogloea	""	MiDAS Global	TRUE	FALSE	078-MX-10.bin.4.747_contig_27155.region001
016-PL-06.bin.3.161	contig_87391	1	49963	64758	TRUE	PNAG-pga				contig_87391	Synthase	2	d__Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azonexus	""	MiDAS Global	TRUE	FALSE	016-PL-06.bin.3.161_contig_87391.region001
043-US1-27.bin.1.301	contig_33914	1	271678	309454	FALSE	Uncharacterised				043-US1-27.bin.1.301_contig_33914	Uncharacterised	1	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium_C	""	MiDAS Global	TRUE	TRUE	043-US1-27.bin.1.301_contig_33914.region001
072-HK-05.bin.2.170	contig_124047	1	124009	142797	TRUE	Uncharacterised				contig_124047	Uncharacterised	1	d__Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	""	MiDAS Global	TRUE	FALSE	072-HK-05.bin.2.170_contig_124047.region001
072-HK-05.bin.2.170	contig_70762	1	14415	52502	TRUE	Uncharacterised				contig_70762	Uncharacterised	1	d__Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	""	MiDAS Global	TRUE	FALSE	072-HK-05.bin.2.170_contig_70762.region001
003-CA-05.bin.1.355	contig_7643	1	1426210	1466892	TRUE	zooglan				003-CA-05.bin.1.355_contig_7643	Wzx/Wzy	3	d__Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azonexus	""	MiDAS Global	TRUE	TRUE	003-CA-05.bin.1.355_contig_7643.region001
028-AU-34.bin.1.287	contig_18557	1	1067897	1135934	FALSE	Uncharacterised				028-AU-34.bin.1.287_contig_18557	Uncharacterised	1	d__Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	""	MiDAS Global	TRUE	TRUE	028-AU-34.bin.1.287_contig_18557.region001
028-AU-34.bin.1.287	contig_18557	2	1417502	1452062	FALSE	Uncharacterised				028-AU-34.bin.1.287_contig_18557	Uncharacterised	1	d__Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	""	MiDAS Global	TRUE	TRUE	028-AU-34.bin.1.287_contig_18557.region002
028-AU-34.bin.1.287	contig_8612	1	628625	687328	FALSE	Uncharacterised				028-AU-34.bin.1.287_contig_8612	Uncharacterised	1	d__Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	""	MiDAS Global	TRUE	TRUE	028-AU-34.bin.1.287_contig_8612.region001
099-UY-16.bin.2.63	contig_24427	1	99244	121866	FALSE	pel				contig_24427	Synthase	2	d__Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	""	MiDAS Global	TRUE	FALSE	099-UY-16.bin.2.63_contig_24427.region001
003-CA-05.bin.3.691	contig_81285	1	0	20425	TRUE	Uncharacterised				contig_81285	Uncharacterised	1	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	""	MiDAS Global	TRUE	FALSE	003-CA-05.bin.3.691_contig_81285.region001
098-UY-13.bin.1.166	contig_2341	1	273366	316301	FALSE	zooglan				098-UY-13.bin.1.166_contig_2341	Wzx/Wzy	3	d__Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Zoogloea	Zoogloea sp008011925	MiDAS Global	TRUE	TRUE	098-UY-13.bin.1.166_contig_2341.region001
033-IN-11.bin.1.336	contig_126057	1	424684	437676	FALSE	pel-like				033-IN-11.bin.1.336_contig_126057	Synthase	2	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium_B	""	MiDAS Global	TRUE	TRUE	033-IN-11.bin.1.336_contig_126057.region001
033-IN-11.bin.1.336	contig_150189	1	153766	172527	FALSE	Uncharacterised				033-IN-11.bin.1.336_contig_150189	Uncharacterised	1	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium_B	""	MiDAS Global	TRUE	TRUE	033-IN-11.bin.1.336_contig_150189.region001
033-IN-11.bin.1.336	contig_162651	1	47609	68109	FALSE	Uncharacterised				033-IN-11.bin.1.336_contig_162651	Uncharacterised	1	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium_B	""	MiDAS Global	TRUE	TRUE	033-IN-11.bin.1.336_contig_162651.region001
