# If you find multiSMASH useful, please cite the Zenodo DOI: 10.5281/zenodo.8276143
record	total_count	PNAG-pga	PNAG-pga-like	cellulose-like	curdlan-like	fructansucrase	generic-cellulose	pel-like	putative_ABC_dependent	putative_ABC_dependent_NO_OPX	putative_ABC_or_wzy_dependent	putative_wzy_dependent	putative_wzy_dependent_NO_OPX	sphingans	sphingomonadales_eps	type-1-cellulose	hybrid	description
GCF_014639875.1_ASM1463987v1_genomic.fna	3	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	NZ_BMGD01000001.1 Blastomonas aquatica strain CGMCC 1.12851 sequence01, whole genome shotgun sequence [20 total records]
GCF_017607425.1_ASM1760742v1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	NZ_CP059319.1 Rhizorhabdus wittichii strain MPO218 chromosome, complete genome [3 total records]
GCF_037482895.1_ASM3748289v1_genomic.fna	3	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	NZ_JBBHJZ010000001.1 Novosphingobium anseongense strain PS1R-30 1, whole genome shotgun sequence [18 total records]
GCF_014652555.1_ASM1465255v1_genomic.fna	4	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	NZ_BMZA01000001.1 Novosphingobium colocasiae strain KCTC 32255 sequence01, whole genome shotgun sequence [63 total records]
GCF_042682045.1_ASM4268204v1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	NZ_JBHUGS010000001.1 Sphingomonas arantia strain CGMCC 1.12702 soapdenovo_K_83_1, whole genome shotgun sequence [7 total records]
GCF_900188165.1_IMG-taxon_2706794917_annotated_assembly_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	NZ_FZOS01000082.1 Sphingomonas laterariae strain LNB2, whole genome shotgun sequence [85 total records]
GCF_003581645.1_ASM358164v1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	NZ_QXFK01000014.1 Pelagerythrobacter aerophilus strain Ery1 100, whole genome shotgun sequence [19 total records]
GCF_014644315.1_ASM1464431v1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	NZ_BMKL01000001.1 Tsuneonella deserti strain CGMCC 1.15959 sequence01, whole genome shotgun sequence [3 total records]
GCF_019351405.1_ASM1935140v1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	NZ_JAHWZX010000001.1 Stakelama flava strain CBK3Z-3 Scaffold1, whole genome shotgun sequence [32 total records]
GCF_003584125.1_ASM358412v1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	NZ_QXFL01000001.1 Aurantiacibacter zhengii strain V18 V18_1, whole genome shotgun sequence [28 total records]
GCF_000013985.1_ASM1398v1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	NC_008048.1 Sphingopyxis alaskensis RB2256, complete sequence [2 total records]
GCF_014705715.1_ASM1470571v1_genomic.fna	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	NZ_JACXLC010000001.1 Erythrobacter rubeus strain KMU-140 contig1, whole genome shotgun sequence [4 total records]
GCF_004135625.1_ASM413562v1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	NZ_SDPV01000001.1 Pelagerythrobacter rhizovicinus strain AY-3R NODE_1_length_1680395_cov_87.018095, whole genome shotgun sequence [3 total records]
GCF_000091125.1_ASM9112v1_genomic.fna	9	0	0	0	1	0	0	1	1	1	0	3	0	0	1	1	0	NC_014006.1 Sphingobium indicum UT26S chromosome 1, complete sequence [5 total records]
GCF_009827575.1_ASM982757v1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	NZ_WTYR01000001.1 Alteriqipengyuania halimionae strain LMG 29519 NODE_1_length_2797261, whole genome shotgun sequence [2 total records]
GCF_965137005.1_CIP111604T_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	NZ_CBCRXM010000001.1 Sphingomonas antarctica strain CIP111604T isolate CIP111604T NODE_0001, whole genome shotgun sequence [46 total records]
GCF_019711495.1_ASM1971149v1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	NZ_JAIGNM010000001.1 Qipengyuania xiamenensis strain 1XM1-15A NODE_1_length_1636717_cov_218.883429, whole genome shotgun sequence [5 total records]
GCF_004005865.1_ASM400586v1_genomic.fna	3	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	NZ_SACN01000001.1 Sphingomonas crocodyli strain CCP-7 NODE_1_length_3041622_cov_67, whole genome shotgun sequence [8 total records]
GCF_014640055.1_ASM1464005v1_genomic.fna	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	NZ_BMGF01000001.1 Novosphingobium marinum strain CGMCC 1.12918 sequence01, whole genome shotgun sequence [26 total records]
GCF_030717945.1_ASM3071794v1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	NZ_JAVAIM010000001.1 Qipengyuania profundimaris strain G39 NODE_1_length_2845575_cov_232.056799, whole genome shotgun sequence [3 total records]
GCF_005434975.1_ASM543497v1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	NZ_SKCJ01000001.1 Parerythrobacter lutipelagi strain GH1-16 contig1, whole genome shotgun sequence [2 total records]
GCF_001591005.1_ASM159100v1_genomic.fna	3	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	NZ_BCTY01000001.1 Sphingomonas sanguinis NBRC 13937, whole genome shotgun sequence [122 total records]
GCF_018863195.1_ASM1886319v1_genomic.fna	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NZ_JAHKRT010000001.1 Sphingomonas quercus strain XMGL2 seq1, whole genome shotgun sequence [15 total records]
GCF_000342165.1_Alphaproteobacteria-version1_genomic.fna	4	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	NZ_AMRV01000001.1 Pacificimonas flava strain JLT2015 contig00001, whole genome shotgun sequence [36 total records]
GCF_024721605.1_ASM2472160v1_genomic.fna	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	NZ_CP102630.1 Sphingomicrobium flavum strain JCM 18555 chromosome [1 total record]
GCF_001559015.1_ASM155901v1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	NZ_CP012199.1 Sphingopyxis granuli strain TFA chromosome, complete genome [1 total record]
GCF_020092905.1_ASM2009290v1_genomic.fna	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	NZ_JAGSGB010000001.1 Pacificimonas aurantium strain DSM 107782 1, whole genome shotgun sequence [9 total records]
GCF_001698205.1_ASM169820v1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	NZ_CP016591.1 Tsuneonella dongtanensis strain KCTC 22672 chromosome, complete genome [1 total record]
GCF_026013415.1_ASM2601341v1_genomic.fna	4	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	NZ_JAPDOK010000001.1 Sphingomonas caeni strain LB-2 LB-2_scaffold1, whole genome shotgun sequence [21 total records]
GCF_002504085.1_ASM250408v1_genomic.fna	7	0	0	0	0	0	0	0	0	0	0	5	0	0	1	1	0	NZ_CP023741.1 Sphingobium yanoikuyae strain S72 chromosome, complete genome [1 total record]
GCF_009828025.1_ASM982802v1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	NZ_WTYA01000010.1 Qipengyuania algicida strain KEMB 9005-328 NODE_10_length_157774, whole genome shotgun sequence [21 total records]
GCF_030546695.1_ASM3054669v1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	NZ_JAUOTP010000010.1 Sphingomonas natans strain BIUV-7 NODE_10_length_224145_cov_40.363876, whole genome shotgun sequence [13 total records]
GCF_002205635.1_ASM220563v1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	NZ_NISJ01000010.1 Sphingopyxis witflariensis strain DSM 14551 NODE_10_length_174228_cov_34.2554, whole genome shotgun sequence [38 total records]
GCF_029436685.1_ASM2943668v1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	NZ_JAROCY010000001.1 Novosphingobium cyanobacteriorum strain HBC54 contig1, whole genome shotgun sequence [74 total records]
GCF_003347635.1_ASM334763v1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	NZ_QDFY01000001.1 Sphingosinicella terrae strain KCTC 52780 s.270_Contig1, whole genome shotgun sequence [46 total records]
GCF_036321025.1_ASM3632102v1_genomic.fna	5	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	NZ_JAZAPB010000001.1 Aurantiacibacter hainanensis strain H149 contig1, whole genome shotgun sequence [2 total records]
GCF_037120395.1_ASM3712039v1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	NZ_JBBBDM010000001.1 Sphingomonas kyungheensis strain LMG 26582 NODE_1_length_834311_cov_176.403513, whole genome shotgun sequence [28 total records]
GCF_002091475.1_ASM209147v1_genomic.fna	3	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	NZ_BCTR01000001.1 Sphingomonas azotifigens NBRC 15497, whole genome shotgun sequence [140 total records]
GCF_024211255.1_ASM2421125v1_genomic.fna	3	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	NZ_JAMLDY010000001.1 Sphingomonas liriopis strain RP10 contig1, whole genome shotgun sequence [37 total records]
GCF_014196615.1_ASM1419661v1_genomic.fna	5	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	NZ_JACIDY010000001.1 Novosphingobium fluoreni strain DSM 27568 Ga0373246_01, whole genome shotgun sequence [25 total records]
GCF_011302055.1_ASM1130205v1_genomic.fna	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NZ_CP049871.1 Sphingomonas sinipercae strain HDW15C chromosome, complete genome [1 total record]
GCF_012274265.1_ASM1227426v1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	NZ_JAANYY010000002.1 Sphingopyxis microcysteis strain Z10-6 NODE_1, whole genome shotgun sequence [7 total records]
GCF_034659795.1_ASM3465979v1_genomic.fna	4	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	NZ_JAXSQY010000001.1 Sphingomonas fuzhouensis strain SGZ-02 Scaffold1, whole genome shotgun sequence [14 total records]
GCF_039523375.1_ASM3952337v1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	NZ_BAAAFE010000001.1 Sphingopyxis soli strain JCM 15910 sequence01, whole genome shotgun sequence [17 total records]
GCF_003933235.1_ASM393323v1_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NZ_RWJI01000001.1 Sphingorhabdus wooponensis strain 03SU3-P J_1, whole genome shotgun sequence [8 total records]
GCF_002288285.1_ASM228828v1_genomic.fna	4	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	NZ_CP022745.1 Sphingobium xenophagum strain C1 chromosome I, complete sequence [7 total records]
GCF_011926545.1_ASM1192654v1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	NZ_JAATIT010000001.1 Sphingopyxis italica strain DSM 25229 Ga0373334_01, whole genome shotgun sequence [12 total records]
GCF_022569295.1_ASM2256929v1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	NZ_JAKFIA010000001.1 Pedomonas mirosovicensis strain A1X5R2 A1X5R2_canu_contig_1, whole genome shotgun sequence [2 total records]
GCF_009807005.1_ASM980700v1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	NZ_WUBR01000001.1 Aurantiacibacter rhizosphaerae strain GH3-10 contig1, whole genome shotgun sequence [6 total records]
GCF_009769755.1_ASM976975v1_genomic.fna	4	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	NZ_SDWJ01000001.1 Sphingorhabdus profundilacus strain IMCC26285 NODE_1_length_1651815_cov_67.7969, whole genome shotgun sequence [2 total records]
GCF_018603885.1_ASM1860388v1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	NZ_JAHGAW010000001.1 Sphingobium nicotianae strain H33 Scaffold1, whole genome shotgun sequence [24 total records]
GCF_020179475.1_ASM2017947v1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	NZ_JAILXZ010000001.1 Novosphingobium huizhouense strain c7 NODE_1_length_1671128_cov_96.737564, whole genome shotgun sequence [9 total records]
GCF_002795865.1_ASM279586v1_genomic.fna	4	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	NZ_CP024920.1 Qipengyuania seohaensis strain SW-135 chromosome, complete genome [1 total record]
GCF_011762195.1_ASM1176219v1_genomic.fna	5	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	NZ_JAASQK010000001.1 Sphingomonas oligoaromativorans strain DSM 102246 Ga0373361_01, whole genome shotgun sequence [27 total records]
GCF_011300455.1_ASM1130045v1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	NZ_CP049869.1 Sphingomonas piscis strain HDW15B chromosome, complete genome [1 total record]
GCF_021497585.1_ASM2149758v1_genomic.fna	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NZ_CP071573.1 Sphingomonas lutea strain KCTC 23642 chromosome [1 total record]
GCF_004153605.1_ASM415360v1_genomic.fna	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NZ_SDSI01000001.1 Qipengyuania thermophila strain CFH 74456 scaffold1, whole genome shotgun sequence [13 total records]
GCF_003860345.1_ASM386034v1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	NZ_CP034179.1 Caenibius tardaugens NBRC 16725 chromosome, complete genome [1 total record]
GCF_030284385.1_ASM3028438v1_genomic.fna	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NZ_CP127221.1 Altererythrobacter rubellus strain NBRC 112769 chromosome, complete genome [1 total record]
GCF_008710165.1_ASM871016v1_genomic.fna	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	NZ_VYQA01000001.1 Sphingobium limneticum strain KACC 19283 contig1, whole genome shotgun sequence [67 total records]
GCF_000445065.1_ASM44506v1_genomic.fna	5	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	NZ_ATHO01000001.1 Sphingobium quisquiliarum P25 contig001, whole genome shotgun sequence [171 total records]
GCF_030815185.1_ASM3081518v1_genomic.fna	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	NZ_JAUSWK010000001.1 Qipengyuania citrea strain DSM 14432 Ga0480182_01, whole genome shotgun sequence [12 total records]
GCF_022378335.1_ASM2237833v1_genomic.fna	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	NZ_JAIQCI010000078.1 Croceicoccus hydrothermalis strain JLT1 NODE_100_length_3235_cov_180.273254, whole genome shotgun sequence [84 total records]
GCF_009827435.1_ASM982743v1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	NZ_WTYM01000015.1 Croceibacterium salegens strain MCCC 1K01500 137, whole genome shotgun sequence [46 total records]
GCF_024211275.1_ASM2421127v1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	NZ_JAMLDX010000001.1 Sphingomonas tagetis strain MG17 contig1, whole genome shotgun sequence [58 total records]
GCF_009739515.1_ASM973951v1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	NZ_CP046535.1 Sphingomonas profundi strain LMO-1 chromosome, complete genome [1 total record]
GCF_003515075.1_ASM351507v1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	NZ_QWLV01000010.1 Sphingomonas gilva strain ZDH117 NODE_10_length_111664_cov_100.826578, whole genome shotgun sequence [17 total records]
GCF_000711715.1_ASM71171v1_genomic.fna	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NZ_JONN01000001.1 Sphingomonas astaxanthinifaciens DSM 22298 BS69DRAFT_scaffold00001.1_C, whole genome shotgun sequence [3 total records]
GCF_009827305.1_ASM982730v1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	NZ_WTYJ01000001.1 Croceibacterium xixiisoli strain S36 NODE_1_length_1905001, whole genome shotgun sequence [7 total records]
GCF_009733735.1_ASM973373v1_genomic.fna	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NZ_WNJP01000001.1 Sandarakinorhabdus oryzae strain NM-18 1, whole genome shotgun sequence [346 total records]
GCF_037861105.1_ASM3786110v1_genomic.fna	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	NZ_JBANFK010000001.1 Rhizorhabdus argentea strain DSM 100912 NODE_1_length_319433_cov_140.726384, whole genome shotgun sequence [56 total records]
GCF_001661965.1_ASM166196v1_genomic.fna	4	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	NZ_LYWZ01000001.1 Croceicoccus mobilis strain Ery22 Ery22_C1, whole genome shotgun sequence [32 total records]
GCF_030678875.1_ASM3067887v1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	NZ_JAUUDS010000010.1 Sphingomonas sp. KR1UV-12 NODE_10_length_88898_cov_50.914547, whole genome shotgun sequence [15 total records]
GCF_001005725.1_ASM100572v1_genomic.fna	6	0	0	0	0	0	0	1	1	0	0	3	0	0	1	0	0	NZ_LBIC01000001.1 Sphingobium chungbukense strain DJ77 contig00001, whole genome shotgun sequence [35 total records]
GCF_014196635.1_ASM1419663v1_genomic.fna	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	NZ_JACIEB010000001.1 Sphingobium fontiphilum strain DSM 29348 Ga0373250_01, whole genome shotgun sequence [19 total records]
GCF_001598555.1_ASM159855v1_genomic.fna	4	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	NZ_BCZE01000001.1 Novosphingobium rosa NBRC 15208, whole genome shotgun sequence [178 total records]
GCF_016734905.1_ASM1673490v1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	NZ_JAERPO010000001.1 Sphingopyxis jiangsuensis strain DHUNG17 contig1, whole genome shotgun sequence [6 total records]
GCF_900143235.1_IMG-taxon_2582580729_annotated_assembly_genomic.fna	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	NZ_FRDF01000025.1 Erythrobacter sanguineus strain DSM 11032, whole genome shotgun sequence [25 total records]
GCF_009827615.1_ASM982761v1_genomic.fna	5	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	NZ_WTYU01000001.1 Allopontixanthobacter confluentis strain KCTC 52259 NODE_1_length_1771036, whole genome shotgun sequence [4 total records]
GCF_000498655.1_ASM49865v1_genomic.fna	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	NC_022900.1 Zymomonas mobilis subsp. mobilis str. CP4 = NRRL B-14023, complete sequence [6 total records]
GCF_004965515.1_ASM496551v1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	NZ_SSHH01000001.1 Alteraurantiacibacter aquimixticola strain SSKS-13 contig1, whole genome shotgun sequence [5 total records]
GCF_005144715.1_ASM514471v1_genomic.fna	5	0	0	0	0	0	0	0	0	1	0	3	0	0	1	0	0	NZ_SWKR01000001.1 Sphingomonas baiyangensis strain L-1-4 w-11 NODE_1_length_640299_cov_354.751556, whole genome shotgun sequence [2 total records]
GCF_001314325.1_ASM131432v1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	NZ_CP009429.1 Sphingopyxis macrogoltabida strain 203 chromosome, complete genome [3 total records]
GCF_017052355.1_ASM1705235v1_genomic.fna	4	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	NZ_JAFHKV010000001.1 Sphingomonas pseudosanguinis strain DSM 19512 sequence1, whole genome shotgun sequence [38 total records]
GCF_019443285.1_ASM1944328v1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	NZ_CP080327.1 Aquisediminimonas profunda strain DS48-3 chromosome, complete genome [1 total record]
GCF_003012735.1_ASM301273v1_genomic.fna	4	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	NZ_PXYI01000001.1 Sphingomonas deserti strain GL-C-18 ZB100000, whole genome shotgun sequence [24 total records]
GCF_002155305.1_ASM215530v1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	NZ_MUYI01000001.1 Erythrobacter dokdonensis strain DSM 17193 DSM17193_1_2986864, whole genome shotgun sequence [4 total records]
GCF_001981525.1_ASM198152v1_genomic.fna	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NZ_MPSB01000001.1 Sphingomonas jeddahensis strain G39 SPHI_contig000001, whole genome shotgun sequence [28 total records]
GCF_039543105.1_ASM3954310v1_genomic.fna	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NZ_BAABJC010000001.1 Sphingomonas daechungensis strain JCM 17887 sequence1, whole genome shotgun sequence [1 total record]
GCF_039538045.1_ASM3953804v1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	NZ_BAABBQ010000001.1 Sphingomonas swuensis strain JCM 17563 sequence1, whole genome shotgun sequence [1 total record]
GCF_036324225.1_ASM3632422v1_genomic.fna	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NZ_JAZDQV010000001.1 Altererythrobacter litoralis strain 1XM1-14 NODE_1_length_401396_cov_229.029682, whole genome shotgun sequence [25 total records]
GCF_014652855.1_ASM1465285v1_genomic.fna	4	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	NZ_BMZP01000001.1 Novosphingobium pokkalii strain KCTC 42224 sequence01, whole genome shotgun sequence [54 total records]
GCF_001598355.1_ASM159835v1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	NZ_BCYU01000001.1 Sphingomonas asaccharolytica NBRC 15499, whole genome shotgun sequence [180 total records]
GCF_042647625.1_ASM4264762v1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	NZ_JBHRVU010000001.1 Sphingobium rhizovicinum strain CCM 7491 tig00000002, whole genome shotgun sequence [7 total records]
GCF_002896965.1_ASM289696v1_genomic.fna	6	0	0	0	0	0	0	0	0	0	0	2	2	0	1	1	0	NZ_LYMM01000001.1 Novosphingobium guangzhouense strain SA925 contig-123_0, whole genome shotgun sequence [106 total records]
GCF_013328205.1_ASM1332820v1_genomic.fna	4	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	NZ_JABULH010000001.1 Sphingomonas hominis strain HHU CXW Contig001_1024905, whole genome shotgun sequence [30 total records]
GCF_023805295.1_ASM2380529v1_genomic.fna	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NZ_JAMSHT010000001.1 Sphingomicrobium sediminis strain GRR-S6-50 NODE_1_length_2321309_cov_48.490930, whole genome shotgun sequence [3 total records]
GCF_011762125.1_ASM1176212v1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	NZ_JAASQN010000001.1 Sphingopyxis panaciterrae strain DSM 27164 Ga0373342_01, whole genome shotgun sequence [11 total records]
GCF_028607085.1_ASM2860708v1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	NZ_CP117411.1 Sphingomonas naphthae strain KACC 18716 chromosome, complete genome [5 total records]
