MAG	MiDAS4_tax	MiDAS_core_species	Exopolysaccharide	Query	Function	Target_CDS	Percent_id
AalE_18-Q3-R2-46_MAXAC.025	d:Bacteria;p:Bacteroidota;c:Bacteroidia;o:Sphingobacteriales;f:Lentimicrobiaceae;g:Lentimicrobium;s:midas_s_1390;	No	Hyaluronic acid (has)	hasC	Precursor synthesis	AalE_18-Q3-R2-46_MAXAC.025_03994	22.097
AalE_18-Q3-R2-46_MAXAC.086	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:SC-I-84;g:midas_g_41102;	No	Cellulose 1	bcsAI	Synthase	AalE_18-Q3-R2-46_MAXAC.086_01656	20.27
AalE_18-Q3-R2-46_MAXAC.086	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:SC-I-84;g:midas_g_41102;	No	Cellulose 1	bcsCI	Export	AalE_18-Q3-R2-46_MAXAC.086_01658	21.452
AalW_18-Q3-R10-53_BAT3C.204	d:Bacteria;p:Acidobacteriota;c:Blastocatellia;o:DS-100;f:midas_f_502;g:midas_g_502;s:midas_s_502;	Loose core	Cellulose 1	bcsAI	Synthase	AalW_18-Q3-R10-53_BAT3C.204_02939	21.145
AalW_18-Q3-R10-53_BAT3C.204	d:Bacteria;p:Acidobacteriota;c:Blastocatellia;o:DS-100;f:midas_f_502;g:midas_g_502;s:midas_s_502;	Loose core	Cellulose 1	bgl	Hydrolase	AalW_18-Q3-R10-53_BAT3C.204_02941	20.225
AalW_18-Q3-R10-53_BAT3C.245	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Steroidobacterales;f:Steroidobacteraceae;g:midas_g_98;s:midas_s_98;	No	Cellulose 1	bcsAI	Synthase	AalW_18-Q3-R10-53_BAT3C.245_01426	23.604
AalW_18-Q3-R10-53_BAT3C.245	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Steroidobacterales;f:Steroidobacteraceae;g:midas_g_98;s:midas_s_98;	No	Cellulose 1	bgl	Hydrolase	AalW_18-Q3-R10-53_BAT3C.245_01425	26.036
AalW_18-Q3-R10-53_MAXAC.061	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;	No	Pel	pelA	Hydrolase	AalW_18-Q3-R10-53_MAXAC.061_03233	38.1
AalW_18-Q3-R10-53_MAXAC.061	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;	No	Pel	pelB	Export	AalW_18-Q3-R10-53_MAXAC.061_03232	21.221
AalW_18-Q3-R10-53_MAXAC.061	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;	No	Pel	pelC	Export	AalW_18-Q3-R10-53_MAXAC.061_03231	42.262
AalW_18-Q3-R10-53_MAXAC.061	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;	No	Pel	pelD	Regulatory	AalW_18-Q3-R10-53_MAXAC.061_03230	31.731
AalW_18-Q3-R10-53_MAXAC.061	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;	No	Pel	pelE	Polymerization	AalW_18-Q3-R10-53_MAXAC.061_03229	27.811
AalW_18-Q3-R10-53_MAXAC.061	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;	No	Pel	pelF	Synthase	AalW_18-Q3-R10-53_MAXAC.061_03228	49.016
AalW_18-Q3-R10-53_MAXAC.061	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;	No	Pel	pelG	Export	AalW_18-Q3-R10-53_MAXAC.061_03227	52.851
AalW_18-Q3-R10-53_MAXAC.406	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Rhodocyclaceae;g:Sulfuritalea;s:midas_s_3126;	No	Pel	pelA	Hydrolase	AalW_18-Q3-R10-53_MAXAC.406_03241	36.276
AalW_18-Q3-R10-53_MAXAC.406	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Rhodocyclaceae;g:Sulfuritalea;s:midas_s_3126;	No	Pel	pelB	Export	AalW_18-Q3-R10-53_MAXAC.406_03244	26.025
AalW_18-Q3-R10-53_MAXAC.406	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Rhodocyclaceae;g:Sulfuritalea;s:midas_s_3126;	No	Pel	pelC	Export	AalW_18-Q3-R10-53_MAXAC.406_03245	35.329
AalW_18-Q3-R10-53_MAXAC.406	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Rhodocyclaceae;g:Sulfuritalea;s:midas_s_3126;	No	Pel	pelD	Regulatory	AalW_18-Q3-R10-53_MAXAC.406_03246	35.398
AalW_18-Q3-R10-53_MAXAC.406	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Rhodocyclaceae;g:Sulfuritalea;s:midas_s_3126;	No	Pel	pelD	Regulatory	AalW_18-Q3-R10-53_MAXAC.406_03247	24.885
AalW_18-Q3-R10-53_MAXAC.406	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Rhodocyclaceae;g:Sulfuritalea;s:midas_s_3126;	No	Pel	pelE	Polymerization	AalW_18-Q3-R10-53_MAXAC.406_03248	25.904
AalW_18-Q3-R10-53_MAXAC.406	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Rhodocyclaceae;g:Sulfuritalea;s:midas_s_3126;	No	Pel	pelF	Synthase	AalW_18-Q3-R10-53_MAXAC.406_03249	50.499
AalW_18-Q3-R10-53_MAXAC.406	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Rhodocyclaceae;g:Sulfuritalea;s:midas_s_3126;	No	Pel	pelG	Export	AalW_18-Q3-R10-53_MAXAC.406_03250	49.342
Aved_18-Q3-R54-62_BAT3C.394	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;s:midas_s_901;	Loose core	Cellulose 2	bcsABII-A	Synthase	Aved_18-Q3-R54-62_BAT3C.394_03919	46.331
Aved_18-Q3-R54-62_BAT3C.394	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;s:midas_s_901;	Loose core	Cellulose 2	bcsABII-A	Synthase	Aved_18-Q3-R54-62_BAT3C.394_03920	30.452
Aved_18-Q3-R54-62_BAT3C.394	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;s:midas_s_901;	Loose core	Cellulose 2	bcsCII	Export	Aved_18-Q3-R54-62_BAT3C.394_03921	24.804
Aved_18-Q3-R54-62_BAT3C.394	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;s:midas_s_901;	Loose core	Cellulose 1	bcsAI	Synthase	Aved_18-Q3-R54-62_BAT3C.394_03919	45.378
Aved_18-Q3-R54-62_BAT3C.394	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;s:midas_s_901;	Loose core	Cellulose 1	bcsBI	Synthase	Aved_18-Q3-R54-62_BAT3C.394_03920	29.335
Aved_18-Q3-R54-62_BAT3C.394	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;s:midas_s_901;	Loose core	Cellulose 1	bcsCI	Export	Aved_18-Q3-R54-62_BAT3C.394_03921	25.982
Aved_18-Q3-R54-62_BAT3C.394	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;s:midas_s_901;	Loose core	Cellulose 1	bcsDI	Export	Aved_18-Q3-R54-62_BAT3C.394_03916	33.019
Aved_18-Q3-R54-62_BAT3C.540	d:Bacteria;p:Myxococcota;c:Myxococcia;o:Myxococcales;f:Myxococcaceae;g:P3OB-42;s:midas_s_6017;	No	Pel	pelA	Hydrolase	Aved_18-Q3-R54-62_BAT3C.540_04194	38.235
Aved_18-Q3-R54-62_BAT3C.540	d:Bacteria;p:Myxococcota;c:Myxococcia;o:Myxococcales;f:Myxococcaceae;g:P3OB-42;s:midas_s_6017;	No	Pel	pelB	Export	Aved_18-Q3-R54-62_BAT3C.540_04193	25.706
Aved_18-Q3-R54-62_BAT3C.540	d:Bacteria;p:Myxococcota;c:Myxococcia;o:Myxococcales;f:Myxococcaceae;g:P3OB-42;s:midas_s_6017;	No	Pel	pelC	Export	Aved_18-Q3-R54-62_BAT3C.540_04199	43.125
Aved_18-Q3-R54-62_BAT3C.540	d:Bacteria;p:Myxococcota;c:Myxococcia;o:Myxococcales;f:Myxococcaceae;g:P3OB-42;s:midas_s_6017;	No	Pel	pelD	Regulatory	Aved_18-Q3-R54-62_BAT3C.540_04198	36.627
Aved_18-Q3-R54-62_BAT3C.540	d:Bacteria;p:Myxococcota;c:Myxococcia;o:Myxococcales;f:Myxococcaceae;g:P3OB-42;s:midas_s_6017;	No	Pel	pelE	Polymerization	Aved_18-Q3-R54-62_BAT3C.540_04197	37.538
Aved_18-Q3-R54-62_BAT3C.540	d:Bacteria;p:Myxococcota;c:Myxococcia;o:Myxococcales;f:Myxococcaceae;g:P3OB-42;s:midas_s_6017;	No	Pel	pelF	Synthase	Aved_18-Q3-R54-62_BAT3C.540_04196	56.687
Aved_18-Q3-R54-62_BAT3C.540	d:Bacteria;p:Myxococcota;c:Myxococcia;o:Myxococcales;f:Myxococcaceae;g:P3OB-42;s:midas_s_6017;	No	Pel	pelG	Export	Aved_18-Q3-R54-62_BAT3C.540_04195	49.89
Aved_18-Q3-R54-62_BATAC.253	d:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Sphingomonadales;f:Sphingomonadaceae;g:midas_g_59;s:midas_s_353;	No	Hyaluronic acid (has)	hasA	Synthase	Aved_18-Q3-R54-62_BATAC.253_01733	22.951
Aved_18-Q3-R54-62_BATAC.253	d:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Sphingomonadales;f:Sphingomonadaceae;g:midas_g_59;s:midas_s_353;	No	Hyaluronic acid (has)	hasB	Precursor synthesis	Aved_18-Q3-R54-62_BATAC.253_01740	20.833
Aved_18-Q3-R54-62_BATAC.253	d:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Sphingomonadales;f:Sphingomonadaceae;g:midas_g_59;s:midas_s_353;	No	Hyaluronic acid (has)	hasC	Precursor synthesis	Aved_18-Q3-R54-62_BATAC.253_01727	23.881
Aved_18-Q3-R54-62_BATAC.645_sub	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Pseudomonadales;f:Moraxellaceae;g:Agitococcus_lubricus_group;s:midas_s_3170;	No	Pel	pelA	Hydrolase	Aved_18-Q3-R54-62_BATAC.645_sub_00834	37.39
Aved_18-Q3-R54-62_BATAC.645_sub	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Pseudomonadales;f:Moraxellaceae;g:Agitococcus_lubricus_group;s:midas_s_3170;	No	Pel	pelB	Export	Aved_18-Q3-R54-62_BATAC.645_sub_00835	22.603
Aved_18-Q3-R54-62_BATAC.645_sub	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Pseudomonadales;f:Moraxellaceae;g:Agitococcus_lubricus_group;s:midas_s_3170;	No	Pel	pelB	Export	Aved_18-Q3-R54-62_BATAC.645_sub_00836	21.247
Aved_18-Q3-R54-62_BATAC.645_sub	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Pseudomonadales;f:Moraxellaceae;g:Agitococcus_lubricus_group;s:midas_s_3170;	No	Pel	pelC	Export	Aved_18-Q3-R54-62_BATAC.645_sub_00837	39.306
Aved_18-Q3-R54-62_BATAC.645_sub	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Pseudomonadales;f:Moraxellaceae;g:Agitococcus_lubricus_group;s:midas_s_3170;	No	Pel	pelD	Regulatory	Aved_18-Q3-R54-62_BATAC.645_sub_00838	29.748
Aved_18-Q3-R54-62_BATAC.645_sub	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Pseudomonadales;f:Moraxellaceae;g:Agitococcus_lubricus_group;s:midas_s_3170;	No	Pel	pelE	Polymerization	Aved_18-Q3-R54-62_BATAC.645_sub_00839	28.972
Aved_18-Q3-R54-62_BATAC.645_sub	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Pseudomonadales;f:Moraxellaceae;g:Agitococcus_lubricus_group;s:midas_s_3170;	No	Pel	pelF	Synthase	Aved_18-Q3-R54-62_BATAC.645_sub_00840	52.305
Aved_18-Q3-R54-62_BATAC.645_sub	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Pseudomonadales;f:Moraxellaceae;g:Agitococcus_lubricus_group;s:midas_s_3170;	No	Pel	pelG	Export	Aved_18-Q3-R54-62_BATAC.645_sub_00841	52.527
Aved_18-Q3-R54-62_MAXAC.030	d:Bacteria;p:Bacteroidota;c:SJA-28;o:midas_o_31;f:midas_f_31;g:midas_g_31;s:midas_s_31;	CRAT	PNAG_eps	epsH	Glycosyl transferase	Aved_18-Q3-R54-62_MAXAC.030_01669	24.324
Aved_18-Q3-R54-62_MAXAC.030	d:Bacteria;p:Bacteroidota;c:SJA-28;o:midas_o_31;f:midas_f_31;g:midas_g_31;s:midas_s_31;	CRAT	PNAG_eps	epsH	Glycosyl transferase	Aved_18-Q3-R54-62_MAXAC.030_01673	25.581
Aved_18-Q3-R54-62_MAXAC.030	d:Bacteria;p:Bacteroidota;c:SJA-28;o:midas_o_31;f:midas_f_31;g:midas_g_31;s:midas_s_31;	CRAT	PNAG_eps	epsJ	Glycosyl transferase	Aved_18-Q3-R54-62_MAXAC.030_01666	22.609
Aved_18-Q3-R54-62_MAXAC.030	d:Bacteria;p:Bacteroidota;c:SJA-28;o:midas_o_31;f:midas_f_31;g:midas_g_31;s:midas_s_31;	CRAT	PNAG_eps	epsJ	Glycosyl transferase	Aved_18-Q3-R54-62_MAXAC.030_01668	24.359
Aved_18-Q3-R54-62_MAXAC.030	d:Bacteria;p:Bacteroidota;c:SJA-28;o:midas_o_31;f:midas_f_31;g:midas_g_31;s:midas_s_31;	CRAT	PNAG_eps	epsJ	Glycosyl transferase	Aved_18-Q3-R54-62_MAXAC.030_01676	24.49
Aved_18-Q3-R54-62_MAXAC.030	d:Bacteria;p:Bacteroidota;c:SJA-28;o:midas_o_31;f:midas_f_31;g:midas_g_31;s:midas_s_31;	CRAT	PNAG_eps	epsK	Export	Aved_18-Q3-R54-62_MAXAC.030_01674	23.404
Aved_18-Q3-R54-62_MAXAC.321	d:Bacteria;p:Elusimicrobiota;c:Elusimicrobia;o:MVP-88;f:midas_f_595;g:midas_g_595;s:midas_s_595;	No	Cellulose 1	bcsAI	Synthase	Aved_18-Q3-R54-62_MAXAC.321_01477	24.747
Aved_18-Q3-R54-62_MAXAC.321	d:Bacteria;p:Elusimicrobiota;c:Elusimicrobia;o:MVP-88;f:midas_f_595;g:midas_g_595;s:midas_s_595;	No	Cellulose 1	bcsCI	Export	Aved_18-Q3-R54-62_MAXAC.321_01470	20.939
Aved_18-Q3-R54-62_MAXAC.392	d:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Micavibrionales;f:Micavibrionaceae;g:midas_g_2943;s:midas_s_2943;	No	Alginate	alg44	Regulatory	Aved_18-Q3-R54-62_MAXAC.392_00678	27.273
Aved_18-Q3-R54-62_MAXAC.392	d:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Micavibrionales;f:Micavibrionaceae;g:midas_g_2943;s:midas_s_2943;	No	Alginate	alg8	Synthase	Aved_18-Q3-R54-62_MAXAC.392_00689	53.306
Aved_18-Q3-R54-62_MAXAC.392	d:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Micavibrionales;f:Micavibrionaceae;g:midas_g_2943;s:midas_s_2943;	No	Alginate	algA	Precursor synthesis	Aved_18-Q3-R54-62_MAXAC.392_00677	34.056
Aved_18-Q3-R54-62_MAXAC.392	d:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Micavibrionales;f:Micavibrionaceae;g:midas_g_2943;s:midas_s_2943;	No	Alginate	algA	Precursor synthesis	Aved_18-Q3-R54-62_MAXAC.392_00679	39.474
Aved_18-Q3-R54-62_MAXAC.392	d:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Micavibrionales;f:Micavibrionaceae;g:midas_g_2943;s:midas_s_2943;	No	Alginate	algD	Precursor synthesis	Aved_18-Q3-R54-62_MAXAC.392_00690	50.797
Aved_18-Q3-R54-62_MAXAC.392	d:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Micavibrionales;f:Micavibrionaceae;g:midas_g_2943;s:midas_s_2943;	No	Alginate	algE	Export	Aved_18-Q3-R54-62_MAXAC.392_00675	28.243
Aved_18-Q3-R54-62_MAXAC.392	d:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Micavibrionales;f:Micavibrionaceae;g:midas_g_2943;s:midas_s_2943;	No	Alginate	algF	Modification	Aved_18-Q3-R54-62_MAXAC.392_00687	31.868
Aved_18-Q3-R54-62_MAXAC.392	d:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Micavibrionales;f:Micavibrionaceae;g:midas_g_2943;s:midas_s_2943;	No	Alginate	algG	Modification	Aved_18-Q3-R54-62_MAXAC.392_00673	25.698
Aved_18-Q3-R54-62_MAXAC.392	d:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Micavibrionales;f:Micavibrionaceae;g:midas_g_2943;s:midas_s_2943;	No	Alginate	algG	Modification	Aved_18-Q3-R54-62_MAXAC.392_00685	39.556
Aved_18-Q3-R54-62_MAXAC.392	d:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Micavibrionales;f:Micavibrionaceae;g:midas_g_2943;s:midas_s_2943;	No	Alginate	algI	Modification	Aved_18-Q3-R54-62_MAXAC.392_00672	49.715
Aved_18-Q3-R54-62_MAXAC.392	d:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Micavibrionales;f:Micavibrionaceae;g:midas_g_2943;s:midas_s_2943;	No	Alginate	algJ	Modification	Aved_18-Q3-R54-62_MAXAC.392_00684	36.264
Aved_18-Q3-R54-62_MAXAC.392	d:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Micavibrionales;f:Micavibrionaceae;g:midas_g_2943;s:midas_s_2943;	No	Alginate	algK	Export	Aved_18-Q3-R54-62_MAXAC.392_00676	20.43
Aved_18-Q3-R54-62_MAXAC.392	d:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Micavibrionales;f:Micavibrionaceae;g:midas_g_2943;s:midas_s_2943;	No	Alginate	algL	Lyase	Aved_18-Q3-R54-62_MAXAC.392_00682	32.551
Aved_18-Q3-R54-62_MAXAC.392	d:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Micavibrionales;f:Micavibrionaceae;g:midas_g_2943;s:midas_s_2943;	No	Alginate	algX	Modification	Aved_18-Q3-R54-62_MAXAC.392_00680	26.939
Aved_18-Q3-R54-62_MAXAC.392	d:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Micavibrionales;f:Micavibrionaceae;g:midas_g_2943;s:midas_s_2943;	No	Alginate	algX	Modification	Aved_18-Q3-R54-62_MAXAC.392_00683	25.951
Aved_18-Q3-R54-62_MAXAC.392	d:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Micavibrionales;f:Micavibrionaceae;g:midas_g_2943;s:midas_s_2943;	No	Alginate	algX	Modification	Aved_18-Q3-R54-62_MAXAC.392_00686	27.273
Bjer_18-Q3-R1-45_BATAC.331	d:Bacteria;p:Bacteroidota;c:Bacteroidia;o:Sphingobacteriales;f:env.OPS_17;g:midas_g_3838;s:midas_s_6658;	Loose core	Hyaluronic acid (has)	hasA	Synthase	Bjer_18-Q3-R1-45_BATAC.331_03496	21.101
Bjer_18-Q3-R1-45_BATAC.331	d:Bacteria;p:Bacteroidota;c:Bacteroidia;o:Sphingobacteriales;f:env.OPS_17;g:midas_g_3838;s:midas_s_6658;	Loose core	Hyaluronic acid (has)	hasB	Precursor synthesis	Bjer_18-Q3-R1-45_BATAC.331_03502	24.709
Bjer_18-Q3-R1-45_BATAC.331	d:Bacteria;p:Bacteroidota;c:Bacteroidia;o:Sphingobacteriales;f:env.OPS_17;g:midas_g_3838;s:midas_s_6658;	Loose core	Hyaluronic acid (has)	hasC	Precursor synthesis	Bjer_18-Q3-R1-45_BATAC.331_03494	20.677
Bjer_18-Q3-R1-45_BATAC.458	d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Burkholderiales;f:Comamonadaceae;g:Rhodoferax;s:midas_s_4982;	No	Cellulose 2	bcsABII-A	Synthase	Bjer_18-Q3-R1-45_BATAC.458_00257	43.343
