# If you find multiSMASH useful, please cite the Zenodo DOI: 10.5281/zenodo.8276143
record	total_count	PNAG-pga	PNAG-pga-like	alginate	cellulose-like	curdlan-like	fructansucrase	generic-cellulose	pel-like	putative_ABC_dependent	putative_ABC_dependent_NO_OPX	putative_ABC_or_wzy_dependent	putative_wzy_dependent	putative_wzy_dependent_NO_OPX	sphingans	sphingomonadales_eps	type-1-cellulose	hybrid	description
GCF_000013985.1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	NC_008048.1 Sphingopyxis alaskensis RB2256, complete sequence [2 total records]
GCF_001421665.1_genomic.fna	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	NZ_LMKV01000001.1 Sphingobium sp. Leaf26 contig_1, whole genome shotgun sequence [33 total records]
GCF_026967575.1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	NZ_CP114054.1 Aurantiacibacter sp. MUD11 chromosome, complete genome [1 total record]
GCA_021300355.1_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	JAJTEF010000018.1 MAG: Sphingomonadaceae bacterium isolate 49628_E11 Sample_49628_scaffold_1012, whole genome shotgun sequence [75 total records]
GCF_000013325.1_genomic.fna	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	NC_007794.1 Novosphingobium aromaticivorans DSM 12444, complete sequence [3 total records]
GCF_022568775.1_genomic.fna	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NZ_JAKZHW010000001.1 Sphingomonas telluris strain SM33 1, whole genome shotgun sequence [2 total records]
GCF_001717955.1_genomic.fna	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	NZ_CP014168.1 Sphingomonas panacis strain DCY99 chromosome, complete genome [2 total records]
GCF_001456115.1_genomic.fna	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	NZ_CP013264.1 Sphingobium baderi strain DE-13 chromosome, complete genome [9 total records]
GCF_024211255.1_genomic.fna	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	NZ_JAMLDY010000001.1 Sphingomonas liriopis strain RP10 contig1, whole genome shotgun sequence [37 total records]
GCF_013408095.1_genomic.fna	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	NZ_JACBZF010000001.1 Novosphingobium marinum strain DSM 29043 Ga0373347_01, whole genome shotgun sequence [22 total records]
GCF_036946485.1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	NZ_JAQIJA010000001.1 MAG: Sphingomonas phyllosphaerae isolate bin8 tig00000222, whole genome shotgun sequence [9 total records]
GCF_003605475.1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	NZ_RAHX01000001.1 Aurantiacibacter aquimixticola strain JSSK-14 scaffold1, whole genome shotgun sequence [2 total records]
GCF_003688625.1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	NZ_RCWY01000001.1 Sphingomonas sp. PP-CE-3A-406 Ga0191674_11, whole genome shotgun sequence [5 total records]
GCF_020524485.1_genomic.fna	6	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	1	0	NZ_JAIVLF010000001.1 Novosphingobium profundi strain EaN21-2 EaN21-2_ctg001, whole genome shotgun sequence [14 total records]
GCF_030717865.1_genomic.fna	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	NZ_JAVAIL010000010.1 Qipengyuania benthica strain DY56-A-20 NODE_10_length_7006_cov_208.246067, whole genome shotgun sequence [12 total records]
GCF_028595285.1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	NZ_JAQQXQ010000001.1 Erythrobacter fulvus strain sf7 contig1, whole genome shotgun sequence [20 total records]
GCF_900117425.1_genomic.fna	4	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	NZ_FPEH01000031.1 Novosphingobium sp. NDB2Meth1, whole genome shotgun sequence [34 total records]
GCF_011047315.1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	NZ_CP049259.1 Altererythrobacter sp. BO-6 chromosome, complete genome [1 total record]
GCF_014199595.1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	NZ_JACHNX010000001.1 Sphingomonas yabuuchiae strain DSM 14562 Ga0373313_01, whole genome shotgun sequence [58 total records]
GCF_038594485.1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	NZ_JBCFZG010000001.1 Citromicrobium bathyomarinum strain MCCC1A09709 contig1, whole genome shotgun sequence [10 total records]
GCF_025244705.1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	NZ_CP104207.1 Sphingopyxis sp. PET50 chromosome, complete genome [1 total record]
GCF_009707465.1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	NZ_CP046120.1 Novosphingobium sp. Gsoil 351 chromosome, complete genome [1 total record]
GCF_018599195.1_genomic.fna	4	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	NZ_JAHFVK010000001.1 Croceibacterium selenioxidans strain LX-88 Scaffold1, whole genome shotgun sequence [4 total records]
GCF_030580935.1_genomic.fna	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	NZ_JAUQOM010000001.1 Sphingobium cyanobacteriorum strain HBC34 contig1, whole genome shotgun sequence [72 total records]
GCF_035593985.1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	NZ_CP141587.1 Sphingomonas sp. LY29 chromosome, complete genome [1 total record]
GCF_040148725.1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	NZ_JAGDEB010000001.1 Erythrobacter sp. NFXS35 NFXS35_1, whole genome shotgun sequence [11 total records]
GCF_000588875.1_genomic.fna	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	NZ_JEMV01000001.1 Sphingobium sp. Ant17 Contig_2077, whole genome shotgun sequence [199 total records]
GCF_014396785.1_genomic.fna	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NZ_CP060718.1 Sphingomonas lutea strain KCTC 23642 chromosome, complete genome [1 total record]
GCF_022758885.1_genomic.fna	5	0	0	0	0	0	0	0	0	1	0	0	2	1	0	1	0	0	NZ_JALEBH010000001.1 Sphingobium sp. BYY-5 Seq1, whole genome shotgun sequence [2 total records]
GCF_002155695.1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	NZ_MUYJ01000010.1 Erythrobacter tepidarius strain DSM 10594 DSM10594_10_160026, whole genome shotgun sequence [32 total records]
GCF_001598455.1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	NZ_BCYZ01000001.1 Sphingomonas pruni NBRC 15498, whole genome shotgun sequence [163 total records]
GCF_015354055.1_genomic.fna	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NZ_JACHTM010000010.1 Thermaurantiacus tibetensis strain SYSU G02173 NODE_10_length_2372_cov_513.909_ID_966_1, whole genome shotgun sequence [11 total records]
GCF_006385175.1_genomic.fna	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	NZ_VFIY01000001.1 Emcibacter nanhaiensis strain MCCC 1A06723 1, whole genome shotgun sequence [19 total records]
GCF_020707215.1_genomic.fna	6	0	0	0	0	0	0	0	0	0	0	1	3	0	0	1	1	0	NZ_JAJFET010000010.1 Sphingomonas sp. PL-96 NODE_10_length_124306_cov_38.089717, whole genome shotgun sequence [20 total records]
GCF_900109565.1_genomic.fna	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	NZ_FNZZ01000001.1 Sphingomonas palmae strain JS21-1, whole genome shotgun sequence [11 total records]
GCA_947492375.1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	CANLMI010000001.1 uncultured Kordiimonas sp. isolate 81-G.fasta genome assembly, contig: NODE_1, whole genome shotgun sequence [15 total records]
GCF_025736935.1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	NZ_CP107048.1 Qipengyuania sp. SS22 chromosome, complete genome [1 total record]
GCA_019285715.1_genomic.fna	5	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	CP079108.1 Sphingosinicellaceae bacterium strain PAMC 29368 chromosome, complete genome [1 total record]
GCA_027531395.1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	JAPZRO010000009.1 MAG: Porphyrobacter sp. isolate LE19-196.1G c_000000000399, whole genome shotgun sequence [19 total records]
GCF_009828095.1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	NZ_WTYP01000001.1 Pontixanthobacter luteolus strain SW-109 NODE_1_length_1758890, whole genome shotgun sequence [3 total records]
GCF_002797435.1_genomic.fna	4	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	NZ_PGEN01000001.1 Sphingomonas koreensis strain JSS26 Ga0059261_unitig_0_quiver.1, whole genome shotgun sequence [1 total record]
GCF_020866845.1_genomic.fna	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	NZ_CP086594.1 Sphingomonas radiodurans strain S9-5 chromosome, complete genome [1 total record]
GCF_001550055.1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	NZ_LRUA01000001.1 Kordiimonas lacus strain S3-22 S3-22_S1, whole genome shotgun sequence [10 total records]
GCF_004340945.1_genomic.fna	4	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	NZ_SLYD01000001.1 Sphingomonas sp. PP-F2F-A104-K0414 Ga0191680_101, whole genome shotgun sequence [24 total records]
GCA_001556995.1_genomic.fna	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	LSKF01000001.1 Erythrobacteraceae bacterium CCH12-C2 CCH12-C2_contig1, whole genome shotgun sequence [124 total records]
GCA_947499155.1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	CANMND010000001.1 uncultured Sphingomonadales bacterium isolate N2E045-3Z.fasta genome assembly, contig: NODE_1, whole genome shotgun sequence [13 total records]
GCF_004361835.1_genomic.fna	4	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	NZ_SNWD01000001.1 Stakelama pacifica strain DSM 25059 Ga0310488_101, whole genome shotgun sequence [31 total records]
GCF_011762025.1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	NZ_JAASQR010000001.1 Sphingobium vermicomposti strain DSM 21299 Ga0373322_01, whole genome shotgun sequence [6 total records]
GCF_004152845.1_genomic.fna	8	0	0	0	0	1	0	0	1	1	0	0	3	0	0	1	1	0	NZ_SEON01000010.1 Sphingobium fuliginis strain DSM 18781 NODE_10_length_108966_cov_86.685499, whole genome shotgun sequence [21 total records]
GCF_023380025.1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	NZ_CP097253.1 Sphingomonas glaciei strain S8-45 chromosome, complete genome [1 total record]
GCF_029911635.1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	NZ_JARYTI010000100.1 Sphingomonas sp. AR_OL41 NODE_100_length_12211_cov_25.772261, whole genome shotgun sequence [148 total records]
GCF_014636175.1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	NZ_BMDW01000001.1 Sphingomonas psychrolutea strain CGMCC 1.10106 sequence01, whole genome shotgun sequence [52 total records]
GCF_037482895.1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	NZ_JBBHJZ010000001.1 Novosphingobium sp. PS1R-30 1, whole genome shotgun sequence [18 total records]
GCF_000427645.1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	NZ_KE386571.1 Sphingomonas phyllosphaerae FA2 SphspDRAFT_scaffold1.1, whole genome shotgun sequence [2 total records]
GCF_000420765.1_genomic.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NZ_ATVO01000001.1 Sandarakinorhabdus limnophila DSM 17366 G566DRAFT_scaffold00010.10_C, whole genome shotgun sequence [11 total records]
GCF_900199185.1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	NZ_OBMI01000006.1 Sphingomonas guangdongensis strain CGMCC 1.12672, whole genome shotgun sequence [6 total records]
GCF_011057975.1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	NZ_CP049109.1 Sphingosinithalassobacter tenebrarum strain zrk23 chromosome, complete genome [1 total record]
GCF_012932495.1_genomic.fna	4	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	NZ_JABCNG010000001.1 Novosphingobium sp. SG919 Ga0365383_01, whole genome shotgun sequence [21 total records]
GCF_001742225.1_genomic.fna	7	0	0	0	0	0	0	0	0	0	0	0	4	1	0	1	1	0	NZ_CP017075.1 Novosphingobium resinovorum strain SA1 chromosome, complete genome [5 total records]
GCF_009827535.1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	NZ_WTYN01000010.1 Qipengyuania oceanensis strain MCCC 1A09965 NODE_10_length_4687, whole genome shotgun sequence [14 total records]
GCA_001306305.2_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	CP155577.1 Citromicrobium bathyomarinum strain JL2201 chromosome, complete genome [1 total record]
GCF_036663735.1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	NZ_JAXOJO010000001.1 Sphingomonas sp. ZT3P38 Y660_1, whole genome shotgun sequence [103 total records]
GCF_028607085.1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	NZ_CP117411.1 Sphingomonas naphthae strain KACC 18716 chromosome, complete genome [5 total records]
GCF_030867385.1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	NZ_JAPFBJ010000001.1 Sphingobium sp. DEHP117 contig1, whole genome shotgun sequence [5 total records]
GCF_023195535.1_genomic.fna	5	0	0	0	0	0	0	0	1	0	0	0	3	0	0	1	0	0	NZ_JALPNF010000010.1 Sphingomonas faeni strain ERG1.4 NODE_10_length_107387_cov_49.794061, whole genome shotgun sequence [28 total records]
GCF_001542855.1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	NZ_LNBY01000001.1 Erythrobacter sp. AP23 contig1, whole genome shotgun sequence [20 total records]
GCF_019204005.1_genomic.fna	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	NZ_JAGSPA010000001.1 Pacificimonas pallii strain WHA3 1, whole genome shotgun sequence [7 total records]
GCF_001421805.1_genomic.fna	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	NZ_LMLC01000001.1 Sphingomonas sp. Leaf34 contig_1, whole genome shotgun sequence [6 total records]
GCA_947501215.1_genomic.fna	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	CANMUS010000001.1 uncultured Erythrobacter sp. isolate 998.fasta genome assembly, contig: NODE_1, whole genome shotgun sequence [11 total records]
GCF_900115585.1_genomic.fna	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	NZ_FOWZ01000011.1 Qipengyuania nanhaisediminis strain CGMCC 1.7715, whole genome shotgun sequence [12 total records]
