HumGut_name	HumGut_tax_id	cluster975	cluster95	gtdbtk_tax_id	gtdbtk_organism_name	gtdbtk_taxonomy	ncbi_tax_id	ncbi_organism_name	ncbi_rank	prevalence_score	metagenomes_present	completeness	contamination	GC	genome_size	source	genome_type	cluster975_size	cluster95_size	genome_file	ftp_download
HumGut_11	3000011	11	4	4028559	s__Faecalibacterium prausnitzii_G	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_G	853	Faecalibacterium prausnitzii	species	0.9384730537634408	2009	92.64	3.32	0.5907	2198029	UHGG	MAG	357	2810	GUT_GENOME234360.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02545/genomes2/GUT_GENOME234360.gff.gz
HumGut_12	3000012	12	5	4028556	s__Faecalibacterium prausnitzii_D	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_D	853	Faecalibacterium prausnitzii	species	0.938419629598189	2011	97	1.38	0.5625	2857043	UHGG	MAG	928	1288	GUT_GENOME235667.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-022/MGYG-HGUT-02272/genomes1/GUT_GENOME235667.gff.gz
HumGut_13	3000013	13	2	4020107	s__Bacteroides uniformis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	411479	Bacteroides uniformis ATCC 8492	strain	0.9375121488398416	2265	69.62	0.37	0.47729999999999995	2630773	UHGG	MAG	2	6195	GUT_GENOME093859.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-013/MGYG-HGUT-01346/genomes2/GUT_GENOME093859.gff.gz
HumGut_14	3000014	14	2	4020107	s__Bacteroides uniformis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	411479	Bacteroides uniformis ATCC 8492	strain	0.93687770713073	2268	85.4	4.92	0.46159999999999995	4211044	UHGG	MAG	3	6195	GUT_GENOME050697.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-013/MGYG-HGUT-01346/genomes9/GUT_GENOME050697.gff.gz
HumGut_15	3000015	15	6	4027117	s__Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis	515619	[Eubacterium] rectale ATCC 33656	strain	0.9364865551782683	1960	89.9	4.64	0.4374	2922015	UHGG	MAG	648	7316	GUT_GENOME225374.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-024/MGYG-HGUT-02492/genomes9/GUT_GENOME225374.gff.gz
HumGut_16	3000016	16	3	4027174	s__Blautia_A sp003480185	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp003480185	2293212	Ruminococcus sp. AM40-10AC	species	0.936411811827957	2043	81.1	0.71	0.425	1977556	UHGG	MAG	146	2298	GUT_GENOME089517.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-013/MGYG-HGUT-01338/genomes3/GUT_GENOME089517.gff.gz
HumGut_17	3000017	17	7	4020132	s__Phocaeicola dorei	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola dorei	483217	Bacteroides dorei DSM 17855	strain	0.9360660953593661	2329	63.11	1.9	0.4153	3018291	UHGG	MAG	11	49	GUT_GENOME066410.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-024/MGYG-HGUT-02478/genomes2/GUT_GENOME066410.gff.gz
HumGut_18	3000018	18	1	4020169	s__Phocaeicola vulgatus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus	435590	Bacteroides vulgatus ATCC 8482	strain	0.9351937897566497	2445	77.9	4.19	0.4192	3527938	UHGG	MAG	3	5904	GUT_GENOME071394.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-024/MGYG-HGUT-02478/genomes11/GUT_GENOME071394.gff.gz
HumGut_19	3000019	19	1	4020169	s__Phocaeicola vulgatus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus	435590	Bacteroides vulgatus ATCC 8482	strain	0.9351133783248443	2416	65.06	2.64	0.40950000000000003	2990492	UHGG	MAG	3	5904	GUT_GENOME073634.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-024/MGYG-HGUT-02478/genomes1/GUT_GENOME073634.gff.gz
HumGut_20	3000020	20	8	4008379	g__Faecalibacterium	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	853	Faecalibacterium prausnitzii	species	0.9350047838143747	2021	55.3	1.04	0.5777	1705976	UHGG	MAG	19	21	GUT_GENOME223791.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02545/genomes2/GUT_GENOME223791.gff.gz
HumGut_21	3000021	21	9	4027116	s__Agathobacter faecis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter faecis	301302	Roseburia faecis	species	0.9346374176570459	1687	99.21	2.46	0.4397	3664740	UHGG	MAG	2828	2909	GUT_GENOME238155.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-036/MGYG-HGUT-03694/genomes1/GUT_GENOME238155.gff.gz
HumGut_22	3000022	22	2	4020107	s__Bacteroides uniformis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	411479	Bacteroides uniformis ATCC 8492	strain	0.9346189380305603	2235	78.03	1.22	0.46740000000000004	3440564	UHGG	MAG	2	6195	GUT_GENOME239948.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-013/MGYG-HGUT-01346/genomes2/GUT_GENOME239948.gff.gz
HumGut_23	3000023	23	7	4020132	s__Phocaeicola dorei	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola dorei	483217	Bacteroides dorei DSM 17855	strain	0.9345521839275608	2423	63.16	2.24	0.4232	2560274	UHGG	MAG	15	49	GUT_GENOME230474.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-024/MGYG-HGUT-02478/genomes12/GUT_GENOME230474.gff.gz
HumGut_24	3000024	24	2	4020107	s__Bacteroides uniformis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	411479	Bacteroides uniformis ATCC 8492	strain	0.934447876344086	2226	66.3	0	0.4539	2978852	UHGG	MAG	4	6195	GUT_GENOME182888.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-013/MGYG-HGUT-01346/genomes10/GUT_GENOME182888.gff.gz
HumGut_25	3000025	25	4	4028559	s__Faecalibacterium prausnitzii_G	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_G	853	Faecalibacterium prausnitzii	species	0.9343752894736842	1958	100	0	0.5857	2583334	UHGG	MAG	681	2810	GUT_GENOME224813.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02545/genomes6/GUT_GENOME224813.gff.gz
HumGut_26	3000026	26	2	4020107	s__Bacteroides uniformis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	411479	Bacteroides uniformis ATCC 8492	strain	0.9342964151103565	2237	66.11	2.03	0.4764	3010020	UHGG	MAG	1	6195	GUT_GENOME209375.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-013/MGYG-HGUT-01346/genomes9/GUT_GENOME209375.gff.gz
HumGut_27	3000027	27	2	4020107	s__Bacteroides uniformis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	411479	Bacteroides uniformis ATCC 8492	strain	0.9342183446519524	2279	68.72	1.13	0.48829999999999996	2941431	UHGG	MAG	1	6195	GUT_GENOME067806.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-013/MGYG-HGUT-01346/genomes11/GUT_GENOME067806.gff.gz
HumGut_28	3000028	28	2	4020107	s__Bacteroides uniformis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	411479	Bacteroides uniformis ATCC 8492	strain	0.9337593522920203	2253	63.52	0.81	0.4714	2780781	UHGG	MAG	1	6195	GUT_GENOME241360.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-013/MGYG-HGUT-01346/genomes3/GUT_GENOME241360.gff.gz
HumGut_29	3000029	29	5	4028556	s__Faecalibacterium prausnitzii_D	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_D	853	Faecalibacterium prausnitzii	species	0.9335824255800792	1965	91.61	1.25	0.5606	2920240	UHGG	MAG	4	1288	GUT_GENOME223418.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-022/MGYG-HGUT-02272/genomes2/GUT_GENOME223418.gff.gz
HumGut_30	3000030	30	4	4028559	s__Faecalibacterium prausnitzii_G	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_G	853	Faecalibacterium prausnitzii	species	0.9335615826259196	1924	77.03	4.12	0.5918	2095219	UHGG	MAG	107	2810	GUT_GENOME228313.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02545/genomes1/GUT_GENOME228313.gff.gz
HumGut_31	3000031	31	2	4020107	s__Bacteroides uniformis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	411479	Bacteroides uniformis ATCC 8492	strain	0.9335563565365026	2278	73.44	3.39	0.4764	3031649	UHGG	MAG	2	6195	GUT_GENOME240783.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-013/MGYG-HGUT-01346/genomes9/GUT_GENOME240783.gff.gz
HumGut_32	3000032	32	7	4020132	s__Phocaeicola dorei	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola dorei	483217	Bacteroides dorei DSM 17855	strain	0.9334882773061687	2311	61.07	1.8	0.4189	3219962	UHGG	MAG	9	49	GUT_GENOME161128.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-024/MGYG-HGUT-02478/genomes4/GUT_GENOME161128.gff.gz
HumGut_33	3000033	33	2	4020107	s__Bacteroides uniformis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	411479	Bacteroides uniformis ATCC 8492	strain	0.933388655631013	2251	78.92	3.67	0.4682	3821356	UHGG	MAG	2	6195	GUT_GENOME205718.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-013/MGYG-HGUT-01346/genomes10/GUT_GENOME205718.gff.gz
HumGut_34	3000034	34	10	4028559	s__Faecalibacterium prausnitzii_G	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_G	853	Faecalibacterium prausnitzii	species	0.9332769320882852	1947	84.08	1.13	0.5858	2372798	UHGG	MAG	1	18	GUT_GENOME224023.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02545/genomes4/GUT_GENOME224023.gff.gz
HumGut_35	3000035	35	2	4020107	s__Bacteroides uniformis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	411479	Bacteroides uniformis ATCC 8492	strain	0.9331309711375212	2241	71.85	2.91	0.47159999999999996	3329726	UHGG	MAG	2	6195	GUT_GENOME029070.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-013/MGYG-HGUT-01346/genomes8/GUT_GENOME029070.gff.gz
HumGut_36	3000036	36	4	4028559	s__Faecalibacterium prausnitzii_G	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_G	853	Faecalibacterium prausnitzii	species	0.9328140625353707	1892	97.96	0	0.5805	2873126	UHGG	MAG	323	2810	GUT_GENOME083916.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02545/genomes1/GUT_GENOME083916.gff.gz
HumGut_37	3000037	37	2	4020107	s__Bacteroides uniformis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	411479	Bacteroides uniformis ATCC 8492	strain	0.9327316078098472	2263	82.46	2.45	0.469	3674685	UHGG	MAG	2	6195	GUT_GENOME161203.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-013/MGYG-HGUT-01346/genomes11/GUT_GENOME161203.gff.gz
HumGut_38	3000038	38	4	4028559	s__Faecalibacterium prausnitzii_G	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_G	853	Faecalibacterium prausnitzii	species	0.9325672190152802	1948	97.62	1.37	0.603	2231972	UHGG	MAG	276	2810	GUT_GENOME218127.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02545/genomes6/GUT_GENOME218127.gff.gz
HumGut_39	3000039	39	2	4020107	s__Bacteroides uniformis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	411479	Bacteroides uniformis ATCC 8492	strain	0.9324080554612337	2273	68.1	3.45	0.4794	3000191	UHGG	MAG	3	6195	GUT_GENOME163142.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-013/MGYG-HGUT-01346/genomes11/GUT_GENOME163142.gff.gz
HumGut_40	3000040	40	4	4028559	s__Faecalibacterium prausnitzii_G	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_G	853	Faecalibacterium prausnitzii	species	0.9323753822863611	1916	90.57	2.47	0.5992000000000001	2120337	UHGG	MAG	11	2810	GUT_GENOME224395.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02545/genomes5/GUT_GENOME224395.gff.gz
HumGut_41	3000041	41	5	4028556	s__Faecalibacterium prausnitzii_D	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_D	853	Faecalibacterium prausnitzii	species	0.9321458814374646	1959	83.04	3.08	0.5709000000000001	2440340	UHGG	MAG	11	1288	GUT_GENOME083649.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-022/MGYG-HGUT-02272/genomes2/GUT_GENOME083649.gff.gz
HumGut_42	3000042	42	3	4027194	s__Blautia_A wexlerae	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	1121115	Blautia wexlerae DSM 19850	strain	0.9321169527447651	1923	61.18	0	0.42060000000000003	1842127	UHGG	MAG	247	2298	GUT_GENOME086999.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-013/MGYG-HGUT-01338/genomes3/GUT_GENOME086999.gff.gz
HumGut_43	3000043	43	6	4027117	s__Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis	515619	[Eubacterium] rectale ATCC 33656	strain	0.9317725328239955	1972	91.19	3	0.4303	1908226	UHGG	MAG	4367	7316	GUT_GENOME238834.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-024/MGYG-HGUT-02492/genomes3/GUT_GENOME238834.gff.gz
HumGut_44	3000044	44	1	4020169	s__Phocaeicola vulgatus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus	435590	Bacteroides vulgatus ATCC 8482	strain	0.9317405947934352	2410	76.26	4.23	0.4071	3967230	UHGG	MAG	1	5904	GUT_GENOME229902.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-024/MGYG-HGUT-02478/genomes4/GUT_GENOME229902.gff.gz
HumGut_45	3000045	45	7	4020132	s__Phocaeicola dorei	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola dorei	483217	Bacteroides dorei DSM 17855	strain	0.9317174855687607	2299	60.02	1.8	0.4203	3315800	UHGG	MAG	2	49	GUT_GENOME006682.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-024/MGYG-HGUT-02478/genomes8/GUT_GENOME006682.gff.gz
HumGut_46	3000046	46	3	4008046	g__Blautia_A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	657314	Blautia obeum A2-162	strain	0.9315644547255235	2006	66.69	0.37	0.4225	3484454	UHGG	MAG	3	2298	GUT_GENOME223012.fna.gz	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/2019_09/all_genomes/MGYG-HGUT-013/MGYG-HGUT-01338/genomes2/GUT_GENOME223012.gff.gz
