genome_id	record_id	region	start	end	contig_edge	product	KCB_hit	KCB_acc	KCB_%	record_desc	Category	n_Category	OLD_gtdb_classification	gtdbtk_organism_name	ncbi_organism_name	Contamination (%)	Completeness (%)	cluster95	Database	Domain	Phylum	Class	Order	Family	Genus	Species	MiDAS_classification	HQ	shared_name
GUT_GENOME030529	GUT_GENOME030529_krakentaxid3008572HumGut_8572_5.region001	1	0	14217	TRUE	alpha-glucansucrase				kraken:taxid|3008572|HumGut_8572_5 GUT_GENOME030529_5	Sucrase	4	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus salivarius	s__Streptococcus salivarius	Streptococcus salivarius	1.95	77.4	206	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus salivarius_D			GUT_GENOME030529_krakentaxid3008572HumGut_8572_5.region001.gbk_region_1
GCF_001814215.1_ASM181421v1_genomic	GCF_001814215.1_ASM181421v1_genomic_krakentaxid3014224HumGut_14224_18.region001	1	371944	396618	TRUE	lactobacillus_eps				kraken:taxid|3014224|HumGut_14224_18 NZ_KV815334.1 Streptococcus sp. HMSC062D07 Scaffold142, whole genome shotgun sequence	Wzx/Wzy	3	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus infantis_I	s__Streptococcus infantis_I	Streptococcus infantis SPAR10	0.169491525423729	100	1823	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus infantis_I			GCF_001814215.1_ASM181421v1_genomic_krakentaxid3014224HumGut_14224_18.region001.gbk_region_1
GUT_GENOME169583	GUT_GENOME169583_krakentaxid3003986HumGut_3986_81.region001	1	0	4903	TRUE	cellulose-like				kraken:taxid|3003986|HumGut_3986_81 GUT_GENOME169583_81	Synthase	2	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	s__Escherichia coli	Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775	0.88	54.9	107	HumGut	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli			GUT_GENOME169583_krakentaxid3003986HumGut_3986_81.region001.gbk_region_1
GUT_GENOME268601	GUT_GENOME268601_krakentaxid3009732HumGut_9732_26.region001	1	5093	22979	TRUE	pel-positive				kraken:taxid|3009732|HumGut_9732_26 GUT_GENOME268601_26	Synthase	2	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066205	s__Blautia_A sp900066205	uncultured Blautia sp.	0	62.05	97	HumGut	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__Blautia_A sp900066205			GUT_GENOME268601_krakentaxid3009732HumGut_9732_26.region001.gbk_region_1
GCF_000959885.1_ASM95988v1_genomic	GCF_000959885.1_ASM95988v1_genomic_krakentaxid3016344HumGut_16344_6.region001	1	158961	181393	FALSE	Uncharacterised				kraken:taxid|3016344|HumGut_16344_6 NZ_JYGJ01000006.1 Streptococcus cristatus strain CC5A TW70_contig000006, whole genome shotgun sequence	Uncharacterised	1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus cristatus	s__Streptococcus cristatus	Streptococcus cristatus ATCC 51100	0	100	2091	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus cristatus_H			GCF_000959885.1_ASM95988v1_genomic_krakentaxid3016344HumGut_16344_6.region001.gbk_region_1
GUT_GENOME096295	GUT_GENOME096295_krakentaxid3026046HumGut_26046_12.region001	1	80347	109150	FALSE	PNAG_eps				kraken:taxid|3026046|HumGut_26046_12 GUT_GENOME096295_12	Wzx/Wzy	3	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium celatum	s__Clostridium celatum	Clostridium celatum DSM 1785	0	99.19	4399	HumGut	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium celatum			GUT_GENOME096295_krakentaxid3026046HumGut_26046_12.region001.gbk_region_1
GCF_002096455.1_ASM209645v1_genomic	GCF_002096455.1_ASM209645v1_genomic_krakentaxid3015873HumGut_15873_1.region001	1	78371	102509	FALSE	lactobacillus_eps				kraken:taxid|3015873|HumGut_15873_1 NZ_NCUL01000008.1 Streptococcus oralis subsp. oralis strain RH_50443_09 s_oralis_RH_50443_09_ID_1, whole genome shotgun sequence	Wzx/Wzy	3	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus oralis	s__Streptococcus oralis	Streptococcus oralis ATCC 35037	0.199203187250996	99.8273572377158	1882	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus oralis			GCF_002096455.1_ASM209645v1_genomic_krakentaxid3015873HumGut_15873_1.region001.gbk_region_1
GUT_GENOME103818	GUT_GENOME103818_krakentaxid3019585HumGut_19585_2.region001	1	98079	126682	FALSE	Uncharacterised				kraken:taxid|3019585|HumGut_19585_2 GUT_GENOME103818_2	Uncharacterised	1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium baratii	s__Clostridium baratii	Clostridium baratii str. Sullivan	1.61	99.19	2953	HumGut	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium baratii_A			GUT_GENOME103818_krakentaxid3019585HumGut_19585_2.region001.gbk_region_1
GCF_000722775.1_ASM72277v1_genomic	GCF_000722775.1_ASM72277v1_genomic_krakentaxid3015284HumGut_15284_11.region001	1	63652	88293	FALSE	lactobacillus_eps				kraken:taxid|3015284|HumGut_15284_11 NZ_JPFZ01000011.1 Streptococcus mitis strain SK608 gsmSK608.contig.10_1, whole genome shotgun sequence	Wzx/Wzy	3	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mitis_AV	s__Streptococcus mitis_AV	Streptococcus mitis	0.298804780876494	99.6381142098274	2113	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus mitis_AV			GCF_000722775.1_ASM72277v1_genomic_krakentaxid3015284HumGut_15284_11.region001.gbk_region_1
GUT_GENOME040212	GUT_GENOME040212_krakentaxid3007705HumGut_7705_116.region001	1	0	5004	TRUE	cellulose-like				kraken:taxid|3007705|HumGut_7705_116 GUT_GENOME040212_116	Synthase	2	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli_D	s__Escherichia coli_D	Escherichia coli UMN026	0	58.23	344	HumGut	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli			GUT_GENOME040212_krakentaxid3007705HumGut_7705_116.region001.gbk_region_1
GCF_001553685.1_ASM155368v1_genomic	GCF_001553685.1_ASM155368v1_genomic_krakentaxid3016216HumGut_16216_1.region001	1	1839069	1864722	FALSE	Uncharacterised				kraken:taxid|3016216|HumGut_16216_1 NZ_CP014264.1 Streptococcus sp. oral taxon 431, complete genome	Uncharacterised	1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp001553685	s__Streptococcus sp001553685	Streptococcus sp. oral taxon 431	0	99.9576271186441	2008	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus sp001553685			GCF_001553685.1_ASM155368v1_genomic_krakentaxid3016216HumGut_16216_1.region001.gbk_region_1
GCF_001071735.1_ASM107173v1_genomic	GCF_001071735.1_ASM107173v1_genomic_krakentaxid3014053HumGut_14053_49.region001	1	6359	31804	TRUE	lactobacillus_eps				kraken:taxid|3014053|HumGut_14053_49 NZ_JVQA01000110.1 Streptococcus pseudopneumoniae strain 205_SPSE 1541_43669_737369_87+,1425+,912+, whole genome shotgun sequence	Wzx/Wzy	3	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pseudopneumoniae_O	s__Streptococcus pseudopneumoniae_O	Streptococcus pseudopneumoniae	0.271640709887722	99.7811783170349	1804	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus symci			GCF_001071735.1_ASM107173v1_genomic_krakentaxid3014053HumGut_14053_49.region001.gbk_region_1
GUT_GENOME113375	GUT_GENOME113375_krakentaxid3001499HumGut_1499_9.region001	1	0	18264	TRUE	Uncharacterised				kraken:taxid|3001499|HumGut_1499_9 GUT_GENOME113375_9	Uncharacterised	1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_C	s__Faecalibacterium prausnitzii_C	Faecalibacterium prausnitzii A2-165	0	53.57	14	HumGut	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium duncaniae			GUT_GENOME113375_krakentaxid3001499HumGut_1499_9.region001.gbk_region_1
GUT_GENOME150116	GUT_GENOME150116_krakentaxid3003320HumGut_3320_22.region001	1	5933	20402	TRUE	pel-positive				kraken:taxid|3003320|HumGut_3320_22 GUT_GENOME150116_22	Synthase	2	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_I	s__Faecalibacterium prausnitzii_I	Faecalibacterium prausnitzii	4.66	84.13	102	HumGut	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium prausnitzii_I			GUT_GENOME150116_krakentaxid3003320HumGut_3320_22.region001.gbk_region_1
GUT_GENOME244603	GUT_GENOME244603_krakentaxid3012327HumGut_12327_31.region001	1	6612	40872	TRUE	Uncharacterised				kraken:taxid|3012327|HumGut_12327_31 GUT_GENOME244603_31	Uncharacterised	1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides intestinalis	s__Bacteroides intestinalis	Bacteroides intestinalis DSM 17393	0	53.45	492	HumGut	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides intestinalis			GUT_GENOME244603_krakentaxid3012327HumGut_12327_31.region001.gbk_region_1
GUT_GENOME163145	GUT_GENOME163145_krakentaxid3006424HumGut_6424_4.region001	1	0	7932	TRUE	fructansucrase				kraken:taxid|3006424|HumGut_6424_4 GUT_GENOME163145_4	Sucrase	4	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus salivarius	s__Streptococcus salivarius	Streptococcus salivarius	2.94	71.48	626	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus salivarius			GUT_GENOME163145_krakentaxid3006424HumGut_6424_4.region001.gbk_region_1
GUT_GENOME040807	GUT_GENOME040807_krakentaxid3002860HumGut_2860_174.region001	1	0	10188	TRUE	Uncharacterised				kraken:taxid|3002860|HumGut_2860_174 GUT_GENOME040807_174	Uncharacterised	1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens	s__Bacteroides xylanisolvens	Bacteroides xylanisolvens XB1A	0	56.9	51	HumGut	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides xylanisolvens			GUT_GENOME040807_krakentaxid3002860HumGut_2860_174.region001.gbk_region_1
GUT_GENOME156547	GUT_GENOME156547_krakentaxid3019967HumGut_19967_46.region001	1	0	6171	TRUE	alpha-glucansucrase				kraken:taxid|3019967|HumGut_19967_46 GUT_GENOME156547_46	Sucrase	4	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis_B	s__Streptococcus parasanguinis_B	Streptococcus parasanguinis	0.76	59.51	3039	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus parasanguinis_T			GUT_GENOME156547_krakentaxid3019967HumGut_19967_46.region001.gbk_region_1
GUT_GENOME032980	GUT_GENOME032980_krakentaxid3003035HumGut_3035_9.region001	1	0	21969	TRUE	Uncharacterised				kraken:taxid|3003035|HumGut_3035_9 GUT_GENOME032980_9	Uncharacterised	1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus	s__Bacteroides ovatus	Bacteroides ovatus	0	75	18	HumGut	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides sp019412865			GUT_GENOME032980_krakentaxid3003035HumGut_3035_9.region001.gbk_region_1
GUT_GENOME069158	GUT_GENOME069158_krakentaxid3007113HumGut_7113_267.region001	1	0	3430	TRUE	cellulose-like				kraken:taxid|3007113|HumGut_7113_267 GUT_GENOME069158_267	Synthase	2	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli_C	s__Escherichia coli_C	Escherichia coli	1.91	72.77	753	HumGut	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli_F			GUT_GENOME069158_krakentaxid3007113HumGut_7113_267.region001.gbk_region_1
GCF_009932775.1_ASM993277v1_genomic	GCF_009932775.1_ASM993277v1_genomic_krakentaxid3018381HumGut_18381_1.region001	1	1245449	1260159	FALSE	alpha-glucansucrase				kraken:taxid|3018381|HumGut_18381_1 NZ_APLR01000001.1 Streptococcus sanguinis OH0843 s_sanguinis_OH0843_Ctg01, whole genome shotgun sequence	Sucrase	4	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	g__Streptococcus	Streptococcus oralis subsp. tigurinus AZ_3a	0	100	2449	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus sanguinis_R			GCF_009932775.1_ASM993277v1_genomic_krakentaxid3018381HumGut_18381_1.region001.gbk_region_1
GCF_004353185.1_ASM435318v1_genomic	GCF_004353185.1_ASM435318v1_genomic_krakentaxid3021495HumGut_21495_4.region001	1	2103	26974	TRUE	Uncharacterised				kraken:taxid|3021495|HumGut_21495_4 NZ_SMUS01000004.1 Clostridium cuniculi strain 1 CLCU001.0001.d01_CNTG00004, whole genome shotgun sequence	Uncharacterised	1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium cuniculi	s__Clostridium cuniculi	Clostridium cuniculi	2.83154121863799	99.1935483870968	3416	HumGut	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium cuniculi			GCF_004353185.1_ASM435318v1_genomic_krakentaxid3021495HumGut_21495_4.region001.gbk_region_1
GCF_001588645.1_ASM158864v1_genomic	GCF_001588645.1_ASM158864v1_genomic_krakentaxid3015725HumGut_15725_5.region001	1	2270	16995	FALSE	alpha-glucansucrase				kraken:taxid|3015725|HumGut_15725_5 NZ_LAYF01000013.1 Streptococcus oralis strain JPIIBV3 Contig13, whole genome shotgun sequence	Sucrase	4	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus oralis_AB	s__Streptococcus oralis_AB	Streptococcus oralis	0.265604249667995	99.867197875166	2191	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus oralis_AB			GCF_001588645.1_ASM158864v1_genomic_krakentaxid3015725HumGut_15725_5.region001.gbk_region_1
GUT_GENOME223903	GUT_GENOME223903_krakentaxid3004237HumGut_4237_613.region001	1	0	11058	TRUE	pel-positive				kraken:taxid|3004237|HumGut_4237_613 GUT_GENOME223903_613	Synthase	2	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium infantis	s__Bifidobacterium infantis	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088	4.59	79.68	208	HumGut	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Actinomycetales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium infantis			GUT_GENOME223903_krakentaxid3004237HumGut_4237_613.region001.gbk_region_1
GUT_GENOME082081	GUT_GENOME082081_krakentaxid3007421HumGut_7421_130.region001	1	16061	62949	TRUE	Uncharacterised				kraken:taxid|3007421|HumGut_7421_130 GUT_GENOME082081_130	Uncharacterised	1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp003438075	s__Ruminococcus_E sp003438075	Eubacterium sp. OM08-24	0.34	96.64	256	HumGut	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Ruminococcus_E	s__Ruminococcus_E sp003438075			GUT_GENOME082081_krakentaxid3007421HumGut_7421_130.region001.gbk_region_1
GCF_015551785.1_ASM1555178v1_genomic	GCF_015551785.1_ASM1555178v1_genomic_krakentaxid3008432HumGut_8432_66.region001	1	69136	92172	TRUE	lactobacillus_eps				kraken:taxid|3008432|HumGut_8432_66 NZ_JADNDJ010000006.1 Streptococcus parasanguinis strain D6t1_180914_C2 NODE_6_length_92172_cov_30.2084, whole genome shotgun sequence	Wzx/Wzy	3	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis	s__Streptococcus parasanguinis	Streptococcus parasanguinis ATCC 15912	0.875706214689265	100	998	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus parasanguinis			GCF_015551785.1_ASM1555178v1_genomic_krakentaxid3008432HumGut_8432_66.region001.gbk_region_1
GUT_GENOME208698	GUT_GENOME208698_krakentaxid3007262HumGut_7262_104.region001	1	0	4499	TRUE	fructansucrase				kraken:taxid|3007262|HumGut_7262_104 GUT_GENOME208698_104	Sucrase	4	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp001556435	s__Streptococcus sp001556435	Streptococcus sp. CCH5-D3	0.46	75.28	342	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus sp001556435			GUT_GENOME208698_krakentaxid3007262HumGut_7262_104.region001.gbk_region_1
