genome_id	record_id	region	start	end	contig_edge	product	KCB_hit	KCB_acc	KCB_%	record_desc	Category	n_Category	MAG_status.x	OLD_gtdb_classification	gtdbtk_organism_name	ncbi_organism_name	Contamination (%)	Completeness (%)	cluster95	Database	Domain	Phylum	Class	Order	Family	Genus	Species	MAG_status.y	shared_name	product_1
GCF_014269395.1_ASM1426939v1_genomic	krakentaxid3020604HumGut_20604_11	1	4085	21849	TRUE	pel-positive				kraken:taxid|3020604|HumGut_20604_11 NZ_JACOGK010000011.1 Megasphaera hominis strain NSJ-59 N28_ctg011, whole genome shotgun sequence	Synthase	2	HQ	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera_B;s__Megasphaera_B sp900538925	s__Megasphaera_B sp900538925	uncultured Megasphaera sp.	0	100	3199	HumGut	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Veillonellales	f__Megasphaeraceae	g__Caecibacter	s__Caecibacter hominis	HQ	krakentaxid3020604HumGut_20604_11.region001.gbk_region_1	pel-positive
GCF_000220255.1_ASM22025v1_genomic	krakentaxid3018795HumGut_18795_1	1	1722470	1744449	FALSE	putative_wzy_dependent				kraken:taxid|3018795|HumGut_18795_1 NZ_GL982513.1 Prevotella pallens ATCC 700821 SCAFFOLD1, whole genome shotgun sequence	Uncharacterised	1	HQ	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella pallens	s__Prevotella pallens	Prevotella pallens ATCC 700821	0.489864864864865	99.6621621621622	2797	HumGut	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella pallens	HQ	krakentaxid3018795HumGut_18795_1.region001.gbk_region_1	Uncharacterised
GUT_GENOME216695	krakentaxid3006896HumGut_6896_12	1	23667	51156	TRUE	putative_wzy_dependent				kraken:taxid|3006896|HumGut_6896_12 GUT_GENOME216695_12	Uncharacterised	1	HQ	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola sp000432735	s__Phocaeicola sp000432735	Bacteroides sp. CAG:443	1.07	98.88	719	HumGut	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola sp000432735	HQ	krakentaxid3006896HumGut_6896_12.region001.gbk_region_1	Uncharacterised
GUT_GENOME096295	krakentaxid3026046HumGut_26046_12	1	80347	109150	FALSE	PNAG_eps				kraken:taxid|3026046|HumGut_26046_12 GUT_GENOME096295_12	Wzx/Wzy	3	HQ	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium celatum	s__Clostridium celatum	Clostridium celatum DSM 1785	0	99.19	4399	HumGut	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium celatum	HQ	krakentaxid3026046HumGut_26046_12.region001.gbk_region_1	PNAG_eps
GCF_014895905.1_ASM1489590v1_genomic	krakentaxid3018276HumGut_18276_1	1	21282	75213	FALSE	putative_wzy_dependent_NO_OPX				kraken:taxid|3018276|HumGut_18276_1 NZ_JADBQL010000001.1 Enterobacter cloacae complex sp. P15RS 1702007545_S63_R1_(paired)_contig_1, whole genome shotgun sequence	Uncharacterised	1	HQ	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter cloacae_J	s__Enterobacter cloacae_J	Enterobacter cloacae complex sp.	0.148809523809524	99.9669312169312	2691	HumGut	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter quasihormaechei	HQ	krakentaxid3018276HumGut_18276_1.region001.gbk_region_1	Uncharacterised
GCF_014895905.1_ASM1489590v1_genomic	krakentaxid3018276HumGut_18276_15	1	26843	42552	FALSE	PNAG-pga				kraken:taxid|3018276|HumGut_18276_15 NZ_JADBQL010000022.1 Enterobacter cloacae complex sp. P15RS 1702007545_S63_R1_(paired)_contig_22, whole genome shotgun sequence	Synthase	2	HQ	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter cloacae_J	s__Enterobacter cloacae_J	Enterobacter cloacae complex sp.	0.148809523809524	99.9669312169312	2691	HumGut	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter quasihormaechei	HQ	krakentaxid3018276HumGut_18276_15.region001.gbk_region_1	PNAG-pga
GCF_014895905.1_ASM1489590v1_genomic	krakentaxid3018276HumGut_18276_30	1	10939	32243	TRUE	cellulose-type-2				kraken:taxid|3018276|HumGut_18276_30 NZ_JADBQL010000036.1 Enterobacter cloacae complex sp. P15RS 1702007545_S63_R1_(paired)_contig_36, whole genome shotgun sequence	Synthase	2	HQ	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter cloacae_J	s__Enterobacter cloacae_J	Enterobacter cloacae complex sp.	0.148809523809524	99.9669312169312	2691	HumGut	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter quasihormaechei	HQ	krakentaxid3018276HumGut_18276_30.region001.gbk_region_1	cellulose-type-2
GUT_GENOME103818	krakentaxid3019585HumGut_19585_2	1	98079	138873	FALSE	putative_wzy_dependent_NO_OPX				kraken:taxid|3019585|HumGut_19585_2 GUT_GENOME103818_2	Uncharacterised	1	HQ	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium baratii	s__Clostridium baratii	Clostridium baratii str. Sullivan	1.61	99.19	2953	HumGut	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium baratii_A	HQ	krakentaxid3019585HumGut_19585_2.region001.gbk_region_1	Uncharacterised
GCF_002092045.1_ASM209204v1_genomic	krakentaxid3021459HumGut_21459_41	1	0	14206	TRUE	putative_wzy_dependent_NO_OPX				kraken:taxid|3021459|HumGut_21459_41 NZ_MPAM01000041.1 Leuconostoc mesenteroides subsp. cremoris strain LMGCF01 contig000041, whole genome shotgun sequence	Uncharacterised	1	HQ	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides	s__Leuconostoc mesenteroides	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	0	99.8236331569665	3403	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Leuconostoc	s__Leuconostoc mesenteroides	HQ	krakentaxid3021459HumGut_21459_41.region001.gbk_region_1	Uncharacterised
GCF_000722775.1_ASM72277v1_genomic	krakentaxid3015284HumGut_15284_11	1	63652	88293	FALSE	lactobacillus_eps				kraken:taxid|3015284|HumGut_15284_11 NZ_JPFZ01000011.1 Streptococcus mitis strain SK608 gsmSK608.contig.10_1, whole genome shotgun sequence	Wzx/Wzy	3	HQ	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mitis_AV	s__Streptococcus mitis_AV	Streptococcus mitis	0.298804780876494	99.6381142098274	2113	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus mitis_AV	HQ	krakentaxid3015284HumGut_15284_11.region001.gbk_region_1	lactobacillus_eps
GCF_900155615.1_Massilimalia_massiliensis_genomic	krakentaxid3018018HumGut_18018_3	1	691036	735990	FALSE	putative_wzy_dependent_NO_OPX				kraken:taxid|3018018|HumGut_18018_3 NZ_FUHT01000002.1 Massilimaliae massiliensis strain Marseille-P2963T, whole genome shotgun sequence	Uncharacterised	1	HQ	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Massilimaliae;s__Massilimaliae massiliensis	s__Massilimaliae massiliensis	Massilimaliae massiliensis	0	98.6577181208054	2635	HumGut	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Massiliimalia	s__Massiliimalia massiliensis	HQ	krakentaxid3018018HumGut_18018_3.region001.gbk_region_1	Uncharacterised
GCF_900155615.1_Massilimalia_massiliensis_genomic	krakentaxid3018018HumGut_18018_3	1	691036	735990	FALSE	pel-like				kraken:taxid|3018018|HumGut_18018_3 NZ_FUHT01000002.1 Massilimaliae massiliensis strain Marseille-P2963T, whole genome shotgun sequence	Synthase	2	HQ	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Massilimaliae;s__Massilimaliae massiliensis	s__Massilimaliae massiliensis	Massilimaliae massiliensis	0	98.6577181208054	2635	HumGut	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Massiliimalia	s__Massiliimalia massiliensis	HQ	krakentaxid3018018HumGut_18018_3.region001.gbk_region_1	pel-like
GCF_001278755.1_ASM127875v1_genomic	krakentaxid3023849HumGut_23849_1	1	188489	208066	FALSE	putative_wzy_dependent_NO_OPX				kraken:taxid|3023849|HumGut_23849_1 NZ_CP012601.1 Bacillus sp. FJAT-22090 genome	Uncharacterised	1	HQ	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Psychrobacillus;s__Psychrobacillus sp001278755	s__Psychrobacillus sp001278755	Bacillus sp. FJAT-22090	1.54525386313466	100	3951	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Psychrobacillus	s__Psychrobacillus sp001278755	HQ	krakentaxid3023849HumGut_23849_1.region001.gbk_region_1	Uncharacterised
GCF_001278755.1_ASM127875v1_genomic	krakentaxid3023849HumGut_23849_1	2	2396643	2416614	FALSE	putative_wzy_dependent_NO_OPX				kraken:taxid|3023849|HumGut_23849_1 NZ_CP012601.1 Bacillus sp. FJAT-22090 genome	Uncharacterised	1	HQ	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Psychrobacillus;s__Psychrobacillus sp001278755	s__Psychrobacillus sp001278755	Bacillus sp. FJAT-22090	1.54525386313466	100	3951	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Psychrobacillus	s__Psychrobacillus sp001278755	HQ	krakentaxid3023849HumGut_23849_1.region002.gbk_region_1	Uncharacterised
GUT_GENOME224277	krakentaxid3020811HumGut_20811_3	1	2636	19318	TRUE	putative_wzy_dependent				kraken:taxid|3020811|HumGut_20811_3 GUT_GENOME224277_3	Uncharacterised	1	HQ	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Dysgonomonas;s__Dysgonomonas capnocytophagoides	s__Dysgonomonas capnocytophagoides	Dysgonomonas capnocytophagoides DSM 22835	1.09	98.71	3240	HumGut	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Dysgonomonadaceae	g__Dysgonomonas	s__Dysgonomonas capnocytophagoides	HQ	krakentaxid3020811HumGut_20811_3.region001.gbk_region_1	Uncharacterised
GUT_GENOME224277	krakentaxid3020811HumGut_20811_168	1	0	11069	TRUE	putative_wzy_dependent				kraken:taxid|3020811|HumGut_20811_168 GUT_GENOME224277_168	Uncharacterised	1	HQ	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Dysgonomonas;s__Dysgonomonas capnocytophagoides	s__Dysgonomonas capnocytophagoides	Dysgonomonas capnocytophagoides DSM 22835	1.09	98.71	3240	HumGut	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Dysgonomonadaceae	g__Dysgonomonas	s__Dysgonomonas capnocytophagoides	HQ	krakentaxid3020811HumGut_20811_168.region001.gbk_region_1	Uncharacterised
GCF_000279535.1_ASM27953v1_genomic	krakentaxid3013679HumGut_13679_10	1	12038	31247	TRUE	lactobacillus_eps				kraken:taxid|3013679|HumGut_13679_10 NZ_ALCH01000010.1 Streptococcus infantis SPAR10 GA06201.contig.9, whole genome shotgun sequence	Wzx/Wzy	3	HQ	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus infantis_I	s__Streptococcus infantis_I	Streptococcus infantis SPAR10	0	99.8870056497175	1823	HumGut	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus infantis_I	HQ	krakentaxid3013679HumGut_13679_10.region001.gbk_region_1	lactobacillus_eps
GCF_004792675.1_ASM479267v1_genomic	krakentaxid3019227HumGut_19227_43	1	4164	42888	TRUE	putative_ABC_dependent				kraken:taxid|3019227|HumGut_19227_43 NZ_SRVL01000013.1 Muribaculum intestinale strain NM75_1-48a NODE_13_length_63105_cov_554.294, whole genome shotgun sequence	Uncharacterised	1	HQ	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum intestinale	s__Muribaculum intestinale	Muribaculum intestinale	0.377358490566038	99.0566037735849	2884	HumGut	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Muribaculum	s__Muribaculum intestinale	HQ	krakentaxid3019227HumGut_19227_43.region001.gbk_region_1	Uncharacterised
GCF_004792675.1_ASM479267v1_genomic	krakentaxid3019227HumGut_19227_55	1	197149	222901	TRUE	putative_wzy_dependent				kraken:taxid|3019227|HumGut_19227_55 NZ_SRVL01000001.1 Muribaculum intestinale strain NM75_1-48a NODE_1_length_233350_cov_571.033, whole genome shotgun sequence	Uncharacterised	1	HQ	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum intestinale	s__Muribaculum intestinale	Muribaculum intestinale	0.377358490566038	99.0566037735849	2884	HumGut	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Muribaculum	s__Muribaculum intestinale	HQ	krakentaxid3019227HumGut_19227_55.region001.gbk_region_1	Uncharacterised
GUT_GENOME140043	krakentaxid3013496HumGut_13496_1	1	502926	526917	FALSE	putative_wzy_dependent_NO_OPX				kraken:taxid|3013496|HumGut_13496_1 GUT_GENOME140043_1	Uncharacterised	1	HQ	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella sp003478085	s__Eisenbergiella sp003478085	Eisenbergiella sp. OF01-20	3.07	99.43	1783	HumGut	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eisenbergiella	s__Eisenbergiella sp003478085	HQ	krakentaxid3013496HumGut_13496_1.region001.gbk_region_1	Uncharacterised
GUT_GENOME140043	krakentaxid3013496HumGut_13496_45	1	0	29320	TRUE	putative_wzy_dependent_NO_OPX				kraken:taxid|3013496|HumGut_13496_45 GUT_GENOME140043_45	Uncharacterised	1	HQ	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella sp003478085	s__Eisenbergiella sp003478085	Eisenbergiella sp. OF01-20	3.07	99.43	1783	HumGut	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eisenbergiella	s__Eisenbergiella sp003478085	HQ	krakentaxid3013496HumGut_13496_45.region001.gbk_region_1	Uncharacterised
GUT_GENOME000758	krakentaxid3005622HumGut_5622_16	1	30353	65390	TRUE	putative_wzy_dependent				kraken:taxid|3005622|HumGut_5622_16 GUT_GENOME000758_16	Uncharacterised	1	HQ	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Coprobacteraceae;g__Coprobacter;s__Coprobacter fastidiosus	s__Coprobacter fastidiosus	Coprobacter fastidiosus NSB1	0	99.62	480	HumGut	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Coprobacteraceae	g__Coprobacter	s__Coprobacter fastidiosus	HQ	krakentaxid3005622HumGut_5622_16.region001.gbk_region_1	Uncharacterised
GUT_GENOME000758	krakentaxid3005622HumGut_5622_46	1	18422	33982	TRUE	putative_wzy_dependent				kraken:taxid|3005622|HumGut_5622_46 GUT_GENOME000758_46	Uncharacterised	1	HQ	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Coprobacteraceae;g__Coprobacter;s__Coprobacter fastidiosus	s__Coprobacter fastidiosus	Coprobacter fastidiosus NSB1	0	99.62	480	HumGut	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Coprobacteraceae	g__Coprobacter	s__Coprobacter fastidiosus	HQ	krakentaxid3005622HumGut_5622_46.region001.gbk_region_1	Uncharacterised
GUT_GENOME118228	krakentaxid3010090HumGut_10090_23	1	5659	30286	TRUE	putative_wzy_dependent				kraken:taxid|3010090|HumGut_10090_23 GUT_GENOME118228_23	Uncharacterised	1	HQ	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	g__Bacteroides	Bacteroides xylanisolvens XB1A	3.42	95.78	1281	HumGut	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides sp905197435	HQ	krakentaxid3010090HumGut_10090_23.region001.gbk_region_1	Uncharacterised
GUT_GENOME118228	krakentaxid3010090HumGut_10090_110	1	0	14576	TRUE	putative_wzy_dependent				kraken:taxid|3010090|HumGut_10090_110 GUT_GENOME118228_110	Uncharacterised	1	HQ	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	g__Bacteroides	Bacteroides xylanisolvens XB1A	3.42	95.78	1281	HumGut	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides sp905197435	HQ	krakentaxid3010090HumGut_10090_110.region001.gbk_region_1	Uncharacterised
GCF_004353185.1_ASM435318v1_genomic	krakentaxid3021495HumGut_21495_4	1	2103	26974	TRUE	putative_wzy_dependent_NO_OPX				kraken:taxid|3021495|HumGut_21495_4 NZ_SMUS01000004.1 Clostridium cuniculi strain 1 CLCU001.0001.d01_CNTG00004, whole genome shotgun sequence	Uncharacterised	1	HQ	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium cuniculi	s__Clostridium cuniculi	Clostridium cuniculi	2.83154121863799	99.1935483870968	3416	HumGut	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium cuniculi	HQ	krakentaxid3021495HumGut_21495_4.region001.gbk_region_1	Uncharacterised
GCF_004353185.1_ASM435318v1_genomic	krakentaxid3021495HumGut_21495_6	1	60418	106069	FALSE	putative_wzy_dependent_NO_OPX				kraken:taxid|3021495|HumGut_21495_6 NZ_SMUS01000006.1 Clostridium cuniculi strain 1 CLCU001.0001.d01_CNTG00006, whole genome shotgun sequence	Uncharacterised	1	HQ	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium cuniculi	s__Clostridium cuniculi	Clostridium cuniculi	2.83154121863799	99.1935483870968	3416	HumGut	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium cuniculi	HQ	krakentaxid3021495HumGut_21495_6.region001.gbk_region_1	Uncharacterised
