# If you find multiSMASH useful, please cite the Zenodo DOI: 10.5281/zenodo.8276143
record	total_count	PNAG-pga	PNAG-pga-like	alginate	cellulose-like	curdlan-like	exoPS_GCF_10	exoPS_GCF_11	exoPS_GCF_12	exoPS_GCF_13	exoPS_GCF_14	exoPS_GCF_2	exoPS_GCF_3	exoPS_GCF_4	exoPS_GCF_4_1	exoPS_GCF_5	exoPS_GCF_6	exoPS_GCF_7	exoPS_GCF_8	exoPS_GCF_9	fructansucrase	generic-cellulose	lactobacillus_eps	pel	pel-like	pel-positive	psl	putative_ABC_dependent	putative_ABC_dependent_NO_OPX	putative_ABC_or_wzy_dependent	putative_wzy_dependent	putative_wzy_dependent_NO_OPX	sphingomonadales_exops	type-1-cellulose	type-2-cellulose	type-3-cellulose	zooglan	hybrid	description
097-US2-29.bin.1.153.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	097-US2-29.bin.1.153_contig_100344 [14 total records]
018-CH-08.bin.1.477.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	018-CH-08.bin.1.477_contig_15289 [5 total records]
073-IL-01.bin.1.205.fa	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	073-IL-01.bin.1.205_contig_45083 [2 total records]
037-NO2-03.bin.1.218.fa	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	037-NO2-03.bin.1.218_contig_11009 [6 total records]
067-CH-23.bin.2.203.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	067-CH-23.bin.2.203_contig_113455 [11 total records]
037-NO2-03.bin.1.356.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	037-NO2-03.bin.1.356_contig_13154 [1 total record]
016-PL-06.bin.2.88.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	016-PL-06.bin.2.88_contig_10894 [4 total records]
095-US2-13.bin.1.299.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	095-US2-13.bin.1.299_contig_1050 [24 total records]
033-IN-11.bin.1.307.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	033-IN-11.bin.1.307_contig_10463 [6 total records]
034-IT-09.bin.1.474.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	034-IT-09.bin.1.474_contig_102227 [9 total records]
008-AR-23.bin.1.89.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	008-AR-23.bin.1.89_contig_14959 [1 total record]
002-MX-07.bin.1.730.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	002-MX-07.bin.1.730_contig_10716 [8 total records]
086-SA-02.bin.2.39.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	086-SA-02.bin.2.39_contig_1392 [1 total record]
053-PL-24.bin.1.1.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	053-PL-24.bin.1.1_contig_11724 [5 total records]
094-US2-01.bin.1.297.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	094-US2-01.bin.1.297_contig_30594 [6 total records]
044-US1-41.bin.1.151.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	044-US1-41.bin.1.151_contig_15061 [19 total records]
045-US1-87.bin.1.142.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	045-US1-87.bin.1.142_contig_138737 [15 total records]
090-US1-124.bin.1.93.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	090-US1-124.bin.1.93_contig_443 [2 total records]
063-AU-32.bin.1.133.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	063-AU-32.bin.1.133_contig_22109 [5 total records]
089-SG-01.bin.1.88.fa	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	089-SG-01.bin.1.88_contig_3782 [1 total record]
040-UK-14.bin.1.460.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	040-UK-14.bin.1.460_contig_104424 [19 total records]
044-US1-41.bin.1.66.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	044-US1-41.bin.1.66_contig_1868 [9 total records]
061-AU-11.bin.1.119.fa	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	061-AU-11.bin.1.119_contig_103474 [7 total records]
006-MY-06.bin.1.882.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	006-MY-06.bin.1.882_contig_216701 [11 total records]
092-US1-44.bin.c.23.fa	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	092-US1-44.bin.c.23_contig_1944 [1 total record]
031-CZ-17.bin.1.176.fa	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1	0	0	0	0	0	0	031-CZ-17.bin.1.176_contig_13641 [9 total records]
064-CA-01.bin.1.289.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	064-CA-01.bin.1.289_contig_11022 [29 total records]
062-AU-26.bin.1.84.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	062-AU-26.bin.1.84_contig_2977 [1 total record]
038-SE-10.bin.1.326.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	038-SE-10.bin.1.326_contig_143347 [6 total records]
073-IL-01.bin.1.445.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	073-IL-01.bin.1.445_contig_12411 [29 total records]
089-SG-01.bin.1.904.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	089-SG-01.bin.1.904_contig_11218 [11 total records]
054-AR-04.bin.1.410.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	054-AR-04.bin.1.410_contig_13504 [12 total records]
037-NO2-03.bin.1.285.fa	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	037-NO2-03.bin.1.285_contig_8747 [1 total record]
033-IN-11.bin.1.6.fa	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	033-IN-11.bin.1.6_contig_10200 [9 total records]
035-MX-06.bin.c.23.fa	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	035-MX-06.bin.c.23_contig_9125 [1 total record]
096-US2-26.bin.1.18.fa	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	096-US2-26.bin.1.18_contig_14303 [22 total records]
094-US2-01.bin.1.254.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	094-US2-01.bin.1.254_contig_12840 [3 total records]
021-CZ-11.bin.1.1.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	021-CZ-11.bin.1.1_contig_143795 [7 total records]
073-IL-01.bin.1.59.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	073-IL-01.bin.1.59_contig_146880 [16 total records]
089-SG-01.bin.1.114.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	089-SG-01.bin.1.114_contig_101039 [17 total records]
066-CH-22.bin.1.222.fa	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	066-CH-22.bin.1.222_contig_197566 [9 total records]
067-CH-23.bin.2.276.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	067-CH-23.bin.2.276_contig_10801 [8 total records]
073-IL-01.bin.2.159.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	073-IL-01.bin.2.159_contig_110746 [8 total records]
002-MX-07.bin.2.108.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	002-MX-07.bin.2.108_contig_133117 [11 total records]
053-PL-24.bin.1.211.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	053-PL-24.bin.1.211_contig_14744 [4 total records]
073-IL-01.bin.1.142.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	073-IL-01.bin.1.142_contig_109209 [5 total records]
021-CZ-11.bin.1.96.fa	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	021-CZ-11.bin.1.96_contig_11895 [4 total records]
098-UY-13.bin.1.232.fa	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	098-UY-13.bin.1.232_contig_1020 [15 total records]
099-UY-16.bin.2.77.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	099-UY-16.bin.2.77_contig_14729 [23 total records]
053-PL-24.bin.1.69.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	053-PL-24.bin.1.69_contig_100841 [43 total records]
011-CY-01.bin.1.269.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	011-CY-01.bin.1.269_contig_12189 [14 total records]
053-PL-24.bin.2.317.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	053-PL-24.bin.2.317_contig_100665 [40 total records]
052-CH-10.bin.2.177.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	052-CH-10.bin.2.177_contig_100774 [29 total records]
035-MX-06.bin.1.86.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	035-MX-06.bin.1.86_contig_174 [1 total record]
071-HK-01.bin.1.76.fa	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	071-HK-01.bin.1.76_contig_129868 [17 total records]
009-AU-01.bin.1.143.fa	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	009-AU-01.bin.1.143_contig_13994 [11 total records]
045-US1-87.bin.1.128.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	045-US1-87.bin.1.128_contig_12172 [16 total records]
038-SE-10.bin.2.176.fa	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	038-SE-10.bin.2.176_contig_127389 [11 total records]
008-AR-23.bin.2.304.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	008-AR-23.bin.2.304_contig_117717 [37 total records]
015-DE-14.bin.1.152.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	015-DE-14.bin.1.152_contig_123018 [13 total records]
093-US1-47.bin.1.328.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	093-US1-47.bin.1.328_contig_100474 [288 total records]
016-PL-06.bin.1.318.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	016-PL-06.bin.1.318_contig_12139 [3 total records]
036-NL-06.bin.1.166.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	036-NL-06.bin.1.166_contig_104962 [24 total records]
067-CH-23.bin.1.59.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	067-CH-23.bin.1.59_contig_11877 [7 total records]
008-AR-23.bin.1.351.fa	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	008-AR-23.bin.1.351_contig_12460 [6 total records]
041-UK2-07.bin.1.412.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	041-UK2-07.bin.1.412_contig_109404 [9 total records]
039-SE-29.bin.2.242.fa	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	039-SE-29.bin.2.242_contig_100197 [17 total records]
017-IL-02.bin.1.274.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	017-IL-02.bin.1.274_contig_109598 [8 total records]
026-AT-03.bin.1.296.fa	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	026-AT-03.bin.1.296_contig_108383 [12 total records]
045-US1-87.bin.1.236.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	045-US1-87.bin.1.236_contig_14024 [7 total records]
041-UK2-07.bin.1.441.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	041-UK2-07.bin.1.441_contig_109179 [8 total records]
014-ES-23.bin.2.362.fa	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	014-ES-23.bin.2.362_contig_10011 [30 total records]
033-IN-11.bin.1.853.fa	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	033-IN-11.bin.1.853_contig_1247 [11 total records]
020-NO1-03.bin.1.463.fa	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	020-NO1-03.bin.1.463_contig_111347 [10 total records]
018-CH-08.bin.1.140.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	018-CH-08.bin.1.140_contig_101884 [9 total records]
048-UY-15.bin.2.345.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	048-UY-15.bin.2.345_contig_106798 [7 total records]
091-US1-126.bin.2.247.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	091-US1-126.bin.2.247_contig_1469 [11 total records]
063-AU-32.bin.1.260.fa	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	063-AU-32.bin.1.260_contig_11014 [7 total records]
002-MX-07.bin.1.69.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	002-MX-07.bin.1.69_contig_100733 [3 total records]
014-ES-23.bin.1.539.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	014-ES-23.bin.1.539_contig_114856 [11 total records]
091-US1-126.bin.1.343.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	091-US1-126.bin.1.343_contig_142 [14 total records]
004-NL-18.bin.1.121.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	004-NL-18.bin.1.121_contig_1884 [5 total records]
093-US1-47.bin.1.1.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	093-US1-47.bin.1.1_contig_116992 [14 total records]
013-IT-11.bin.1.98.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	013-IT-11.bin.1.98_contig_112812 [19 total records]
021-CZ-11.bin.1.892.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	021-CZ-11.bin.1.892_contig_140192 [4 total records]
021-CZ-11.bin.1.623.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	021-CZ-11.bin.1.623_contig_1543 [9 total records]
052-CH-10.bin.2.255.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	052-CH-10.bin.2.255_contig_100281 [47 total records]
021-CZ-11.bin.1.891.fa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	021-CZ-11.bin.1.891_contig_110244 [37 total records]
041-UK2-07.bin.1.351.fa	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	041-UK2-07.bin.1.351_contig_119405 [20 total records]
001-SG-02.bin.1.284.fa	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	001-SG-02.bin.1.284_contig_10097 [11 total records]
091-US1-126.bin.2.37.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	091-US1-126.bin.2.37_contig_12026 [31 total records]
062-AU-26.bin.1.148.fa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	062-AU-26.bin.1.148_contig_12312 [5 total records]
026-AT-03.bin.1.40.fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	026-AT-03.bin.1.40_contig_11095 [21 total records]
