accession	ambiguous_bases	checkm2_completeness	checkm2_contamination	checkm2_model	checkm_completeness	checkm_contamination	checkm_marker_count	checkm_marker_lineage	checkm_marker_set_count	checkm_strain_heterogeneity	coding_bases	coding_density	contig_count	gc_count	gc_percentage	genome_size	gtdb_genome_representative	gtdb_representative	domain	phylum	class	order	family	genus	species	gtdb_type_designation_ncbi_taxa	gtdb_type_designation_ncbi_taxa_sources	gtdb_type_species_of_genus	l50_contigs	l50_scaffolds	longest_contig	longest_scaffold	lsu_23s_contig_len	lsu_23s_count	lsu_23s_length	lsu_23s_query_id	lsu_5s_contig_len	lsu_5s_count	lsu_5s_length	lsu_5s_query_id	lsu_silva_23s_blast_align_len	lsu_silva_23s_blast_bitscore	lsu_silva_23s_blast_evalue	lsu_silva_23s_blast_perc_identity	lsu_silva_23s_blast_subject_id	lsu_silva_23s_taxonomy	mean_contig_length	mean_scaffold_length	mimag_high_quality	mimag_low_quality	mimag_medium_quality	n50_contigs	n50_scaffolds	ncbi_assembly_level	ncbi_assembly_name	ncbi_assembly_type	ncbi_bioproject	ncbi_biosample	ncbi_contig_count	ncbi_contig_n50	ncbi_country	ncbi_date	ncbi_genbank_assembly_accession	ncbi_genome_category	ncbi_genome_representation	ncbi_isolate	ncbi_isolation_source	ncbi_lat_lon	ncbi_molecule_count	ncbi_ncrna_count	ncbi_organism_name	ncbi_protein_count	ncbi_refseq_category	ncbi_rrna_count	ncbi_scaffold_count	ncbi_scaffold_l50	ncbi_scaffold_n50	ncbi_scaffold_n75	ncbi_scaffold_n90	ncbi_seq_rel_date	ncbi_spanned_gaps	ncbi_species_taxid	ncbi_ssu_count	ncbi_strain_identifiers	ncbi_submitter	ncbi_taxid	ncbi_taxonomy	ncbi_taxonomy_unfiltered	ncbi_total_gap_length	ncbi_total_length	ncbi_translation_table	ncbi_trna_count	ncbi_type_material_designation	ncbi_ungapped_length	ncbi_unspanned_gaps	ncbi_wgs_master	protein_count	scaffold_count	ssu_contig_len	ssu_count	ssu_gg_blast_align_len	ssu_gg_blast_bitscore	ssu_gg_blast_evalue	ssu_gg_blast_perc_identity	ssu_gg_blast_subject_id	ssu_gg_taxonomy	ssu_length	ssu_query_id	ssu_silva_blast_align_len	ssu_silva_blast_bitscore	ssu_silva_blast_evalue	ssu_silva_blast_perc_identity	ssu_silva_blast_subject_id	ssu_silva_taxonomy	total_gap_length	trna_aa_count	trna_count	trna_selenocysteine_count
RS_GCF_004152845.1	0	99.99	0.59	Specific	100	1.65	569	o__Sphingomonadales (UID3310)	293	0	4131171	89.8932097205984	21	2982237	64.8927038066273	4595643	RS_GCF_004152845.1	t	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium fuliginis	type strain of species	LPSN	f	4	4	980512	980512	5555	1	2773	NZ_SEON01000018.1	5555	3	110	NZ_SEON01000018.1	2775	5064	0	99.64	CP010954.2200421.2203223	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;Sphingobium sp. YBL2	218840	218840	t	f	f	446120	446120	Contig	ASM415284v1	na	PRJNA224116	SAMN10868459	21	446120	India: Panki; Kanpur	2019-02-10	GCA_004152845.1	none	full	na	fly ash dumping site of thermal power plant	none	0	0	Sphingobium fuliginis	none	na	5	none	none	none	none	none	2019/02/10	0	336203	1	DSM 18781	Guangdong Microbial Culture Collection Center (GDMCC), Guangdong Institute of Microbiology	336203	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium fuliginis	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium fuliginis	0	4595643	11	50	assembly from type material	4595643	0	SEON00000000.1	4260	21	5555	1	none	none	none	none	none	none	1484	NZ_SEON01000018.1	1480	2730	0	99.932	DQ092757.1.1482	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;Sphingobium fuliginis	0	19	50	0
RS_GCF_037095755.1	0	99.99	0.72	Specific	99.64	2.12	569	o__Sphingomonadales (UID3310)	293	0	4225187	91.4945058086154	6	2998424	64.9295101222009	4617968	RS_GCF_037095755.1	t	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis sp037095755	not type material	none	f	1	1	2378061	2378061	2378061	1	2773	NZ_JBAWKJ010000001.1	2378061	1	110	NZ_JBAWKJ010000001.1	2770	4981	0	99.134	JNFD01000035.31875.34647	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingopyxis;Sphingopyxis sp. LC81	769661	769661	t	f	f	2378061	2378061	Contig	ASM3709575v1	na	PRJNA224116	SAMN40179819	6	2378061	none	2024-03-10	GCA_037095755.1	none	full	na	none	none	0	0	Sphingopyxis sp. CCNWLW2	none	na	3	none	none	none	none	none	2024/03/10	0	3126382	1	CCNWLW2	Northwest A&F University	3126382	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;x__unclassified Sphingopyxis;s__Sphingopyxis sp. CCNWLW2	0	4617968	11	45	na	4617968	0	JBAWKJ000000000.1	4259	6	2378061	1	none	none	none	none	none	none	1486	NZ_JBAWKJ010000001.1	1484	2680	0	99.259	CP000356.2851569.2853052	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingopyxis;Sphingopyxis alaskensis RB2256	0	19	46	0
RS_GCF_001625325.1	0	99.6	0.91	General	98.09	0.85	569	o__Sphingomonadales (UID3310)	293	0	3361074	91.6213181566775	25	2200742	59.9912060736427	3668441	RS_GCF_001625325.1	t	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Caenibius	Caenibius estronivorus	type strain of species	LPSN	f	4	4	639726	639726	48000	1	2768	NZ_JRQQ01000016.1	48000	1	110	NZ_JRQQ01000016.1	2765	5107	0	100	JRQQ01000016.2555.5329	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Croceibacterium;Altererythrobacter sp. MH-B5	146737	146737	t	f	f	339753	339753	Contig	ASM162532v1	na	PRJNA224116	SAMN03084318	25	339753	China	2016-04-21	GCA_001625325.1	none	full	na	lagoon	none	0	0	Croceicoccus estronivorus	3426	representative genome	3	none	none	none	none	none	2016/04/21	0	1172626	1	MH-B5	institue of urban environment	1172626	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Croceicoccus;s__Croceicoccus estronivorus	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Croceicoccus;s__Croceicoccus estronivorus	0	3668441	11	46	assembly from type material	3668441	0	JRQQ00000000.1	3475	25	48000	1	none	none	none	none	none	none	1486	NZ_JRQQ01000016.1	1469	2713	0	100	JRQQ01000016.5937.7405	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Altericroceibacterium;Altererythrobacter sp. MH-B5	0	19	46	0
RS_GCF_013328205.1	0	100	0.06	Specific	99.16	0.76	569	o__Sphingomonadales (UID3310)	293	25	3187589	89.5867545149761	37	2387990	67.1160198572064	3558103	RS_GCF_013328205.1	t	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas hominis	type strain of species	LPSN	f	4	3	676735	1024905	5935	2	2777	NZ_JABULH010000022.1	5935	1	110	NZ_JABULH010000022.1	2780	4748	0	97.626	AORY01000018.2718.5500	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas sp. Mn802worker	96162	98836	t	f	f	393935	393935	Scaffold	ASM1332820v1	na	PRJNA224116	SAMN15080057	37	393935	China: Nanjing	2020-06-10	GCA_013328205.1	none	full	na	hair of a 22-year-old girl	none	0	0	Sphingomonas hominis	none	representative genome	5	36	3	393935	331755	49895	2020/06/10	1	2741495	2	HHU CXW	Hohai University	2741495	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas hominis	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas hominis	100	3558103	11	46	assembly from type material	3558003	0	JABULH000000000.1	3431	36	5935	2	none	none	none	none	none	none	1484	NZ_JABULH010000022.1	1447	2662	0	99.862	AB495350.1.1447	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas sp. S23328a	100	19	46	0
RS_GCF_007570835.1	0	100	0.16	Specific	99.52	0.97	569	o__Sphingomonadales (UID3310)	293	0	3240489	91.3200691222422	9	2236176	63.0175713879909	3548496	RS_GCF_007570835.1	t	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Croceicoccus	Croceicoccus sediminis	type strain of species	LPSN	f	2	2	1712580	1712580	5937	1	2769	NZ_SUNC01000008.1	5937	1	110	NZ_SUNC01000008.1	2765	4935	0	98.915	LYWY01000033.116214.119002	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Croceicoccus;Croceicoccus pelagius	394277	394277	t	f	f	574689	574689	Contig	ASM757083v1	na	PRJNA224116	SAMN11474611	9	574689	China: Quanzhou Bay; Fujian	2019-07-26	GCA_007570835.1	none	full	na	coastal sediment	24.85 N 118.67 E	0	0	Croceicoccus sediminis	none	representative genome	3	none	none	none	none	none	2019/07/26	0	2571150	1	S2-4-2	Third Institute of Oceanography, SOA	2571150	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Croceicoccus;s__Croceicoccus sediminis	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Croceicoccus;s__Croceicoccus sediminis	0	3548496	11	45	assembly from type material	3548496	0	SUNC00000000.1	3259	9	5937	1	none	none	none	none	none	none	1486	NZ_SUNC01000008.1	1478	2595	0	98.376	KT383844.1.1477	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Croceicoccus;Croceicoccus pelagius	0	19	45	0
RS_GCF_040545665.1	0	100	0.5	Specific	99.66	1.93	569	o__Sphingomonadales (UID3310)	293	0	4276821	89.844952674496	14	3199056	67.2038962872336	4760224	RS_GCF_040545665.1	t	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas trueperi_B	not type material	none	f	3	3	1516742	1516742	3128	1	2774	NZ_JBEPMH010000012.1	3128	1	110	NZ_JBEPMH010000012.1	2778	4939	0	98.812	LXVY01000047.137.2938	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas sp. TDK1	340016	340016	t	f	f	587173	587173	Contig	ASM4054566v1	na	PRJNA224116	SAMN41513375	14	587173	none	2024-07-08	GCA_040545665.1	none	full	na	none	none	0	1	Sphingomonas trueperi	none	na	3	none	none	none	none	none	2024/07/08	0	53317	1	1770	DOE Joint Genome Institute	53317	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas trueperi	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas trueperi	0	4760224	11	55	na	4760224	0	JBEPMH000000000.1	4356	14	2023	1	none	none	none	none	none	none	1486	NZ_JBEPMH010000013.1	1461	2689	0	99.863	X97776.1.1461	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas trueperi	0	19	56	0
RS_GCF_000226955.1	0	100	0.13	Specific	99.66	0.09	569	o__Sphingomonadales (UID3310)	293	0	3745421	90.8115579814508	127	2778083	67.3574600643781	4124388	RS_GCF_000226955.1	t	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas elodea	not type material	none	f	20	20	168407	168407	5732	1	2772	NZ_AGFU01000013.1	5732	1	110	NZ_AGFU01000013.1	2769	5114	0	100	AGFU01000013.457.3234	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas elodea ATCC 31461	32475	32475	t	f	f	65505	65505	Contig	ASM22695v2	na	PRJNA224116	SAMN02470957	127	65505	none	2011-09-30	GCA_000226955.2	none	full	na	none	none	0	1	Sphingomonas elodea ATCC 31461	3828	representative genome	3	none	none	none	none	none	2011/09/30	0	179878	1	ATCC 31461	Shanghai Jiao Tong University	1081640	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas elodea	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas elodea;x__Sphingomonas elodea ATCC 31461	0	4124388	11	46	na	4124388	0	AGFU00000000.1	3866	127	5732	1	1462	2632	0	99.179	6241	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__azotifigens	1486	NZ_AGFU01000013.1	1470	2715	0	100	AGFU01000013.3986.5455	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas elodea ATCC 31461	0	19	46	0
RS_GCF_040049295.1	0	100	0.34	Specific	99.64	0.8	569	o__Sphingomonadales (UID3310)	293	0	4132920	91.3268122414327	7	3059522	67.6075005667985	4525418	RS_GCF_040049295.1	t	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp040049295	not type material	none	f	1	1	2484823	2484823	5761	1	2768	NZ_JBDZDQ010000005.1	5761	1	110	NZ_JBDZDQ010000005.1	2770	4586	0	96.57	NFUR01000005.251444.254243	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas sp. IBVSS2	646488	646488	t	f	f	2484823	2484823	Contig	ASM4004929v1	na	PRJNA224116	SAMN41518105	7	2484823	none	2024-06-03	GCA_040049295.1	none	full	na	none	none	0	0	Sphingomonas sp. KR3-1	none	na	3	none	none	none	none	none	2024/06/03	0	3156611	1	KR3-1	Kyonggi university	3156611	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;x__unclassified Sphingomonas;s__Sphingomonas sp. KR3-1	0	4525418	11	49	na	4525418	0	JBDZDQ000000000.1	4168	7	5761	1	none	none	none	none	none	none	1484	NZ_JBDZDQ010000005.1	1454	2603	0	98.968	MH686069.1.1458	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas sp.	0	19	49	0
GB_GCA_041396805.1	0	97.89	0.34	Specific	96.06	0.28	569	o__Sphingomonadales (UID3310)	293	0	2840794	92.1476168496075	6	1934063	62.7357338430743	3082873	GB_GCA_041396805.1	t	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Qipengyuania	Qipengyuania sp041396805	not type material	none	f	1	1	1650773	1650773	1333502	1	2768	JAWKXV010000002.1	1333502	1	110	JAWKXV010000002.1	2772	4671	0	97.114	FOWZ01000003.37417.40208	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Erythrobacter;Erythrobacter nanhaisediminis	513812	513812	t	f	f	1650773	1650773	Contig	ASM4139680v1	na	PRJNA974210	SAMN37790388	6	1650773	none	2024-08-20	GCA_041396805.1	derived from metagenome	full	BC3.94	none	none	0	1	Erythrobacter sp.	none	na	3	none	none	none	none	none	2024/08/20	0	1042	1	BC3.94	The University of Hong Kong	1042	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Erythrobacter;s__	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;x__Erythrobacter/Porphyrobacter group;g__Erythrobacter;x__unclassified Erythrobacter;s__Erythrobacter sp.	0	3082873	11	44	na	3082873	0	JAWKXV000000000.1	2995	6	1333502	1	none	none	none	none	none	none	1481	JAWKXV010000002.1	1450	2556	0	98.552	GU227429.1.1448	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Erythrobacter;Erythrobacter sp. CJ012	0	18	43	0
RS_GCF_030271515.1	0	100	0.11	Specific	99.59	0.46	569	o__Sphingomonadales (UID3310)	293	0	3275764	92.0179622114891	7	2411814	67.749144783672	3559918	RS_GCF_030271515.1	t	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Erythrobacter	Erythrobacter oryzae	type strain of species	LPSN	f	2	2	975920	975920	669175	1	2766	NZ_JASCXI010000004.1	669175	1	110	NZ_JASCXI010000004.1	2766	5020	0	99.422	CP017113.2917351.2920137	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Erythrobacter;Porphyrobacter sp. LM 6	508559	508559	t	f	f	880413	880413	Contig	ASM3027151v1	na	PRJNA224116	SAMN32648605	7	880413	South Korea	2023-06-13	GCA_030271515.1	none	full	na	paddy soil	none	0	1	Erythrobacter oryzae	none	representative genome	3	none	none	none	none	none	2023/06/13	0	3019556	1	COR-2	Mokwon University, Korea	3019556	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Erythrobacter;s__Erythrobacter oryzae	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;x__Erythrobacter/Porphyrobacter group;g__Erythrobacter;s__Erythrobacter oryzae	0	3559918	11	44	assembly from type material	3559918	0	JASCXI000000000.1	3363	7	669175	1	none	none	none	none	none	none	1482	NZ_JASCXI010000004.1	1482	2704	0	99.595	CP022600.3243888.3245378	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Erythrobacter;Porphyrobacter HT-58-2	0	19	44	0
RS_GCF_039652585.1	0	99.99	0.02	Specific	99.66	1.38	569	o__Sphingomonadales (UID3310)	293	0	4330061	90.7774169094352	28	3188629	66.848044619186	4769976	RS_GCF_039652585.1	t	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp039652585	not type material	none	f	5	5	709796	709796	5836	1	2770	NZ_JBDIZK010000024.1	5836	1	110	NZ_JBDIZK010000024.1	2775	4516	0	96.108	ALBQ01000051.2682.5475	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas sp. ATCC 31555	170355	176665	t	f	f	331625	331625	Scaffold	ASM3965258v1	na	PRJNA224116	SAMN38607384	28	331625	none	2024-05-15	GCA_039652585.1	none	full	na	none	none	0	0	Sphingomonas sp. HF-S3	none	na	3	27	5	331625	222470	116330	2024/05/15	1	3103142	1	HF-S3	Dongguk university	3103142	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;x__unclassified Sphingomonas;s__Sphingomonas sp. HF-S3	10	4769976	11	50	na	4769966	0	JBDIZK000000000.1	4460	27	5836	1	none	none	none	none	none	none	1486	NZ_JBDIZK010000024.1	1424	2606	0	99.719	JQ659583.1.1424	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Caulobacter sp. R2-61	10	19	50	0
RS_GCF_000756375.1	0	100	0.17	Specific	99.3	1.64	569	o__Sphingomonadales (UID3310)	293	0	4014372	91.2919548176263	48	2855271	64.9325152537131	4397290	RS_GCF_000756375.1	t	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis sp000756375	not type material	none	f	8	8	494528	494528	292346	1	2773	NZ_JNFD01000035.1	292346	1	110	NZ_JNFD01000035.1	2769	5114	0	100	JNFD01000035.31875.34647	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingopyxis;Sphingopyxis sp. LC81	91610	91610	t	f	f	193137	193137	Contig	ASM75637v1	na	PRJNA224116	SAMN02799681	48	193137	USA: Lechuguilla Cave; New Mexico	2014-09-22	GCA_000756375.1	none	full	na	cave surface layer	none	0	0	Sphingopyxis sp. LC81	4123	na	3	none	none	none	none	none	2014/09/22	0	1502850	1	LC81	Monash University Malaysia	1502850	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;x__unclassified Sphingopyxis;s__Sphingopyxis sp. LC81	0	4397290	11	44	na	4397290	0	JNFD00000000.1	4141	48	292346	1	1483	2678	0	99.258	133194	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__alaskensis	1486	NZ_JNFD01000035.1	1484	2680	0	99.259	CP000356.2851569.2853052	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingopyxis;Sphingopyxis alaskensis RB2256	0	19	45	0
RS_GCF_000367345.1	0	99.99	0.54	Specific	99.66	0.85	569	o__Sphingomonadales (UID3310)	293	16.67	4067036	90.6521458089078	138	2823026	62.9238011599449	4486420	RS_GCF_000367345.1	t	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium xenophagum	type strain of species	LPSN	f	14	14	261932	261932	5820	1	2777	NZ_BARE01000094.1	5820	1	110	NZ_BARE01000094.1	2777	5129	0	100	CP022746.287864.290662	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;Sphingobium hydrophobicum	32510	32510	t	f	f	88845	88845	Contig	ASM36734v1	na	PRJNA224116	SAMD00041805	138	88845	none	2013-04-12	GCA_000367345.1	none	full	na	none	none	0	0	Sphingobium xenophagum NBRC 107872	4271	na	3	none	none	none	none	none	2013/04/12	0	121428	1	NBRC 107872	National Institute of Technology and Evaluation	1219037	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium xenophagum	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium xenophagum;x__Sphingobium xenophagum NBRC 107872	0	4486420	11	48	assembly from type material	4486420	0	BARE00000000.1	4332	138	5820	1	1481	2730	0	99.932	105198	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__	1486	NZ_BARE01000094.1	1486	2745	0	100	CP022745.934335.935832	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;Sphingobium hydrophobicum	0	19	48	0
GB_GCA_035941735.1	0	99.86	0.44	Specific	99.13	0.58	349	c__Alphaproteobacteria (UID3305)	230	33.33	2995740	91.0359489498049	61	2266684	68.8810540665544	3290722	GB_GCA_035941735.1	t	d__Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Allosphingosinicella	Allosphingosinicella sp035941735	not type material	none	f	8	8	315088	315088	2628	6	2628	DASZDS010000005.1	1520	2	110	DASZDS010000029.1	1281	1495	0	88.212	GU260713.3769.6708	Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Incertae Sedis;uncultured bacterium 253	53946	53946	t	f	f	129229	129229	Contig	ASM3594173v1	na	PRJNA983538	SAMN37955921	61	129229	none	2024-01-22	GCA_035941735.1	derived from metagenome	full	SMAG_U6474	none	none	0	0	Allosphingosinicella sp.	none	na	11	none	none	none	none	none	2024/01/22	0	2823234	3	SMAG_U6474	Zhejiang University	2823234	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Allosphingosinicella;s__	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Allosphingosinicella;x__unclassified Allosphingosinicella;s__Allosphingosinicella sp.	0	3290722	11	47	na	3290722	0	DASZDS000000000.1	3280	61	35360	3	none	none	none	none	none	none	1488	DASZDS010000008.1	1445	2556	0	98.616	JQ428186.1.1443	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Incertae Sedis;uncultured bacterium	0	19	48	0
