genome_id	record_id	region	start	end	contig_edge	product	KCB_hit	KCB_acc	KCB_%	record_desc	Category	n_Category	Domain	Phylum	Class	Order	Family	Genus	Species	shared_name
GCA_004522175.1_ASM452217v1_genomic	SDEB01000011.1	1	51749	73879	FALSE	Uncharacterised				SDEB01000011.1 Paracoccus sp. YJ057 YJ057_11, whole genome shotgun sequence	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Paracoccus	s__Paracoccus ravus	GCA_004522175.1_ASM452217v1_genomic_SDEB01000011.1.region001.gbk_region_1
GCA_004522175.1_ASM452217v1_genomic	SDEB01000011.1	2	74652	91687	FALSE	cellulose-type-3				SDEB01000011.1 Paracoccus sp. YJ057 YJ057_11, whole genome shotgun sequence	Synthase	2	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Paracoccus	s__Paracoccus ravus	GCA_004522175.1_ASM452217v1_genomic_SDEB01000011.1.region002.gbk_region_1
OceanDNA-b4030	OceanDNA-b4030_00039	1	14119	38539	TRUE	Uncharacterised				OceanDNA-b4030_00039 megahit:Arc_Ant_N10_N0000470	Uncharacterised	1	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Cyclobacteriaceae	g__ELB16-189	s__	OceanDNA-b4030_OceanDNA-b4030_00039.region001.gbk_region_1
GCA_003279605.1_ASM327960v1_genomic	QCHF01000001.1	1	585644	635754	TRUE	Uncharacterised				QCHF01000001.1 SAR86 cluster bacterium AG-390-O18 Ga0172199_11, whole genome shotgun sequence	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__SAR86	f__AG-339-G14	g__MEDG-81	s__MEDG-81 sp003279605	GCA_003279605.1_ASM327960v1_genomic_QCHF01000001.1.region001.gbk_region_1
OceanDNA-b32047	OceanDNA-b32047_00003	1	86405	119617	FALSE	Uncharacterised				OceanDNA-b32047_00003 megahit:Arc_Ant_S08_N0000040	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingobium	s__	OceanDNA-b32047_OceanDNA-b32047_00003.region001.gbk_region_1
OceanDNA-b32047	OceanDNA-b32047_00012	1	92107	117753	TRUE	Uncharacterised				OceanDNA-b32047_00012 megahit:Arc_Ant_S08_N0000121	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingobium	s__	OceanDNA-b32047_OceanDNA-b32047_00012.region001.gbk_region_1
GOMC.bin.2053	SRR4453772_k53_2160234_1	1	0	9572	TRUE	Uncharacterised				SRR4453772_k53_2160234_1	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Devosiaceae	g__DROE01	s__DROE01 sp011322005	GOMC.bin.2053_SRR4453772_k53_2160234_1.region001.gbk_region_1
GOMC.bin.9752	k63_8374	1	226653	277028	TRUE	Uncharacterised				k63_8374	Uncharacterised	1	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__Aggregatilineales	f__Phototrophicaceae	g__UBA6055	s__UBA6055 sp002428985	GOMC.bin.9752_k63_8374.region001.gbk_region_1
OceanDNA-b6846	OceanDNA-b6846_00029	1	0	25663	TRUE	Uncharacterised				OceanDNA-b6846_00029 megahit:ERS490643_N0000822	Uncharacterised	1	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__Flavobacterium sp002715085	OceanDNA-b6846_OceanDNA-b6846_00029.region001.gbk_region_1
GOMC.bin.11735	k63_98720	1	13572	51537	TRUE	Uncharacterised				k63_98720	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Pseudocolwellia	s__	GOMC.bin.11735_k63_98720.region001.gbk_region_1
GOMC.bin.11735	k63_28800	1	0	42452	TRUE	Uncharacterised				k63_28800	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Pseudocolwellia	s__	GOMC.bin.11735_k63_28800.region001.gbk_region_1
OceanDNA-b41030	OceanDNA-b41030_00011	1	7915	30101	TRUE	pel				OceanDNA-b41030_00011 megahit:Arc_Ant_S14_N0000075	Synthase	2	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Halopseudomonas	s__Halopseudomonas sp016763285	OceanDNA-b41030_OceanDNA-b41030_00011.region001.gbk_region_1
OceanDNA-b41030	OceanDNA-b41030_00033	1	0	30417	TRUE	Uncharacterised				OceanDNA-b41030_00033 megahit:Arc_Ant_S14_N0000803	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Halopseudomonas	s__Halopseudomonas sp016763285	OceanDNA-b41030_OceanDNA-b41030_00033.region001.gbk_region_1
OceanDNA-b37054	OceanDNA-b37054_00076	1	0	28990	TRUE	Uncharacterised				OceanDNA-b37054_00076 megahit:SRR6869053_N0000996	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Azotimanducaceae_A	g__UBA4421	s__	OceanDNA-b37054_OceanDNA-b37054_00076.region001.gbk_region_1
GCA_001509585.1_ASM150958v1_genomic	LNCI01000003.1	1	375777	402777	FALSE	Uncharacterised				LNCI01000003.1 Pseudoruegeria marinistellae strain SF-16 contig3, whole genome shotgun sequence	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Tropicimonas	s__Tropicimonas marinistellae	GCA_001509585.1_ASM150958v1_genomic_LNCI01000003.1.region001.gbk_region_1
GCA_001509585.1_ASM150958v1_genomic	LNCI01000005.1	1	321360	345024	FALSE	Uncharacterised				LNCI01000005.1 Pseudoruegeria marinistellae strain SF-16 contig5, whole genome shotgun sequence	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Tropicimonas	s__Tropicimonas marinistellae	GCA_001509585.1_ASM150958v1_genomic_LNCI01000005.1.region001.gbk_region_1
GCA_001509585.1_ASM150958v1_genomic	LNCI01000007.1	1	318730	344644	FALSE	alginate				LNCI01000007.1 Pseudoruegeria marinistellae strain SF-16 contig7, whole genome shotgun sequence	Synthase	2	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Tropicimonas	s__Tropicimonas marinistellae	GCA_001509585.1_ASM150958v1_genomic_LNCI01000007.1.region001.gbk_region_1
GCA_001509585.1_ASM150958v1_genomic	LNCI01000009.1	1	19401	67205	TRUE	Uncharacterised				LNCI01000009.1 Pseudoruegeria marinistellae strain SF-16 contig9, whole genome shotgun sequence	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Tropicimonas	s__Tropicimonas marinistellae	GCA_001509585.1_ASM150958v1_genomic_LNCI01000009.1.region001.gbk_region_1
GOMC.bin.6859	k141_3437	1	41705	57804	TRUE	cellulose-generic				k141_3437	Synthase	2	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Alteromonas	s__	GOMC.bin.6859_k141_3437.region001.gbk_region_1
GCA_003626995.1_ASM362699v1_genomic	CP032618.1	1	174068	189882	FALSE	PNAG-pga				CP032618.1 Pseudomonas fluorescens strain PF08 chromosome, complete genome	Synthase	2	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E shahriarae	GCA_003626995.1_ASM362699v1_genomic_CP032618.1.region001.gbk_region_1
GCA_003626995.1_ASM362699v1_genomic	CP032618.1	2	2197479	2222626	FALSE	psl				CP032618.1 Pseudomonas fluorescens strain PF08 chromosome, complete genome	Wzx/Wzy	3	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E shahriarae	GCA_003626995.1_ASM362699v1_genomic_CP032618.1.region002.gbk_region_1
GCA_003626995.1_ASM362699v1_genomic	CP032618.1	3	4891805	4918271	FALSE	alginate				CP032618.1 Pseudomonas fluorescens strain PF08 chromosome, complete genome	Synthase	2	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E shahriarae	GCA_003626995.1_ASM362699v1_genomic_CP032618.1.region003.gbk_region_1
GCA_008367275.1_ASM836727v1_genomic	VTZT01000001.1	1	398983	433125	FALSE	Uncharacterised				VTZT01000001.1 Flavobacteriaceae bacterium MT2-5-19 NODE_1_length_2168372_cov_93.3826, whole genome shotgun sequence	Uncharacterised	1	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Pareuzebyella	s__Pareuzebyella sediminis	GCA_008367275.1_ASM836727v1_genomic_VTZT01000001.1.region001.gbk_region_1
GCA_008367275.1_ASM836727v1_genomic	VTZT01000003.1	1	492758	512946	TRUE	Uncharacterised				VTZT01000003.1 Flavobacteriaceae bacterium MT2-5-19 NODE_3_length_512946_cov_93.645, whole genome shotgun sequence	Uncharacterised	1	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Pareuzebyella	s__Pareuzebyella sediminis	GCA_008367275.1_ASM836727v1_genomic_VTZT01000003.1.region001.gbk_region_1
GCA_008367275.1_ASM836727v1_genomic	VTZT01000004.1	1	128812	158495	FALSE	Uncharacterised				VTZT01000004.1 Flavobacteriaceae bacterium MT2-5-19 NODE_4_length_406983_cov_88.8399, whole genome shotgun sequence	Uncharacterised	1	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Pareuzebyella	s__Pareuzebyella sediminis	GCA_008367275.1_ASM836727v1_genomic_VTZT01000004.1.region001.gbk_region_1
GCA_008367275.1_ASM836727v1_genomic	VTZT01000004.1	2	303716	359152	FALSE	Uncharacterised				VTZT01000004.1 Flavobacteriaceae bacterium MT2-5-19 NODE_4_length_406983_cov_88.8399, whole genome shotgun sequence	Uncharacterised	1	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Pareuzebyella	s__Pareuzebyella sediminis	GCA_008367275.1_ASM836727v1_genomic_VTZT01000004.1.region002.gbk_region_1
GCA_001433455.1_ASM143345v1_genomic	CP013050.1	1	1955036	1993353	FALSE	Uncharacterised				CP013050.1 Thermococcus barophilus strain CH5, complete genome	Uncharacterised	1	d__Archaea	p__Methanobacteriota_B	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Thermococcus_B	s__Thermococcus_B barophilus	GCA_001433455.1_ASM143345v1_genomic_CP013050.1.region001.gbk_region_1
GOMC.bin.8221	k63_795305	1	46142	81394	TRUE	Uncharacterised				k63_795305	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Croceicoccus	s__Croceicoccus marinus	GOMC.bin.8221_k63_795305.region001.gbk_region_1
GOMC.bin.8221	k63_1418548	1	69361	87425	TRUE	Uncharacterised				k63_1418548	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Croceicoccus	s__Croceicoccus marinus	GOMC.bin.8221_k63_1418548.region001.gbk_region_1
GCA_002836245.1_ASM283624v1_genomic	PJBA01000006.1	1	1865279	1899624	FALSE	Uncharacterised				PJBA01000006.1 Colwellia sp. Bg11-28 contig10, whole genome shotgun sequence	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Colwellia	s__Colwellia psychrerythraea_A	GCA_002836245.1_ASM283624v1_genomic_PJBA01000006.1.region001.gbk_region_1
GCA_002836245.1_ASM283624v1_genomic	PJBA01000018.1	1	121231	156187	FALSE	Uncharacterised				PJBA01000018.1 Colwellia sp. Bg11-28 contig3, whole genome shotgun sequence	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Colwellia	s__Colwellia psychrerythraea_A	GCA_002836245.1_ASM283624v1_genomic_PJBA01000018.1.region001.gbk_region_1
GCA_002836245.1_ASM283624v1_genomic	PJBA01000018.1	2	1340755	1397958	FALSE	Uncharacterised				PJBA01000018.1 Colwellia sp. Bg11-28 contig3, whole genome shotgun sequence	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Colwellia	s__Colwellia psychrerythraea_A	GCA_002836245.1_ASM283624v1_genomic_PJBA01000018.1.region002.gbk_region_1
GOMC.bin.8753	k63_32849662	1	0	13762	TRUE	Uncharacterised				k63_32849662	Uncharacterised	1	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__Anaerolineales	f__Villigracilaceae	g__Villigracilis	s__Villigracilis sp014379595	GOMC.bin.8753_k63_32849662.region001.gbk_region_1
GOMC.bin.3359	SRR7648333_k53_42135_1	1	1247	36234	TRUE	Uncharacterised				SRR7648333_k53_42135_1	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Vibrio	s__Vibrio neptunius	GOMC.bin.3359_SRR7648333_k53_42135_1.region001.gbk_region_1
MARD_SAMEA4644770_REFG_MMP4644770	MARD_MMP4644770_REFG-scaffold_11	1	9342	62378	TRUE	Uncharacterised				MARD_MMP4644770_REFG-scaffold_11	Uncharacterised	1	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Aequorivita	s__Aequorivita lipolytica	MARD_SAMEA4644770_REFG_MMP4644770_MARD_MMP4644770_REFG-scaffold_11.region001.gbk_region_1
MARD_SAMEA4644770_REFG_MMP4644770	MARD_MMP4644770_REFG-scaffold_14	1	1049	34344	TRUE	Uncharacterised				MARD_MMP4644770_REFG-scaffold_14	Uncharacterised	1	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Aequorivita	s__Aequorivita lipolytica	MARD_SAMEA4644770_REFG_MMP4644770_MARD_MMP4644770_REFG-scaffold_14.region001.gbk_region_1
TARA_SAMEA2622097_METAG_CGPDAOLO	TARA_SAMEA2622097_METAG-scaffold_278	1	20905	65952	TRUE	Uncharacterised				TARA_SAMEA2622097_METAG-scaffold_278	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__TMED127	f__TMED127	g__GCA-2691245	s__	TARA_SAMEA2622097_METAG_CGPDAOLO_TARA_SAMEA2622097_METAG-scaffold_278.region001.gbk_region_1
GCA_001913155.1_ASM191315v1_genomic	CP018760.1	1	2818147	2865076	FALSE	Uncharacterised				CP018760.1 Maribacter sp. T28 chromosome, complete genome	Uncharacterised	1	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Maribacter	s__Maribacter hydrothermalis	GCA_001913155.1_ASM191315v1_genomic_CP018760.1.region001.gbk_region_1
GCA_003209315.1_ASM320931v1_genomic	CP029789.1	1	267933	299115	FALSE	Uncharacterised				CP029789.1 Psychrobacter sp. YP14 chromosome, complete genome	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Psychrobacter	s__Psychrobacter sanguinis_A	GCA_003209315.1_ASM320931v1_genomic_CP029789.1.region001.gbk_region_1
GOMC.bin.11810	k63_115557	1	0	9383	TRUE	Uncharacterised				k63_115557	Uncharacterised	1	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Anaerosomatales	f__JAAXUF01	g__	s__	GOMC.bin.11810_k63_115557.region001.gbk_region_1
GCA_001077885.1_CAIM1393T.ver1_genomic	LELC01000003.1	1	21225	43289	FALSE	pel				LELC01000003.1 Photobacterium swingsii strain CAIM 1393 CAIM1393T_03, whole genome shotgun sequence	Synthase	2	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Photobacterium	s__Photobacterium swingsii	GCA_001077885.1_CAIM1393T.ver1_genomic_LELC01000003.1.region001.gbk_region_1
GCA_001077885.1_CAIM1393T.ver1_genomic	LELC01000023.1	1	5043	35984	TRUE	Uncharacterised				LELC01000023.1 Photobacterium swingsii strain CAIM 1393 CAIM1393T_23, whole genome shotgun sequence	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Photobacterium	s__Photobacterium swingsii	GCA_001077885.1_CAIM1393T.ver1_genomic_LELC01000023.1.region001.gbk_region_1
GCA_001077885.1_CAIM1393T.ver1_genomic	LELC01000036.1	1	12604	32977	TRUE	Uncharacterised				LELC01000036.1 Photobacterium swingsii strain CAIM 1393 CAIM1393T_36, whole genome shotgun sequence	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Photobacterium	s__Photobacterium swingsii	GCA_001077885.1_CAIM1393T.ver1_genomic_LELC01000036.1.region001.gbk_region_1
GOMC.bin.4553	k141_4726	1	116882	164432	FALSE	Uncharacterised				k141_4726	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Vibrio	s__Vibrio sp001874155	GOMC.bin.4553_k141_4726.region001.gbk_region_1
GOMC.bin.4553	k141_24143	1	388852	423748	FALSE	Uncharacterised				k141_24143	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Vibrio	s__Vibrio sp001874155	GOMC.bin.4553_k141_24143.region001.gbk_region_1
GOMC.bin.4553	k141_28274	1	762976	791612	FALSE	Uncharacterised				k141_28274	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Vibrio	s__Vibrio sp001874155	GOMC.bin.4553_k141_28274.region001.gbk_region_1
MARD_SAMN05725119_REFG_MMP05725119	MARD_MMP05725119_REFG-scaffold_395	1	0	6236	TRUE	fructansucrase				MARD_MMP05725119_REFG-scaffold_395	Sucrase	4	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haladaptataceae	g__Haladaptatus	s__Haladaptatus paucihalophilus	MARD_SAMN05725119_REFG_MMP05725119_MARD_MMP05725119_REFG-scaffold_395.region001.gbk_region_1
OceanDNA-b35935	OceanDNA-b35935_00010	1	7249	45494	TRUE	Uncharacterised				OceanDNA-b35935_00010 megahit:Arc_Ant_N26_N0000116	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Immundisolibacterales	f__Immundisolibacteraceae	g__Immundisolibacter	s__	OceanDNA-b35935_OceanDNA-b35935_00010.region001.gbk_region_1
OceanDNA-b35935	OceanDNA-b35935_00025	1	7929	37147	TRUE	Uncharacterised				OceanDNA-b35935_00025 megahit:Arc_Ant_N26_N0000266	Uncharacterised	1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Immundisolibacterales	f__Immundisolibacteraceae	g__Immundisolibacter	s__	OceanDNA-b35935_OceanDNA-b35935_00025.region001.gbk_region_1
GCA_001592825.1_ASM159282v1_genomic	LTZG01000001.1	1	818531	843180	FALSE	lactobacillus_eps				LTZG01000001.1 Planococcus maritimus strain MKU009 contig_1, whole genome shotgun sequence	Wzx/Wzy	3	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Planococcus	s__Planococcus maritimus_C	GCA_001592825.1_ASM159282v1_genomic_LTZG01000001.1.region001.gbk_region_1
TARA_SAMEA4398027_METAG_DLDFCDCP	TARA_SAMEA4398027_METAG-scaffold_344	1	25155	42304	FALSE	cellulose-type-3				TARA_SAMEA4398027_METAG-scaffold_344	Synthase	2	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Pseudooceanicola	s__Pseudooceanicola antarcticus_A	TARA_SAMEA4398027_METAG_DLDFCDCP_TARA_SAMEA4398027_METAG-scaffold_344.region001.gbk_region_1
