Bin_id,Contig_num,Genome_size (bp),N50 (bp),GC (%),Completeness (%),Contamination (%),Group,Estimated_genome_size (bp),Gene_number,Gene_length (bp),Average_gene_length (bp),Gene_GC (%),Coding_density (%),WD40,BGC,ARG,Cas,MGE,GTDB_taxonomy (v207)
OceanDNA-a1,83,536854,10029,32.97,69.78,0,OMD_OceanDNA,769352,629,450604,716.38,33.14,83.93,0,0,0,0,0,d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__GW2011-AR5;f__GCA-2688965;g__GCA-2688965;s__GCA-2688965 sp002688965
OceanDNA-a133,173,599812,3906,32.46,63.04,0.07,OceanDNA,950812,788,483609,613.72,32.65,80.63,0,0,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopelagicus;s__
OceanDNA-a158,66,1104758,25092,32.67,92.72,0,our_OMD_OceanDNA,1191499,1389,1009922,727.09,32.92,91.42,0,1,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopelagicus;s__Nitrosopelagicus sp018647405
OceanDNA-a190,306,868600,2960,33.15,74.36,1.12,OMD_OceanDNA,1155018,1085,653073,601.91,33.55,75.19,0,0,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopelagicus;s__
OceanDNA-a248,107,646299,7746,32.73,70.55,3.31,OceanDNA,885764,820,551796,672.92,33.03,85.38,0,0,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopelagicus;s__
OceanDNA-a255,142,666405,5654,33.93,74.43,1.46,OMD_OceanDNA,882273,848,552772,651.85,34.24,82.95,0,0,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopelagicus;s__
OceanDNA-a256,228,690690,3313,34.23,62.4,0.97,OMD_OceanDNA,1096138,857,542439,632.95,34.59,78.54,0,0,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopelagicus;s__
OceanDNA-a483,108,876021,11128,35.53,83.44,0,OceanDNA,1049881,1100,758300,689.36,35.89,86.56,0,0,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopelagicus;s__Nitrosopelagicus sp902578515
OceanDNA-a485,162,1099625,21631,38.12,92.23,1.94,OceanDNA,1169134,1355,916831,676.63,38.72,83.38,0,0,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__
OceanDNA-a494,229,1298408,8856,32.51,97.09,0.97,OceanDNA,1324352,1666,1071934,643.42,33.01,82.56,0,0,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__
OceanDNA-a506,309,1116882,4835,30.98,94.17,1.29,our_OceanDNA,1170728,1473,887670,602.63,31.39,79.48,0,0,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp003702465
OceanDNA-a520,225,568819,2864,31.7,66.14,0.97,OceanDNA,851680,675,423150,626.89,32.27,74.39,0,0,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__
OceanDNA-a549,209,1152309,8869,30.43,96.94,1.12,our_OceanDNA,1175369,1486,938968,631.88,31.09,81.49,0,0,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp018674605
OceanDNA-a605,257,1227939,7421,30.92,98.66,3.24,our_OMD_OceanDNA,1204291,1584,1002561,632.93,31.37,81.65,0,0,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__
OceanDNA-a611,397,619838,1525,32.88,56,1.19,OceanDNA,1093682,760,379840,499.79,33.31,61.28,0,0,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__
OceanDNA-a628,168,1121464,9723,30.71,94.17,2.27,our_OceanDNA,1163860,1450,945850,652.31,31.22,84.34,0,0,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp905616385
OceanDNA-a633,393,954262,2746,30.94,83.42,3.31,OceanDNA,1106061,1251,690511,551.97,31.42,72.36,0,0,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp905612295
OceanDNA-a640,353,1039962,3500,32.52,89,0,OceanDNA,1168497,1321,801993,607.11,33.11,77.12,0,0,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp014384445
OceanDNA-a684,188,1096051,8221,32.81,90.59,0,our_OceanDNA,1209903,1417,910751,642.73,33.44,83.09,0,0,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp018657375
OceanDNA-a710,285,1227331,7146,31.28,94.82,0.56,OMD_OceanDNA,1287131,1570,968749,617.04,31.95,78.93,0,1,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__
OceanDNA-a720,272,1254813,5728,31.63,88.92,3.88,OceanDNA,1356417,1590,1008802,634.47,32.01,80.39,0,0,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__
OceanDNA-a733,500,993234,2132,32.18,73.19,1.46,OceanDNA,1337249,1326,683510,515.47,32.74,68.82,0,0,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__
OceanDNA-a735,45,1485642,53717,31.97,94.66,0,our_OceanDNA,1569451,1891,1320244,698.17,32.51,88.87,0,0,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp013215285
OceanDNA-a752,140,1258014,15342,30.94,99.03,0,our_OMD_OceanDNA,1270336,1620,1084409,669.39,31.54,86.2,0,0,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp001437625
OceanDNA-a828,149,1105672,11696,31.33,96.12,0,our_OMD_OceanDNA,1150304,1415,958493,677.38,31.82,86.69,0,0,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp002690535
OceanDNA-a832,226,642437,2782,36.62,65.4,0,OceanDNA,982320,699,474388,678.67,37.53,73.84,0,0,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__UBA141;g__;s__
OceanDNA-a833,211,797291,4256,42.47,51.76,0,OceanDNA,1540361,789,607304,769.71,43.34,76.17,0,1,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__;g__;s__
OceanDNA-a839,96,1476431,23086,46.12,84.47,0,our_OceanDNA,1747876,1451,1278627,881.2,46.68,86.6,0,2,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__UBA141;g__UBA141;s__
OceanDNA-a857,352,901421,2812,28.06,78.27,0.07,OMD_OceanDNA,1150875,988,651533,659.45,28.66,72.28,0,0,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__UBA57;g__;s__
OceanDNA-a861,80,895950,17985,31.14,94.17,0.97,OceanDNA,942189,986,810168,821.67,31.57,90.43,0,0,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__UBA57;g__;s__
OceanDNA-a862,48,865271,30744,30.89,93.93,1.94,OMD_OceanDNA,903316,950,793481,835.24,31.26,91.7,0,0,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__UBA57;g__UBA57;s__
OceanDNA-a870,15,862077,91058,30.92,87.54,0.97,OceanDNA,975228,944,809265,857.27,31.22,93.87,0,0,1,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__UBA57;g__UBA57;s__
OceanDNA-a890,81,816981,15196,34.19,89.32,0.97,our_OMD_OceanDNA,905795,892,733244,822.02,34.6,89.75,0,0,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__UBA57;g__UBA57;s__
OceanDNA-a924,106,1012517,26280,34.61,100,0.97,our_OMD_OceanDNA,1002696,1125,904161,803.7,34.82,89.3,0,0,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__UBA57;g__UBA57;s__
OceanDNA-a956,83,873474,16827,31.32,94.17,0,our_OMD_OceanDNA,927550,949,781287,823.27,31.61,89.45,0,0,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__UBA57;g__UBA57;s__UBA57 sp002693165
OceanDNA-a972,108,862892,14511,31.59,91.75,0.97,OMD_OceanDNA,931359,916,765012,835.17,31.86,88.66,0,0,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__UBA57;g__UBA57;s__UBA57 sp002713205
OceanDNA-a983,173,1079980,7823,37.98,86.5,0.46,OMD_OceanDNA,1242789,1171,909118,776.36,38.4,84.18,0,0,0,0,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__;s__
OceanDNA-a985,18,1186945,135986,38.31,94.12,0,our_OceanDNA,1261098,1268,1091929,861.14,38.76,91.99,0,1,1,0,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__;s__
OceanDNA-a991,132,1011662,9720,41.67,85.51,0,our_OMD_OceanDNA,1183092,1066,877191,822.88,41.99,86.71,0,1,0,0,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__
OceanDNA-a996,90,1011870,20945,40.63,79.94,0.65,our_OMD_OceanDNA,1257559,1093,903079,826.24,40.9,89.25,0,0,0,0,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__UBA12382 sp009889685
OceanDNA-a997,305,920037,3634,40.87,75.01,2.01,OceanDNA,1201899,1003,696632,694.55,41.11,75.72,0,0,0,0,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__
OceanDNA-a998,169,811368,6069,40.96,69.63,1.31,OceanDNA,1149991,888,664676,748.51,41.21,81.92,0,1,0,0,0,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382;s__
OceanDNA-a1017,316,789243,2859,31.36,65.35,0,OceanDNA,1207717,862,518087,601.03,31.67,65.64,0,0,1,0,0,d__Archaea;p__Iainarchaeota;c__Iainarchaeia;o__Iainarchaeales;f__JAAZKV01;g__JABIDZ01;s__JABIDZ01 sp018691995
OceanDNA-a1020,83,971720,22721,34.29,72.9,0,OceanDNA,1332949,1065,832822,781.99,34.64,85.71,0,0,0,0,0,d__Archaea;p__Iainarchaeota;c__Iainarchaeia;o__Iainarchaeales;f__JAAZKV01;g__JABIDZ01;s__JABIDZ01 sp018651445
OceanDNA-a1023,269,681507,2930,41.31,67.3,1.25,OceanDNA,999982,748,486345,650.19,41.7,71.36,0,0,0,0,0,d__Archaea;p__Iainarchaeota;c__Iainarchaeia;o__Iainarchaeales;f__GCA-2688035;g__JAFCCZ01;s__
OceanDNA-a1024,17,960396,88745,41.23,90.12,2.8,OMD_OceanDNA,1035847,1102,883382,801.62,41.78,91.98,0,0,0,0,0,d__Archaea;p__Iainarchaeota;c__Iainarchaeia;o__Iainarchaeales;f__GCA-2688035;g__GCA-2688035;s__GCA-2688035 sp002688035
OceanDNA-a1026,304,863473,3370,32.04,59.89,0,OceanDNA,1441765,987,559955,567.33,32.43,64.85,0,0,1,0,0,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__JABIDS01;s__JABIDS01 sp018651605
OceanDNA-a1029,40,484624,25022,28.72,58.8,0,OMD_OceanDNA,824190,592,401400,678.04,29.18,82.83,0,0,0,0,0,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__;s__
OceanDNA-a1030,140,555761,4827,28.22,52.49,0,OMD_OceanDNA,1058794,702,431809,615.11,28.66,77.7,0,0,0,0,0,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__JAFCEE01;s__
OceanDNA-a1031,65,648950,16573,34.79,69.55,0,OMD_OceanDNA,933070,792,557689,704.15,35.29,85.94,0,0,0,0,0,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__JAFCDB01;s__
OceanDNA-a1037,143,511229,3982,33.89,56.67,0.93,OceanDNA,893726,590,374200,634.24,34.44,73.2,0,0,0,0,0,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__;s__
OceanDNA-a1040,59,736284,19663,34.97,64.73,0.93,OceanDNA,1126891,917,643567,701.82,35.55,87.41,0,0,0,0,0,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__JAGVXH01;s__
OceanDNA-a1041,122,420021,3920,40.61,59.87,0,OceanDNA,701555,540,329600,610.37,41.33,78.47,0,0,0,0,0,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__JAGVXH01;s__
OceanDNA-a1044,43,630489,22644,39.31,68.38,0,our_OceanDNA,922037,765,555793,726.53,39.75,88.15,0,0,0,0,0,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__JAGVXH01;s__JAGVXH01 sp018693315
OceanDNA-a1050,71,642487,12084,38.86,64.88,0,our_OceanDNA,990270,812,537833,662.36,39.49,83.71,0,0,0,0,0,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__JAGVXH01;s__JAGVXH01 sp018697035
OceanDNA-a1055,15,821724,118736,37.78,73.05,0.93,our_OceanDNA,1114417,974,755393,775.56,38.3,91.93,0,0,0,0,0,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__JAGVXH01;s__JAGVXH01 sp018694115
OceanDNA-a1060,41,528818,17670,30.13,70.25,0,OMD_OceanDNA,752766,621,473667,762.75,30.54,89.57,0,0,0,0,0,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__JAGVXH01;s__
OceanDNA-a1061,119,528717,5764,33.54,62.56,1.47,OMD_OceanDNA,832712,588,422125,717.9,33.77,79.84,0,0,1,0,0,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__JAGVXH01;s__
OceanDNA-a1065,138,667187,7499,34.86,65.5,0.47,OceanDNA,1013819,758,541812,714.79,35.35,81.21,0,1,0,0,0,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__JAGVXH01;s__JAGVXH01 sp018697295
OceanDNA-a1068,139,508786,4093,30.12,58.96,0,OceanDNA,862934,579,401629,693.66,30.77,78.94,0,1,0,0,0,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__ARS1285;s__
OceanDNA-a1070,97,723566,11246,30.48,67.14,1.01,OceanDNA,1066813,835,599377,717.82,31.03,82.84,0,0,0,0,0,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__ARS1285;s__
OceanDNA-a1071,101,619168,8370,30.42,64.88,0.93,OceanDNA,945453,738,524507,710.71,31.18,84.71,0,0,1,0,0,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__ARS1285;s__
OceanDNA-a1072,129,688799,6480,33.51,63.24,0,OceanDNA,1089182,827,535599,647.64,34.1,77.76,0,0,0,0,0,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__ARS1285;s__
OceanDNA-a1075,99,887773,15904,31.9,65.34,0,our_OceanDNA,1358698,1130,740481,655.29,32.6,83.41,0,0,1,0,0,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__ARS1285;s__
OceanDNA-a1084,81,502422,7654,33.17,61.68,0,our_OceanDNA,814562,649,400217,616.67,33.81,79.66,0,0,0,0,0,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__JABHWZ01;s__
OceanDNA-a1087,112,411028,4202,33.46,60.05,0,OceanDNA,684476,529,314747,594.98,34.01,76.58,0,0,0,0,0,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__;s__
OceanDNA-a1098,42,456544,18857,28.34,66.12,0.93,OceanDNA,684056,572,398971,697.5,28.82,87.39,0,0,0,0,0,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__BS150m-G67;s__
OceanDNA-a1100,85,550213,8620,28.63,62.38,0,OceanDNA,882034,674,467573,693.73,28.96,84.98,0,0,0,0,0,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__EX4484-71;s__
OceanDNA-a1108,10,639144,91781,31,70.33,0,our_OceanDNA,908779,741,590481,796.87,31.55,92.39,0,1,0,0,0,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__JABIDC01;s__JABIDC01 sp018651925
OceanDNA-a1114,58,875603,27732,31.13,68.46,0,our_OceanDNA,1278999,1111,752074,676.93,31.54,85.89,0,2,1,0,0,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__GW2011-AR1;s__
OceanDNA-a1119,126,795370,9705,32.49,66.82,0,our_OceanDNA,1190317,958,645678,673.99,32.84,81.18,0,0,0,0,0,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__GW2011-AR1;s__
OceanDNA-a1126,138,531823,4483,36.49,56.7,0.54,OMD_OceanDNA,932894,721,410273,569.03,37.14,77.14,0,0,1,0,0,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__PFCU01;s__
OceanDNA-a1128,116,361788,3432,32.51,55.53,0.54,OMD_OceanDNA,648000,417,272642,653.82,32.87,75.36,0,0,0,0,0,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__PSPM01;s__
OceanDNA-a1132,102,535573,6664,45.64,57.82,0,OceanDNA,926276,713,439861,616.92,45.96,82.13,0,0,0,0,0,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__ARS50;s__ARS50 sp002687255
OceanDNA-a1135,38,671453,22924,29.29,75.23,1.25,OceanDNA,881377,851,610641,717.56,29.56,90.94,0,0,0,0,0,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__PNOQ01;g__JABJPM01;s__JABJPM01 sp018693795
OceanDNA-a1146,159,620341,4706,36.03,66.61,2.34,OceanDNA,909511,729,481299,660.22,36.46,77.59,0,0,0,0,0,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__PNOQ01;g__JABIBT01;s__
OceanDNA-a1147,115,512490,5597,27.8,65.09,1.87,OMD_OceanDNA,772632,624,411290,659.12,28.36,80.25,0,0,0,0,0,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__PNOQ01;g__JABIBT01;s__
OceanDNA-a1153,29,668901,41043,31.08,75.7,0.47,our_OceanDNA,879468,839,613720,731.49,31.52,91.75,0,0,0,0,0,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__PNOQ01;g__JABIBT01;s__JABIBT01 sp018652625
OceanDNA-a1154,56,470330,11823,27.49,57.01,0.47,OMD_OceanDNA,821118,597,415988,696.8,27.82,88.45,0,0,0,0,0,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__ARS1178;g__ARS1178;s__ARS1178 sp002688325
OceanDNA-a1155,104,946353,15269,36.98,70.56,0,OMD_OceanDNA,1341203,1074,804516,749.08,37.44,85.01,0,1,0,0,0,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__GCA-2687185;g__GCA-2687185;s__GCA-2687185 sp002687185
OceanDNA-a1164,35,1053629,67161,32.2,78.97,0,our_OceanDNA,1334214,1182,977773,827.22,32.6,92.8,0,0,1,0,0,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__GW2011-AR17;g__JABHZQ01;s__JABHZQ01 sp018656555
OceanDNA-a1174,124,797918,9141,34.56,63.79,0,OceanDNA,1250851,904,662543,732.9,34.88,83.03,0,0,0,0,0,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__GW2011-AR17;g__;s__
OceanDNA-a1175,174,715855,5085,34.06,68.85,2.8,OMD_OceanDNA,1010619,856,583412,681.56,34.56,81.5,0,0,0,0,0,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__GW2011-AR17;g__JABHYY01;s__
OceanDNA-a1187,17,1003254,107222,29.12,79.44,0.93,our_OceanDNA,1251163,1128,935834,829.64,29.48,93.28,0,0,0,0,0,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__GW2011-AR17;g__BS150m-G60;s__BS150m-G60 sp018692925
